ENSEMBLID	Gene	ENTREZID
1	ENSDARG00000000018	nrf1	64604
2	ENSDARG00000000019	ube2h	368425
3	ENSDARG00000000423	si:ch73-314g15.3	368688
4	ENSDARG00000000442	slc39a13	368686
5	ENSDARG00000000460	nitr2b	60647
6	ENSDARG00000000767	spi1b	30117
7	ENSDARG00000000861	scrib	368473
8	ENSDARG00000001210	arl14ep	751672
9	ENSDARG00000001234	map4k2	678610
10	ENSDARG00000001241	puf60b	415211
11	ENSDARG00000001431	actn3b	323320
12	ENSDARG00000001634	kirrel1a	405804
13	ENSDARG00000001776	STIM2	563901
14	ENSDARG00000001781	tspan11	564029
15	ENSDARG00000001910	rorab	554722
16	ENSDARG00000001912	drd4-rs	503566
17	ENSDARG00000001939	b3gat3	192334
18	ENSDARG00000001953	pfkfb3	554477
19	ENSDARG00000001975	hsd11b2	334098
20	ENSDARG00000001999	ADAMTS18	100150128
21	ENSDARG00000002016	ppil2	393966
22	ENSDARG00000002128	cwf19l1	387304
23	ENSDARG00000002131	celf2	373117
24	ENSDARG00000002174	itfg2	550607
25	ENSDARG00000002184	igbp1	406843
26	ENSDARG00000002216	tbx3a	556870
27	ENSDARG00000002235	mmp14a	373882
28	ENSDARG00000002264	mrpl41	553805
29	ENSDARG00000002355	SHPK	100001676
30	ENSDARG00000002369	UBB	NA
31	ENSDARG00000002506	C7H16orf87	436785
32	ENSDARG00000002663	optn	336159
33	ENSDARG00000002685	fam113	494057
34	ENSDARG00000002701	rasl12	393366
35	ENSDARG00000002952	smo	30225
36	ENSDARG00000003021	hdac8	406740
37	ENSDARG00000003132	apip	447941
38	ENSDARG00000003193	rassf7b	368288
39	ENSDARG00000003200	foxm1	394072
40	ENSDARG00000003203	rhcga	100038797
41	ENSDARG00000003269	CLCN3	559340
42	ENSDARG00000003403	TENM1	563094
43	ENSDARG00000003495	MADD	100150917
44	ENSDARG00000003512	anks1b	565408
45	ENSDARG00000003519	aprt	393641
46	ENSDARG00000003520	TBC1D14	557744
47	ENSDARG00000003553	gnrhr2	100270671
48	ENSDARG00000003570	hsp90b1	386590
49	ENSDARG00000003592	surf1	557970
50	ENSDARG00000003615	slc26a3.2	563896
51	ENSDARG00000003635	mogat3b	494083
52	ENSDARG00000003769	tada2b	554156
53	ENSDARG00000003789	dennd5b	323528
54	ENSDARG00000003811	plxnb2a.1	561433
55	ENSDARG00000003822	ankrd16	550225
56	ENSDARG00000003846	mrpl21	768305
57	ENSDARG00000003872	ccdc102a	325319
58	ENSDARG00000004015	adcyap1a	259257
59	ENSDARG00000004023	isl1a	30147
61	ENSDARG00000004055	uhrf1bp1l	562208
62	ENSDARG00000004130	mvk	492477
63	ENSDARG00000004196	tnfsf10l	114466
64	ENSDARG00000004227	PDE3A	567051
65	ENSDARG00000004256	wnt11f2	791595
66	ENSDARG00000004336	exoc4	559866
67	ENSDARG00000004386	elapor2b	566596
68	ENSDARG00000004406	spra	554136
69	ENSDARG00000004447	aplnr2	793710
70	ENSDARG00000004455	p2rx5	373879
71	ENSDARG00000004497	tspan33a	436890
72	ENSDARG00000004592	gpr22a	504167
73	ENSDARG00000004658	zgc:101810	493612
74	ENSDARG00000004713	mad2l1	550434
75	ENSDARG00000004714	tcf12	407985
76	ENSDARG00000004794	ccdc146	767671
77	ENSDARG00000004874	spata6l	393384
78	ENSDARG00000004904	gys2	373082
79	ENSDARG00000005092	cep89	393852
80	ENSDARG00000005126	large1	446213
81	ENSDARG00000005315	celf1	58137
82	ENSDARG00000005374	tubgcp4	557155
83	ENSDARG00000005448	mtfmt	556680
84	ENSDARG00000005451	gdi2	323765
85	ENSDARG00000005453	foxp2	555242
86	ENSDARG00000005456	katnb1	406291
87	ENSDARG00000005476	nav3	567779
88	ENSDARG00000005541	wif1	30476
89	ENSDARG00000005547	rint1	562894
90	ENSDARG00000005549	ZNF710	100149283
91	ENSDARG00000005561	gfm2	558184
92	ENSDARG00000005586	zbtb20	568779
93	ENSDARG00000005612	aph1b	386808
94	ENSDARG00000005651	hrasb	553656
95	ENSDARG00000005786	ppm1f	553757
96	ENSDARG00000005800	AMPD3	556578
97	ENSDARG00000005821	ncf2	562473
98	ENSDARG00000005840	got2b	335974
99	ENSDARG00000005891	cyb5r3	324560
100	ENSDARG00000005894	SLC7A9	567117
101	ENSDARG00000005897	dera	450077
