go_id	external_gene_name
GO:0005840	MT-RNR2
GO:0016020	MT-ND1
GO:0005739	MT-ND1
GO:0005743	MT-ND1
GO:0031966	MT-ND1
GO:0070469	MT-ND1
GO:0005747	MT-ND1
GO:0016020	MT-ND2
GO:0005739	MT-ND2
GO:0005743	MT-ND2
GO:0070469	MT-ND2
GO:0005747	MT-ND2
GO:0016020	MT-CO1
GO:0045277	MT-CO1
GO:0005739	MT-CO1
GO:0005743	MT-CO1
GO:0070469	MT-CO1
GO:0005751	MT-CO1
GO:0005750	MT-CO1
GO:0016020	MT-CO2
GO:0005739	MT-CO2
GO:0005743	MT-CO2
GO:0070469	MT-CO2
GO:0005751	MT-CO2
GO:0045277	MT-CO2
GO:0000276	MT-ATP8
GO:0016020	MT-ATP8
GO:0005739	MT-ATP8
GO:0031966	MT-ATP8
GO:0045263	MT-ATP8
GO:0005743	MT-ATP8
GO:0005753	MT-ATP8
GO:0045263	MT-ATP6
GO:0016020	MT-ATP6
GO:0005739	MT-ATP6
GO:0005743	MT-ATP6
GO:0005753	MT-ATP6
GO:0016020	MT-CO3
GO:0005739	MT-CO3
GO:0005743	MT-CO3
GO:0005751	MT-CO3
GO:0045277	MT-CO3
GO:0016020	MT-ND3
GO:0005739	MT-ND3
GO:0005743	MT-ND3
GO:0031966	MT-ND3
GO:0070469	MT-ND3
GO:0005747	MT-ND3
GO:0030964	MT-ND3
GO:0110165	MT-ND4L
GO:0016020	MT-ND4L
GO:0005739	MT-ND4L
GO:0005743	MT-ND4L
GO:0070469	MT-ND4L
GO:0005747	MT-ND4L
GO:0016020	MT-ND4
GO:0005739	MT-ND4
GO:0005743	MT-ND4
GO:0031966	MT-ND4
GO:0070469	MT-ND4
GO:0005747	MT-ND4
GO:0016020	MT-ND5
GO:0005739	MT-ND5
GO:0005743	MT-ND5
GO:0070469	MT-ND5
GO:0005747	MT-ND5
GO:0016020	MT-ND6
GO:0005739	MT-ND6
GO:0005743	MT-ND6
GO:0031966	MT-ND6
GO:0070469	MT-ND6
GO:0005747	MT-ND6
GO:0016020	MT-CYB
GO:0045275	MT-CYB
GO:0005739	MT-CYB
GO:0005743	MT-CYB
GO:0070469	MT-CYB
GO:0005750	MT-CYB
GO:0005840	5S_rRNA
GO:0005688	U6
GO:0046540	U6
GO:0005840	5_8S_rRNA
GO:0005840	RNA5-8SN5
GO:0005686	U2
GO:0005685	U1
GO:0005840	RNA5-8SN4
GO:0005737	PRAMEF11
GO:0005634	HNRNPCL1
GO:1990904	HNRNPCL1
GO:0005737	PRAMEF2
GO:0005737	PRAMEF4
GO:0005737	PRAMEF10
GO:0005737	PRAMEF7
GO:0005688	RNU6-1072P
GO:0046540	RNU6-1072P
GO:0005737	PRAMEF6
GO:0005737	PRAMEF27
GO:0005634	HNRNPCL3
GO:0005737	PRAMEF25
GO:0005634	HNRNPCL2
GO:1990904	HNRNPCL2
GO:0005634	HNRNPCL4
GO:0005737	PRAMEF13
GO:0005737	PRAMEF18
GO:0005737	PRAMEF5
GO:0005688	RNU6-771P
GO:0046540	RNU6-771P
GO:0005737	PRAMEF8
GO:0005737	PRAMEF33
GO:0016020	OR9G4
GO:0005886	OR9G4
GO:0016020	OR9G1
GO:0016020	OR9G9
GO:0005886	OR9G9
GO:0016020	GRK1
GO:0042995	GRK1
GO:0005737	GRK1
GO:0001750	GRK1
GO:0097381	GRK1
GO:0005737	TOLLIP
GO:0045095	KRTAP5-2
GO:0045095	KRTAP5-4
GO:0005737	USP9Y
GO:0005634	USP9Y
GO:0005829	USP9Y
GO:0005634	TSPY8
GO:0005634	TSPY4
GO:0005634	TSPY9
GO:0005737	EIF1AY
GO:0005634	BPY2
GO:0005634	TSPY10
GO:0005737	TSPY10
GO:0000785	TSPY10
GO:0005634	TSPY1
GO:0005737	TSPY1
GO:0000785	TSPY1
