go_id	external_gene_name
GO:0030533	MT-TF
GO:0003735	MT-RNR2
GO:0030533	MT-TL1
GO:0005515	MT-ND1
GO:0008137	MT-ND1
GO:0003954	MT-ND1
GO:0030533	MT-TQ
GO:0008137	MT-ND2
GO:0016491	MT-ND2
GO:0005515	MT-ND2
GO:0019901	MT-ND2
GO:0035255	MT-ND2
GO:0030533	MT-TN
GO:0030533	MT-TY
GO:0004129	MT-CO1
GO:0020037	MT-CO1
GO:0046872	MT-CO1
GO:0005515	MT-CO1
GO:0030533	MT-TS1
GO:0016491	MT-CO2
GO:0005507	MT-CO2
GO:0004129	MT-CO2
GO:0046872	MT-CO2
GO:0005515	MT-CO2
GO:0015078	MT-ATP8
GO:0005515	MT-ATP8
GO:0046933	MT-ATP8
GO:0015078	MT-ATP6
GO:0005515	MT-ATP6
GO:0046933	MT-ATP6
GO:0009055	MT-CO3
GO:0004129	MT-CO3
GO:0005515	MT-CO3
GO:0008137	MT-ND3
GO:0005515	MT-ND3
GO:0016651	MT-ND4L
GO:0016491	MT-ND4L
GO:0008137	MT-ND4L
GO:0008137	MT-ND4
GO:0003954	MT-ND4
GO:0048039	MT-ND4
GO:0030533	MT-TH
GO:0008137	MT-ND5
GO:0003954	MT-ND5
GO:0008137	MT-ND6
GO:0009055	MT-CYB
GO:0016491	MT-CYB
GO:0008121	MT-CYB
GO:0046872	MT-CYB
GO:0030533	MT-TT
GO:0003735	5S_rRNA
GO:0030621	U6
GO:0003735	5_8S_rRNA
GO:0003735	RNA5-8SN5
GO:0045131	U2
GO:0030627	U1
GO:0003735	RNA5-8SN4
GO:0003723	HNRNPCL1
GO:0003676	HNRNPCL1
GO:0005515	HNRNPCL1
GO:0042802	HNRNPCL1
GO:0030621	RNU6-1072P
GO:1990756	PRAMEF6
GO:0003723	HNRNPCL3
GO:0003676	HNRNPCL3
GO:0003723	HNRNPCL2
GO:0003676	HNRNPCL2
GO:0005515	HNRNPCL2
GO:0042802	HNRNPCL2
GO:0003723	HNRNPCL4
GO:0003676	HNRNPCL4
GO:0030621	RNU6-771P
GO:0004930	OR9G4
GO:0004984	OR9G4
GO:0005549	OR9G4
GO:0004930	OR9G1
GO:0004984	OR9G1
GO:0004930	OR9G9
GO:0004984	OR9G9
GO:0005524	GRK1
GO:0004703	GRK1
GO:0004674	GRK1
GO:0004672	GRK1
GO:0050254	GRK1
GO:0000166	GRK1
GO:0016301	GRK1
GO:0016740	GRK1
GO:0005515	TOLLIP
GO:0043130	TOLLIP
GO:0005524	BRSK2
GO:0004672	BRSK2
GO:0000166	BRSK2
GO:0016301	BRSK2
GO:0016791	DUSP8
GO:0008138	DUSP8
GO:0017017	DUSP8
GO:0004843	USP9Y
GO:0008234	USP9Y
GO:0016787	USP9Y
GO:0008233	USP9Y
GO:0004197	USP9Y
GO:0070410	USP9Y
GO:0003723	EIF1AY
GO:0003743	EIF1AY
GO:0005515	EIF1AY
GO:0005515	BPY2
GO:0032399	BPY2
GO:0005515	TSPY10
GO:0003682	TSPY10
GO:0042393	TSPY10
GO:0005515	TSPY1
GO:0003682	TSPY1
GO:0042393	TSPY1
GO:0003674	TSPY1
GO:0003676	RBMY1D
GO:0003723	RBMY1D
GO:0004930	OR4C12
GO:0004984	OR4C12
GO:0004930	OR4C45
GO:0004984	OR4C45
GO:0030621	RNU6-303P
GO:0003735	RNA5SP518
GO:0003735	RNA5SP520
GO:0003735	RNA5SP521
GO:0003735	RNA5-8SP6
GO:0003735	RNA5SP519
GO:0003700	HSFY2
GO:0043565	HSFY2
GO:0003677	HSFY2
GO:0005515	HSFY2
GO:0000978	HSFY2
GO:0000981	HSFY2
GO:1990837	HSFY2
GO:0030627	RNU1-41P
GO:0030621	RNU6-255P
GO:0030627	RNU1-128P
GO:0030627	RNU1-95P
GO:0003735	RNA5SP522
GO:0003735	RNA5SP523
GO:0030627	RNU1-48P
GO:0030627	TTTY14
GO:0003677	KDM5D
GO:0046872	KDM5D
GO:0016491	KDM5D
GO:0051213	KDM5D
GO:0005515	KDM5D
GO:0032452	KDM5D
