go_id	external_gene_name
GO:0006414	mt-Tf
GO:0000028	mt-Rnr1
GO:0006412	mt-Rnr1
GO:0006414	mt-Tv
GO:0006412	mt-Rnr2
GO:0000027	mt-Rnr2
GO:0006414	mt-Tl1
GO:0032981	mt-Nd1
GO:0006120	mt-Nd1
GO:0009060	mt-Nd1
GO:0042776	mt-Nd1
GO:0009410	mt-Nd1
GO:0014070	mt-Nd1
GO:0033194	mt-Nd1
GO:0006414	mt-Ti
GO:0006414	mt-Tq
GO:0006414	mt-Tm
GO:0006120	mt-Nd2
GO:0072593	mt-Nd2
GO:0032981	mt-Nd2
GO:0009060	mt-Nd2
GO:0042776	mt-Nd2
GO:0006414	mt-Tw
GO:0006414	mt-Ta
GO:0006414	mt-Tn
GO:0006414	mt-Tc
GO:0006414	mt-Ty
GO:0009060	mt-Co1
GO:0022900	mt-Co1
GO:1902600	mt-Co1
GO:0006119	mt-Co1
GO:0006979	mt-Co1
GO:0006123	mt-Co1
GO:0015990	mt-Co1
GO:0021549	mt-Co1
GO:0046688	mt-Co1
GO:0051602	mt-Co1
GO:0006414	mt-Ts1
GO:0006414	mt-Td
GO:0022900	mt-Co2
GO:1902600	mt-Co2
GO:0010940	mt-Co2
GO:0007595	mt-Co2
GO:0010729	mt-Co2
GO:0042773	mt-Co2
GO:2001171	mt-Co2
GO:0006414	mt-Tk
GO:0015986	mt-Atp8
GO:0006811	mt-Atp8
GO:1902600	mt-Atp8
GO:0006754	mt-Atp8
GO:0042776	mt-Atp8
GO:0015986	mt-Atp6
GO:0006811	mt-Atp6
GO:1902600	mt-Atp6
GO:0006754	mt-Atp6
GO:0042776	mt-Atp6
GO:0055093	mt-Atp6
GO:0022904	mt-Co3
GO:0019646	mt-Co3
GO:1902600	mt-Co3
GO:0006123	mt-Co3
GO:0008535	mt-Co3
GO:0006414	mt-Tg
GO:0009725	mt-Nd3
GO:0006979	mt-Nd3
GO:0071385	mt-Nd3
GO:0006120	mt-Nd3
GO:0009060	mt-Nd3
GO:0042776	mt-Nd3
GO:0009642	mt-Nd3
GO:0006414	mt-Tr
GO:0042773	mt-Nd4l
GO:0009060	mt-Nd4l
GO:0042776	mt-Nd4l
GO:0042773	mt-Nd4
GO:0032981	mt-Nd4
GO:0006120	mt-Nd4
GO:0009060	mt-Nd4
GO:0042776	mt-Nd4
GO:0015990	mt-Nd4
GO:0001666	mt-Nd4
GO:0001701	mt-Nd4
GO:0021549	mt-Nd4
GO:0035094	mt-Nd4
GO:0045471	mt-Nd4
GO:0006414	mt-Th
GO:0006414	mt-Ts2
GO:0006414	mt-Tl2
GO:0042773	mt-Nd5
GO:0032981	mt-Nd5
GO:0006120	mt-Nd5
GO:0009060	mt-Nd5
GO:0042776	mt-Nd5
GO:0015990	mt-Nd5
GO:0001666	mt-Nd5
