go_id	external_gene_name
GO:0005739	mt-Tf
GO:0005763	mt-Rnr1
GO:0005739	mt-Tv
GO:0005762	mt-Rnr2
GO:0005840	mt-Rnr2
GO:0005739	mt-Tl1
GO:0016020	mt-Nd1
GO:0005739	mt-Nd1
GO:0005743	mt-Nd1
GO:0043025	mt-Nd1
GO:0070469	mt-Nd1
GO:0030425	mt-Nd1
GO:0031966	mt-Nd1
GO:0005747	mt-Nd1
GO:0005739	mt-Ti
GO:0005739	mt-Tq
GO:0005739	mt-Tm
GO:0005739	mt-Nd2
GO:0014069	mt-Nd2
GO:0016020	mt-Nd2
GO:0005743	mt-Nd2
GO:0070469	mt-Nd2
GO:0005747	mt-Nd2
GO:0005739	mt-Tw
GO:0005739	mt-Ta
GO:0005739	mt-Tn
GO:0005739	mt-Tc
GO:0005739	mt-Ty
GO:0016020	mt-Co1
GO:0045277	mt-Co1
GO:0005739	mt-Co1
GO:0005743	mt-Co1
GO:0070469	mt-Co1
GO:0005750	mt-Co1
GO:0005751	mt-Co1
GO:0005739	mt-Ts1
GO:0005739	mt-Td
GO:0016020	mt-Co2
GO:0005739	mt-Co2
GO:0005743	mt-Co2
GO:0070469	mt-Co2
GO:0005751	mt-Co2
GO:0045277	mt-Co2
GO:0005739	mt-Tk
GO:0000276	mt-Atp8
GO:0005739	mt-Atp8
GO:0016020	mt-Atp8
GO:0045263	mt-Atp8
GO:0031966	mt-Atp8
GO:0005753	mt-Atp8
GO:0045263	mt-Atp6
GO:0005739	mt-Atp6
GO:0016020	mt-Atp6
GO:0005743	mt-Atp6
GO:0005753	mt-Atp6
GO:0016020	mt-Co3
GO:0005739	mt-Co3
GO:0005743	mt-Co3
GO:0005751	mt-Co3
GO:0045277	mt-Co3
GO:0005739	mt-Tg
GO:0005739	mt-Nd3
GO:0016020	mt-Nd3
GO:0005743	mt-Nd3
GO:0070469	mt-Nd3
GO:0031966	mt-Nd3
GO:0005747	mt-Nd3
GO:0030964	mt-Nd3
GO:0005739	mt-Tr
