go_id	external_gene_name
GO:0030533	mt-Tf
GO:0003735	mt-Rnr1
GO:0030533	mt-Tv
GO:0003735	mt-Rnr2
GO:0030533	mt-Tl1
GO:0008137	mt-Nd1
GO:0016491	mt-Nd1
GO:0003954	mt-Nd1
GO:0030533	mt-Ti
GO:0030533	mt-Tq
GO:0030533	mt-Tm
GO:0008137	mt-Nd2
GO:0016491	mt-Nd2
GO:0019901	mt-Nd2
GO:0035255	mt-Nd2
GO:0030533	mt-Tw
GO:0030533	mt-Ta
GO:0030533	mt-Tn
GO:0030533	mt-Tc
GO:0030533	mt-Ty
GO:0004129	mt-Co1
GO:0020037	mt-Co1
GO:0046872	mt-Co1
GO:0016491	mt-Co1
GO:0030533	mt-Ts1
GO:0030533	mt-Td
GO:0016491	mt-Co2
GO:0005507	mt-Co2
GO:0004129	mt-Co2
GO:0046872	mt-Co2
GO:0030533	mt-Tk
GO:0015078	mt-Atp8
GO:0016787	mt-Atp8
GO:0016491	mt-Atp8
GO:0046933	mt-Atp8
GO:0015078	mt-Atp6
GO:0016787	mt-Atp6
GO:0046933	mt-Atp6
GO:0009055	mt-Co3
GO:0004129	mt-Co3
GO:0016491	mt-Co3
GO:0030533	mt-Tg
GO:0008137	mt-Nd3
GO:0016491	mt-Nd3
GO:0030533	mt-Tr
GO:0016651	mt-Nd4l
GO:0008137	mt-Nd4l
GO:0016491	mt-Nd4l
GO:0008137	mt-Nd4
GO:0016491	mt-Nd4
GO:0003954	mt-Nd4
GO:0048039	mt-Nd4
GO:0030533	mt-Th
GO:0030533	mt-Ts2
GO:0030533	mt-Tl2
GO:0008137	mt-Nd5
GO:0016491	mt-Nd5
GO:0003954	mt-Nd5
GO:0008137	mt-Nd6
GO:0016491	mt-Nd6
GO:0030533	mt-Te
GO:0009055	mt-Cytb
GO:0016491	mt-Cytb
GO:0008121	mt-Cytb
GO:0044877	mt-Cytb
GO:0046872	mt-Cytb
GO:0030533	mt-Tt
GO:0030533	mt-Tp
GO:0016503	Vmn1r186
GO:0003674	Gm16367
GO:0004930	Csprs
GO:0035064	Gm20816
GO:0005515	Gm20870
GO:0005515	Gm20903
GO:0005515	Gm20905
GO:0035064	Gm20738
GO:0005515	Gm20814
GO:0005515	Gm20850
GO:0005515	Gm20897
GO:0035064	Gm20867
GO:0035064	Gm20806
GO:0035064	Gm20854
GO:0005515	Gm20883
GO:0005515	Gm20906
GO:0035064	Gm20747
GO:0005515	Gm20929
GO:0035064	Gm20823
GO:0005515	Gm20908
GO:0035064	Gm20924
GO:0035064	Gm20852
GO:0035064	Ssty2
GO:0005515	Gm21366
GO:0035064	Gm20809
GO:0003723	Gm29289
GO:0003676	Gm29289
GO:0003723	Gm21677
GO:0003676	Gm21677
GO:0003723	Gm21693
GO:0003676	Gm21693
GO:0003723	Gm21704
GO:0003676	Gm21704
GO:0003723	Gm21708
GO:0003676	Gm21708
GO:0003723	Gm3376
GO:0003676	Gm3376
GO:0035064	Gm20918
GO:0035064	Gm20873
GO:0035064	Gm20830
GO:0035064	Gm20826
GO:0035064	Gm29049
GO:0035064	Gm20825
GO:0035064	Gm20815
GO:0035064	Gm21310
GO:0035064	Gm20834
GO:0035064	Gm20828
GO:0035064	Gm20822
GO:0035064	Gm20909
GO:0035064	Gm20865
GO:0003677	Zfy1
GO:0046872	Zfy1
GO:0000981	Zfy1
GO:0000977	Zfy1
GO:0008641	Uba1y
GO:0000166	Uba1y
GO:0005524	Uba1y
GO:0016874	Uba1y
GO:0004839	Uba1y
GO:0003677	Kdm5d
GO:0046872	Kdm5d
GO:0034647	Kdm5d
GO:0051213	Kdm5d
GO:0016491	Kdm5d
GO:0050681	Kdm5d
GO:0032452	Kdm5d
GO:0032453	Kdm5d
GO:0003735	n-R5s1
GO:0003735	Gm54351
GO:0003924	Eif2s3y
GO:0005525	Eif2s3y
GO:0000049	Eif2s3y
GO:0016787	Eif2s3y
GO:0000166	Eif2s3y
GO:0003743	Eif2s3y
GO:0005515	Uty
GO:0046872	Uty
GO:0016491	Uty
GO:0003682	Uty
GO:0005524	Ddx3y
GO:0003676	Ddx3y
