SYMBOL	PATH
Aanat	00380
Aanat	01100
Abca1	02010
Abca1	04975
Abca4	02010
Abca2	02010
Abca2	04142
Abcb7	02010
Abcg1	02010
Abl1	04012
Abl1	04110
Abl1	04360
Abl1	04722
Abl1	05200
Abl1	05220
Abl1	05416
Abl2	04012
Abl2	05416
Acadl	00071
Acadl	01100
Acadl	03320
Acadm	00071
Acadm	00280
Acadm	00410
Acadm	00640
Acadm	01100
Acadm	03320
Acadvl	00071
Acadvl	01100
Acads	00071
Acads	00280
Acads	00650
Acads	01100
Slc33a1	00604
Slc33a1	01100
Asic2	04742
Ace	04614
Ace	05142
Ace	05410
Ache	00564
Aco1	00020
Aco1	00630
Aco1	01100
Aco2	00020
Aco2	00630
Aco2	01100
Acox1	00071
Acox1	00592
Acox1	01040
Acox1	01100
Acox1	03320
Acox1	04146
Acp1	00740
Acp1	04520
Acp2	00740
Acp2	04142
Acp5	00740
Acp5	04142
Acp5	04380
Acp5	05323
Chrna1	04080
Chrna4	04080
Chrna6	04080
Chrna7	04020
Chrna7	04080
Chrnb1	04080
Chrnb2	04080
Chrnd	04080
Chrne	04080
Chrng	04080
Adipoq	03320
Adipoq	04920
Adipoq	04930
Actb	04145
Actb	04510
Actb	04520
Actb	04530
Actb	04670
Actb	04810
Actb	04971
Actb	05100
Actb	05410
Actb	05412
Actb	05414
Actb	05416
Actc1	04260
Actc1	05410
Actc1	05414
Actg1	04145
Actg1	04510
Actg1	04520
Actg1	04530
Actg1	04670
Actg1	04810
Actg1	05100
Actg1	05410
Actg1	05412
Actg1	05414
Actg1	05416
Actg2	04270
Actn2	04510
Actn2	04520
Actn2	04530
Actn2	04670
Actn2	04810
Actn2	05146
Actn2	05322
Actn2	05412
Actn3	04510
Actn3	04520
Actn3	04530
Actn3	04670
Actn3	04810
Actn3	05146
Actn3	05322
Actn3	05412
Acta2	04270
Acvr1	04060
Acvr1	04350
Acvr1b	04060
Acvr2a	04060
Acvr2a	04350
Acvr2b	04060
Acvr2b	04350
Aspa	00250
Aspa	00340
Ada	00230
Ada	01100
Ada	05340
Adam10	05010
Adam17	04330
Adam17	05010
Adcy6	00230
Adcy6	04062
Adcy6	04114
Adcy6	04270
Adcy6	04540
Adcy6	04742
Adcy6	04912
Adcy6	04914
Adcy6	04916
Adcy6	04962
Adcy6	04970
Adcy6	04971
Adcy6	04972
Adcy6	04976
Adcy6	05414
Adcy7	00230
Adcy7	04020
Adcy7	04062
Adcy7	04114
Adcy7	04270
Adcy7	04540
Adcy7	04912
Adcy7	04914
Adcy7	04916
Adcy7	04970
Adcy7	04971
Adcy7	04972
Adcy7	04976
Adcy7	05414
Adcy8	00230
Adcy8	04020
Adcy8	04062
Adcy8	04114
Adcy8	04270
Adcy8	04540
Adcy8	04720
Adcy8	04742
Adcy8	04912
Adcy8	04914
Adcy8	04916
Adcy8	04970
Adcy8	04971
Adcy8	04972
Adcy8	04976
Adcy8	05414
Adcy9	00230
Adcy9	04020
Adcy9	04062
Adcy9	04114
Adcy9	04270
Adcy9	04540
Adcy9	04912
Adcy9	04914
Adcy9	04916
Adcy9	04962
Adcy9	04970
Adcy9	04971
Adcy9	04972
Adcy9	04976
Adcy9	05414
Adcyap1r1	04080
Adh1	00010
Adh1	00071
Adh1	00350
Adh1	00830
Adh1	00980
Adh1	00982
Adh1	01100
Adh7	00010
Adh7	00071
Adh7	00350
Adh7	00830
Adh7	00980
Adh7	00982
Adh7	01100
Adh5	00010
Adh5	00071
Adh5	00350
Adh5	00830
Adh5	00980
Adh5	00982
Adh5	01100
Adk	00230
Adk	01100
Cfd	04610
Cfd	05150
Adora1	04080
Adora2a	04020
Adora2a	04080
Adora2a	04270
Adora2b	04020
Adora2b	04080
Adora2b	04270
Adora3	04080
Parp1	03410
Parp2	03410
Adra1b	04020
Adra1b	04080
Adra1b	04270
Adra1b	04970
Adra1a	04020
Adra1a	04080
Adra1a	04270
Adra1a	04970
Adra1d	04020
Adra1d	04080
Adra1d	04270
Adra1d	04970
Adra2a	04080
Adra2b	04080
Adra2c	04080
Adrb1	04020
Adrb1	04080
Adrb1	04144
Adrb1	04540
Adrb1	04970
Adrb1	05414
Adrb2	04020
Adrb2	04080
Adrb2	04144
Adrb2	04970
Adrb3	04020
Adrb3	04080
Adrb3	04144
Adrb3	04970
Adsl	00230
Adsl	00250
Adsl	01100
Adssl1	00230
Adssl1	00250
Adssl1	01100
Adss	00230
Adss	00250
Adss	01100
Aga	00511
Aga	04142
Angpt1	05323
Agrn	04512
Agrp	04920
Gla	00052
Gla	00561
Gla	00600
Gla	00603
Gla	04142
Agt	04614
Agtr1a	04020
Agtr1a	04080
Agtr1a	04270
Agtr1a	04614
Agtr1b	04020
Agtr1b	04080
Agtr1b	04270
Agtr1b	04614
Agtr2	04080
Agtr2	04614
Agxt	00250
Agxt	00260
Agxt	01100
Agxt	04146
Aicda	04672
Aicda	05340
Aire	04120
Aire	05340
Ak1	00230
Ak1	01100
Ak2	00230
Ak2	01100
Ak4	00230
Ak4	01100
Alpl	00790
Alpl	01100
Akp3	00790
Akp3	01100
Alppl2	00790
Alppl2	01100
Akt1	04010
Akt1	04012
Akt1	04062
Akt1	04150
Akt1	04210
Akt1	04370
Akt1	04380
Akt1	04510
Akt1	04530
Akt1	04620
Akt1	04630
Akt1	04660
Akt1	04662
Akt1	04664
Akt1	04666
Akt1	04722
Akt1	04910
Akt1	04914
Akt1	04920
Akt1	04973
Akt1	05142
Akt1	05145
Akt1	05160
Akt1	05200
Akt1	05210
Akt1	05211
Akt1	05212
Akt1	05213
Akt1	05214
Akt1	05215
Akt1	05218
Akt1	05220
Akt1	05221
Akt1	05222
Akt1	05223
Akt2	04010
Akt2	04012
Akt2	04062
Akt2	04150
Akt2	04210
Akt2	04370
Akt2	04380
Akt2	04510
Akt2	04530
Akt2	04620
Akt2	04630
Akt2	04660
Akt2	04662
Akt2	04664
Akt2	04666
Akt2	04722
Akt2	04910
Akt2	04914
Akt2	04920
Akt2	04973
Akt2	05142
Akt2	05145
Akt2	05160
Akt2	05200
Akt2	05210
Akt2	05211
Akt2	05212
Akt2	05213
Akt2	05214
Akt2	05215
Akt2	05218
Akt2	05220
Akt2	05221
Akt2	05222
Akt2	05223
Alas1	00260
Alas1	00860
Alas1	01100
Alas2	00260
Alas2	00860
Alas2	01100
Alcam	04514
Abcd1	02010
Abcd1	04146
Aldh1a1	00010
Aldh1a1	00040
Aldh1a1	00053
Aldh1a1	00071
Aldh1a1	00280
Aldh1a1	00310
Aldh1a1	00330
Aldh1a1	00340
Aldh1a1	00380
Aldh1a1	00410
Aldh1a1	00561
Aldh1a1	00620
Aldh1a1	00640
Aldh1a1	01100
Aldh2	00010
Aldh2	00040
Aldh2	00053
Aldh2	00071
Aldh2	00280
Aldh2	00310
Aldh2	00330
Aldh2	00340
Aldh2	00380
Aldh2	00410
Aldh2	00561
Aldh2	00620
Aldh2	00640
Aldh2	01100
Aldh3a1	00010
Aldh3a1	00340
Aldh3a1	00350
Aldh3a1	00360
Aldh3a1	00980
Aldh3a1	00982
Aldh3a1	01100
Aldh3a2	00010
Aldh3a2	00040
Aldh3a2	00053
Aldh3a2	00071
Aldh3a2	00280
Aldh3a2	00310
Aldh3a2	00330
Aldh3a2	00340
Aldh3a2	00380
Aldh3a2	00410
Aldh3a2	00561
Aldh3a2	00620
Aldh3a2	00640
Aldh3a2	01100
Aldoa	00010
Aldoa	00030
Aldoa	00051
Aldoa	01100
Aldoc	00010
Aldoc	00030
Aldoc	00051
Aldoc	01100
Akr1b3	00040
Akr1b3	00051
Akr1b3	00052
Akr1b3	00561
Akr1b3	00620
Akr1b3	01100
Alox12	00590
Alox12	01100
Alox12e	00590
Alox12e	01100
Alox12b	00590
Alox12b	01100
Alox15	00590
Alox15	01100
Alox8	00590
Alox8	01100
Alox5	00590
Alox5	01100
Alox5	05145
Amd1	00270
Amd1	00330
Amd1	01100
Amh	04060
Amh	04350
Ampd3	00230
Ampd3	01100
Mat1a	00270
Mat1a	01100
Amy1	00500
Amy1	01100
Amy1	04973
Slc25a4	04020
Slc25a4	05012
Slc25a4	05016
Slc25a5	04020
Slc25a5	05012
Slc25a5	05016
Aoc3	00260
Aoc3	00350
Aoc3	00360
Aoc3	00410
Aoc3	01100
Prdx6	00360
Prdx6	01100
Aox1	00280
Aox1	00350
Aox1	00380
Aox1	00750
Aox1	00760
Aox1	00982
Aox1	01100
Ap1b1	04142
Ap1g1	04142
Ap1g2	04142
Ap1m1	04142
Ap1m2	04142
Ap1s1	04142
Fabp4	03320
Ap2a1	04144
Ap2a1	05016
Ap2a2	04144
Ap2a2	05016
Ap2m1	04144
Ap2m1	05016
Ap3b1	04142
Ap3b2	04142
Ap3d1	04142
Ap3s1	04142
Ap3s2	04142
Ap4m1	04142
Ap4s1	04142
Apaf1	04115
Apaf1	04210
Apaf1	05010
Apaf1	05012
Apaf1	05014
Apaf1	05016
Apaf1	05222
Apbb1	05010
Apc	04310
Apc	04810
Apc	05200
Apc	05210
Apc	05213
Apc	05217
Apex1	03410
Atg5	04140
Atg5	04622
Birc3	04120
Birc3	04210
Birc3	04510
Birc3	04621
Birc3	05145
Birc3	05200
Birc3	05222
Birc2	04120
Birc2	04210
Birc2	04510
Birc2	04621
Birc2	05145
Birc2	05200
Birc2	05222
Xiap	04120
Xiap	04210
Xiap	04510
Xiap	04621
Xiap	05145
Xiap	05200
Xiap	05222
Birc5	05200
Birc5	05210
Apoa1	03320
Apoa1	04975
Apoa1	04977
Apoa1	05143
Apoa2	03320
Apoa4	04975
Apoa4	04977
Apoc3	03320
Apoe	05010
App	05010
Aprt	00230
Aprt	01100
Aqp1	04964
Aqp1	04976
Aqp2	04962
Aqp3	04962
Aqp4	04962
Aqp4	04976
Aqp5	04970
Aqp7	03320
Aqp8	04976
Aqr	03040
Ar	04114
Ar	05200
Ar	05215
Araf	04012
Araf	04270
Araf	04650
Araf	04720
Araf	04730
Araf	04810
Araf	04910
Araf	04914
Araf	05160
Araf	05200
Araf	05210
Araf	05211
Araf	05212
Araf	05213
Araf	05214
Araf	05215
Araf	05218
Araf	05219
Araf	05220
Araf	05221
Araf	05223
Rplp0	03010
Areg	04012
Arf6	04144
Arf6	04666
Arg1	00330
Arg1	01100
Arg1	05146
Arg2	00330
Arg2	01100
Arg2	05146
Rhoa	04062
Rhoa	04144
Rhoa	04270
Rhoa	04310
Rhoa	04350
Rhoa	04360
Rhoa	04510
Rhoa	04520
Rhoa	04530
Rhoa	04660
Rhoa	04670
Rhoa	04722
Rhoa	04810
Rhoa	04972
Rhoa	05100
Rhoa	05200
Rhoa	05210
Rhod	04360
Arhgap5	04510
Arhgap5	04670
Arhgdib	04722
Arhgdib	04962
Arnt	05200
Arnt	05211
Arnt2	05200
Arnt2	05211
Bmal1	04710
Arpc1b	04666
Arpc1b	04810
Arpc1b	05100
Arsb	00531
Arsb	01100
Arsb	04142
Arsa	00600
Arsa	04142
Asah1	00600
Asah1	01100
Asah1	04142
Ass1	00250
Ass1	00330
Ass1	01100
Serpinc1	04610
Atf2	04010
Atf4	04010
Atf4	04141
Atf4	04720
Atf4	04722
Atf4	04912
Atf4	05215
Atm	04110
Atm	04115
Atm	04210
Neurog3	04950
Atp1a1	04260
Atp1a1	04960
Atp1a1	04964
Atp1a1	04970
Atp1a1	04971
Atp1a1	04972
Atp1a1	04973
Atp1a1	04974
Atp1a1	04976
Atp1b1	04260
Atp1b1	04960
Atp1b1	04964
Atp1b1	04970
Atp1b1	04971
Atp1b1	04972
Atp1b1	04973
Atp1b1	04974
Atp1b1	04976
Atp1b2	04260
Atp1b2	04960
Atp1b2	04964
Atp1b2	04970
Atp1b2	04971
Atp1b2	04972
Atp1b2	04973
Atp1b2	04974
Atp1b2	04976
Atp1b3	04260
Atp1b3	04960
Atp1b3	04964
Atp1b3	04970
Atp1b3	04971
Atp1b3	04972
Atp1b3	04973
Atp1b3	04974
Atp1b3	04976
Fxyd2	04260
Fxyd2	04960
Fxyd2	04964
Fxyd2	04970
Fxyd2	04972
Fxyd2	04973
Fxyd2	04974
Fxyd2	04976
Atp2a1	04020
Atp2a1	04972
Atp2a1	05010
Atp2a2	04020
Atp2a2	04260
Atp2a2	04972
Atp2a2	05010
Atp2a2	05410
Atp2a2	05412
Atp2a2	05414
Atp2b2	04020
Atp2b2	04970
Atp2b2	04972
Atp4a	00190
Atp4a	04966
Atp4a	04971
Atp4b	00190
Atp4b	04966
Atp4b	04971
Atp5a1	00190
Atp5a1	01100
Atp5a1	05010
Atp5a1	05012
Atp5a1	05016
Atp5b	00190
Atp5b	01100
Atp5b	05010
Atp5b	05012
Atp5b	05016
Atp5c1	00190
Atp5c1	01100
Atp5c1	05010
Atp5c1	05012
Atp5c1	05016
Atp5pb	00190
Atp5pb	01100
Atp5pb	05010
Atp5pb	05012
Atp5pb	05016
Atp5g1	00190
Atp5g1	01100
Atp5g1	05010
Atp5g1	05012
Atp5g1	05016
Atp5j	00190
Atp5j	01100
Atp5j	05010
Atp5j	05012
Atp5j	05016
Atp5k	00190
Atp5k	01100
Atp6v1a	00190
Atp6v1a	01100
Atp6v1a	04145
Atp6v1a	04966
Atp6v1a	05323
Atp6v1b2	00190
Atp6v1b2	01100
Atp6v1b2	04145
Atp6v1b2	04966
Atp6v1b2	05323
Atp6v0d1	00190
Atp6v0d1	01100
Atp6v0d1	04142
Atp6v0d1	04145
Atp6v0d1	04966
Atp6v0d1	05323
Atp6v1e1	00190
Atp6v1e1	01100
Atp6v1e1	04145
Atp6v1e1	04966
Atp6v1e1	05323
Atp6v0e	00190
Atp6v0e	01100
Atp6v0e	04145
Atp6v0e	04966
Atp6v0e	05323
Atp6v0a1	00190
Atp6v0a1	01100
Atp6v0a1	04142
Atp6v0a1	04145
Atp6v0a1	04966
Atp6v0a1	05323
Atp6v0c	00190
Atp6v0c	01100
Atp6v0c	04142
Atp6v0c	04145
Atp6v0c	04966
Atp6v0c	05323
Auh	00280
Auh	01100
Akr1b7	00040
Akr1b7	00051
Akr1b7	00052
Akr1b7	00561
Akr1b7	00620
Akr1b7	01100
Avp	04962
Avpr2	04080
Avpr2	04962
Axin1	04310
Axin1	05200
Axin1	05210
Axin1	05213
Axin1	05217
Axin2	04310
Axin2	05200
Axin2	05210
Axin2	05213
Axin2	05217
B2m	04612
Baat	00120
Baat	00430
Baat	01040
Baat	01100
Baat	04146
Baat	04976
Bad	04012
Bad	04210
Bad	04370
Bad	04510
Bad	04722
Bad	04910
Bad	05010
Bad	05014
Bad	05145
Bad	05160
Bad	05200
Bad	05210
Bad	05212
Bad	05213
Bad	05215
Bad	05218
Bad	05220
Bad	05221
Bad	05223
Bag1	04141
Bak1	04141
Bax	04115
Bax	04141
Bax	04210
Bax	04722
Bax	05014
Bax	05016
Bax	05020
Bax	05200
Bax	05210
Bcat1	00280
Bcat1	00290
Bcat1	00770
Bcat1	01100
Bcat2	00280
Bcat2	00290
Bcat2	00770
Bcat2	01100
Bckdha	00280
Bckdha	01100
Bckdhb	00280
Bckdhb	01100
Bcl10	04660
Bcl10	04662
Bcl2	04141
Bcl2	04210
Bcl2	04510
Bcl2	04722
Bcl2	05014
Bcl2	05145
Bcl2	05200
Bcl2	05210
Bcl2	05215
Bcl2	05222
Bcl2l1	04210
Bcl2l1	04630
Bcl2l1	05014
Bcl2l1	05145
Bcl2l1	05200
Bcl2l1	05212
Bcl2l1	05220
Bcl2l1	05222
Bdkrb1	04020
Bdkrb1	04080
Bdkrb1	04610
Bdkrb1	04810
Bdkrb2	04020
Bdkrb2	04080
Bdkrb2	04610
Bdkrb2	04810
Bdkrb2	05142
Bdnf	04010
Bdnf	04722
Bdnf	05016
Bet1	04130
Bex3	04722
Glb1	00052
Glb1	00511
Glb1	00531
Glb1	00600
Glb1	00604
Glb1	01100
Glb1	04142
Bhmt	00260
Bhmt	00270
Bhmt	01100
Bid	04115
Bid	04210
Bid	04650
Bid	05010
Bid	05014
Bid	05200
Bid	05416
Fabp7	03320
Blm	03440
Cxcr5	04060
Cxcr5	04062
Bmp2	04060
Bmp2	04340
Bmp2	04350
Bmp2	05200
Bmp2	05217
Bmp4	04340
Bmp4	04350
Bmp4	05200
Bmp4	05217
Bmp5	04340
Bmp5	04350
Bmp6	04340
Bmp6	04350
Bmp7	04060
Bmp7	04340
Bmp7	04350
Bmp8a	04340
Bmp8a	04350
Bmp8b	04340
Bmp8b	04350
Bmpr1a	04060
Bmpr1a	04350
Bmpr1b	04060
Bmpr1b	04350
Bmpr2	04060
Bmpr2	04350
Bst1	00760
Bst1	01100
Bst1	04020
Bst1	04970
Bst1	04972
Bpgm	00010
Bpgm	01100
Brca1	04120
Brca2	03440
Brca2	05200
Brca2	05212
Brs3	04080
Birc6	04120
Btc	04012
Btg1	03018
Btg2	03018
Btg3	03018
Btk	04380
Btk	04662
Btk	04664
Btk	05340
Btrc	04114
Btrc	04120
