go_id	external_gene_name
1	GO:0016020	fam162a
2	GO:0000977	si:ch211-235i11.3
3	GO:0005634	si:ch211-235i11.3
4	GO:0006357	si:ch211-235i11.3
5	GO:0000981	si:ch211-235i11.3
6	GO:0048268	caly
7	GO:0007212	caly
8	GO:0032051	caly
9	GO:0016021	caly
11	GO:0016020	ostc
12	GO:0006486	ostc
13	GO:0008250	ostc
14	GO:0015031	vps37c
15	GO:0003674	vps37c
16	GO:0006886	vps37c
17	GO:0000813	vps37c
18	GO:0006612	vps37c
19	GO:0006623	vps37c
20	GO:0043162	vps37c
21	GO:0005768	vps37c
22	GO:0010008	vps37c
23	GO:0031902	vps37c
24	GO:0007034	vps37c
25	GO:0072666	vps37c
26	GO:0032482	rab9b
27	GO:0003924	rab9b
28	GO:0005525	rab9b
29	GO:0015631	tppp3
30	GO:0005874	tppp3
31	GO:0032273	tppp3
32	GO:0046785	tppp3
35	GO:0030001	slc39a9
36	GO:0046873	slc39a9
37	GO:0055085	slc39a9
38	GO:0016020	slc39a9
39	GO:0007018	kif16bb
40	GO:0003777	kif16bb
41	GO:0008017	kif16bb
42	GO:0005524	kif16bb
43	GO:0005515	kif16bb
44	GO:0007005	mtx1b
45	GO:0001401	mtx1b
46	GO:0003676	gpkow
47	GO:0005737	samd4a
48	GO:0003723	samd4a
49	GO:0000932	samd4a
50	GO:0003729	samd4a
51	GO:0000289	samd4a
52	GO:0043488	samd4a
53	GO:0030371	samd4a
54	GO:0017148	samd4a
55	GO:0005515	samd4a
57	GO:0045503	wdr34
58	GO:0045504	wdr34
59	GO:0007018	wdr34
60	GO:0005868	wdr34
61	GO:0042073	wdr34
62	GO:0097014	wdr34
63	GO:0005515	wdr34
64	GO:0016020	gria3a
65	GO:0005886	gria3a
66	GO:0034220	gria3a
67	GO:0038023	gria3a
68	GO:0043197	gria3a
69	GO:0015276	gria3a
70	GO:0035235	gria3a
71	GO:0004971	gria3a
72	GO:0032281	gria3a
73	GO:0004970	gria3a
74	GO:0005216	gria3a
75	GO:0006811	gria3a
77	GO:0008017	EML5
78	GO:0005515	EML5
80	GO:0005634	zgc:174354
81	GO:0016020	zgc:174354
82	GO:0046872	zgc:174354
83	GO:0008270	zgc:174354
84	GO:0016567	zgc:174354
85	GO:0006511	zgc:174354
86	GO:0061630	zgc:174354
87	GO:0006397	zgc:174354
88	GO:0019538	zgc:174354
89	GO:0003676	zgc:174354
93	GO:0030968	creb3l1
94	GO:0035497	creb3l1
95	GO:0045944	creb3l1
96	GO:0003700	creb3l1
97	GO:0006355	creb3l1
98	GO:0016020	cdc42
99	GO:0003924	cdc42
100	GO:0005525	cdc42
101	GO:0005737	cdc42
102	GO:0005886	cdc42
103	GO:0060041	cdc42
104	GO:0000166	cdc42
105	GO:0007163	cdc42
106	GO:0005515	cdc42
107	GO:0007264	cdc42
108	GO:0030036	cdc42
109	GO:0001822	cdc42
110	GO:0032402	cdc42
111	GO:0002040	cdc42
112	GO:0006897	cdc42
113	GO:0042074	cdc42
114	GO:0060271	cdc42
115	GO:0051301	cdc42
116	GO:0045494	cdc42
117	GO:0030496	cdc42
118	GO:0046847	cdc42
119	GO:0032488	cdc42
120	GO:0042461	cdc42
121	GO:0007229	cdc42
122	GO:0038189	cdc42
123	GO:0051491	cdc42
124	GO:0090050	cdc42
125	GO:0062139	cdc42
126	GO:0003925	cdc42
127	GO:0009653	cdc42
128	GO:0043227	cdc42
129	GO:0071944	cdc42
130	GO:0051130	cdc42
132	GO:0016020	syt2a
133	GO:0046872	syt2a
134	GO:0000149	syt2a
135	GO:0005886	syt2a
136	GO:0016192	syt2a
137	GO:0005509	syt2a
138	GO:0005544	syt2a
139	GO:0071277	syt2a
140	GO:0030424	syt2a
141	GO:0048488	syt2a
142	GO:0045202	syt2a
143	GO:0019905	syt2a
144	GO:0048791	syt2a
145	GO:0031410	syt2a
146	GO:0070382	syt2a
147	GO:0030672	syt2a
148	GO:0030276	syt2a
149	GO:0001786	syt2a
150	GO:0014059	syt2a
151	GO:0017156	syt2a
152	GO:0017158	syt2a
153	GO:0031045	syt2a
154	GO:0007269	syt2a
155	GO:0008021	syt2a
156	GO:0042584	syt2a
157	GO:0016020	tspan33b
158	GO:0005886	tspan33b
159	GO:0051604	tspan33b
160	GO:0072659	tspan33b
161	GO:0016021	tspan33b
162	GO:0004222	adamts13
163	GO:0008237	adamts13
164	GO:0006508	adamts13
165	GO:0046872	adamts13
166	GO:0005576	adamts13
167	GO:0008233	adamts13
168	GO:0030198	adamts13
169	GO:0031012	adamts13
170	GO:0019001	gnal
171	GO:0031683	gnal
172	GO:0003924	gnal
173	GO:0005525	gnal
174	GO:0007165	gnal
175	GO:0007186	gnal
176	GO:0035556	si:dkey-238o14.1
177	GO:0016020	tmem240a
178	GO:0003677	foxo3a
179	GO:0003700	foxo3a
180	GO:0006355	foxo3a
181	GO:0005634	foxo3a
182	GO:0005737	foxo3a
183	GO:0000978	foxo3a
184	GO:0006357	foxo3a
185	GO:0000981	foxo3a
186	GO:0043565	foxo3a
187	GO:0005759	foxo3a
188	GO:0043523	foxo3a
189	GO:0051960	foxo3a
190	GO:0048731	foxo3a
191	GO:0005515	osmr
193	GO:0005737	parvg
194	GO:0005856	parvg
195	GO:0007163	parvg
196	GO:0003779	parvg
197	GO:0007155	parvg
198	GO:0030031	parvg
199	GO:0015629	parvg
200	GO:0005925	parvg
201	GO:0031532	parvg
202	GO:0034446	parvg
203	GO:0005515	parvg
204	GO:0007043	si:ch211-198m17.1
205	GO:0007507	si:ch211-198m17.1
206	GO:0005524	dnah3
207	GO:0045505	dnah3
208	GO:0007018	dnah3
209	GO:0003341	dnah3
210	GO:0008569	dnah3
211	GO:0051959	dnah3
212	GO:0030286	dnah3
213	GO:0036156	dnah3
214	GO:0016020	or104-1
215	GO:0005886	or104-1
216	GO:0004930	or104-1
217	GO:0007165	or104-1
218	GO:0007186	or104-1
219	GO:0004984	or104-1
220	GO:0007608	or104-1
221	GO:0050896	or104-1
222	GO:0016021	or104-1
223	GO:0005549	or104-1
224	GO:0050911	or104-1
226	GO:0015031	ap5b1
227	GO:0016197	ap5b1
228	GO:0030119	ap5b1
229	GO:0005634	nhej1
230	GO:0006302	nhej1
231	GO:0006281	nhej1
232	GO:0006974	nhej1
236	GO:0050808	nlgn3b
237	GO:0050804	nlgn3b
238	GO:0045202	nlgn3b
239	GO:0042043	nlgn3b
240	GO:0007155	nlgn3b
241	GO:0005887	nlgn3b
