SYMBOL	PATH
tncb	04510
tncb	04512
cat	00380
cat	01100
cat	04146
btg2	03018
mitfa	04916
ptpn1	04520
ptpn1	04910
nme2b.1	00230
nme2b.1	00240
nme2b.1	01100
nme2b.2	00230
nme2b.2	00240
nme2b.2	01100
nme3	00230
nme3	00240
nme3	01100
nme7	00230
nme7	00240
nme7	01100
elk4	04010
ckma	00330
ckma	01100
ube2kb	04120
wnt5b	04310
wnt5b	04340
wnt5b	04916
cth1	04114
ddx3xb	04622
dlc	04330
flt4	04060
flt4	04510
wnt8a	04310
wnt8a	04340
wnt8a	04916
wnt4	04310
wnt4	04340
wnt4	04916
dla	04330
dld	04330
clocka	04710
dlb	04330
wnt8b	04310
wnt8b	04340
wnt8b	04916
lft1	04350
lft2	04350
gli2a	04340
lfng	00514
lfng	04330
chrd	04350
pitx2	04350
wnt10a	04310
wnt10a	04340
wnt10a	04916
nup93	03013
nog3	04350
ptch2	04340
acvr1ba	04060
nog2	04350
ccne1	04110
ccne1	04114
ccne1	04115
ptch1	04340
alcama	04514
dkk1b	04310
cpsf4	03015
tle3a	04310
tle3a	04330
tyr	00350
tyr	00740
tyr	01100
tyr	04916
psen1	04310
psen1	04330
ccnd1	04110
ccnd1	04115
ccnd1	04310
ccnd1	04510
ccnd1	04630
smo	04340
tnn	04510
tnn	04512
gja1b	04540
calr3a	04141
calr3a	04145
kita	04060
kita	04144
kita	04916
ins	04114
ins	04140
ins	04150
ins	04810
ins	04910
ins	04914
ctnnb1	04310
ctnnb1	04510
ctnnb1	04520
ctnnb1	04530
ctnnb1	04916
shha	04340
inhbb	04350
jak1	04630
npy	04920
wnt11	04310
wnt11	04340
wnt11	04916
her6	04330
cdh2	04514
rho	04744
jak2b	04630
jak2b	04920
ihhb	04340
jak2a	04630
jak2a	04920
wnt10b	04310
wnt10b	04340
wnt10b	04916
tpma	04260
cahz	00910
lpl	00561
lpl	03320
apoa1a	03320
fzd5	04310
fzd5	04916
fzd10	04310
fzd10	04916
fzd7a	04310
fzd7a	04916
fzd2	04310
fzd2	04916
nras	04010
nras	04012
nras	04370
nras	04530
nras	04540
nras	04650
nras	04810
nras	04910
nras	04912
nras	04916
cyp26a1	00830
th	00350
th	01100
psmb5	03050
psmb6	03050
cyp19a1a	00140
cyp19a1a	01100
cryaba	04141
fzd7b	04310
fzd7b	04916
csnk2b	03008
csnk2b	04310
csnk2b	04520
csnk2b	04530
mylpfa	04510
mylpfa	04530
mylpfa	04810
dnmt1	00270
dnmt1	01100
srfa	04010
smn1	03013
prim1	00230
prim1	00240
prim1	01100
prim1	03030
ednrba	04020
ednrba	04080
ednrba	04916
ctslb	04142
ctslb	04145
ncam1a	04514
cdc27	04110
cdc27	04114
cdc27	04120
cdc27	04914
acvr2ba	04060
acvr2ba	04350
exorh	04744
rxrga	03320
rxrga	04920
max	04010
atp1b3a	04260
wif1	04310
csnk2a2a	03008
csnk2a2a	04310
csnk2a2a	04520
csnk2a2a	04530
c3a.2	04145
id1	04350
ldha	00010
ldha	00270
ldha	00620
ldha	00640
ldha	01100
ldhba	00010
ldhba	00270
ldhba	00620
ldhba	00640
ldhba	01100
csnk2a1	03008
csnk2a1	04310
csnk2a1	04520
csnk2a1	04530
dbh	00350
dbh	01100
oprd1a	04080
tcf7l2	04310
tcf7l2	04520
tcf7l2	04916
ret	04144
eef1a1l1	03013
tcf7l1a	04310
tcf7l1a	04520
tcf7l1a	04916
rxrba	03320
rxrba	04920
fgf8a	04010
fgf8a	04810
sox17	04310
ntrk1	04010
ntrk1	04144
ntrk1	04210
fgf3	04010
fgf3	04810
sod1	04146
pla2g4aa	00564
pla2g4aa	00565
pla2g4aa	00590
pla2g4aa	00591
pla2g4aa	00592
pla2g4aa	01100
pla2g4aa	04010
pla2g4aa	04270
pla2g4aa	04370
pla2g4aa	04912
fgf6a	04010
fgf6a	04810
ran	03008
ran	03013
hsp90ab1	04141
hsp90ab1	04621
hsp90ab1	04914
mef2ca	04010
bmp7a	04340
bmp7a	04350
tp53	04010
tp53	04110
tp53	04115
tp53	04210
tp53	04310
hsp90aa1.1	04141
hsp90aa1.1	04621
hsp90aa1.1	04914
myl7	04510
myl7	04530
myl7	04810
thrb	04080
bmp4	04340
bmp4	04350
acvr1l	04060
acvr1l	04350
myh7	04530
urod	00860
urod	01100
ube2ib	03013
ube2ib	04120
smad1	04350
