ERR6501829	ERR6501833	ERR6501834	SRR10813970	SRR10813971	SRR10813972	SRR10813973	SRR10813976	SRR10813977	SRR12005388	SRR12005389	SRR12005390	SRR12005391	SRR12898817	SRR12898818	SRR12898819	SRR12898823	SRR12898824	SRR12898825	SRR12933780	SRR12933782	SRR12933784	SRR17085048	SRR17085049	SRR17085050	SRR17085051	SRR17085052	SRR17085053	SRR17085054	SRR17085055	SRR3290608	SRR3290609	SRR3290610	SRR3290611	SRR3290612	SRR3290613	SRR5984237	SRR5984238	SRR5984239	SRR9336401	SRR9336402	SRR9336403	SRR9336404
slc35a5	195	206	140	245	76	108	85	79	187	652	467	378	551	102	249	198	112	459	208	12	256	131	128	146	164	170	67	175	140	133	88	195	89	197	145	159	15	21	11	69	81	72	117
ccdc80	2144	1324	1225	1158	925	1143	796	720	2151	3581	2678	2580	2214	2093	4364	1191	2611	13734	4092	147	5793	2455	2082	1656	2615	1051	989	1537	2320	1519	586	1303	656	463	503	753	813	558	772	70	290	28	279
nrf1	939	1059	820	1019	361	400	415	366	489	3141	3772	3581	3799	5002	7759	9997	747	7220	4673	273	3037	2112	2607	3160	2403	1995	808	2033	2448	2346	328	476	158	196	347	425	222	172	209	344	286	196	221
ube2h	2477	2569	2140	4101	1535	1864	1499	1659	2004	9449	7199	6610	9751	3313	5481	5350	985	8213	6369	348	3752	3532	4028	4097	4701	3817	1616	3747	4830	4061	1915	3484	2065	3318	2897	3830	633	499	555	2017	2315	2299	2394
nherf1a	2263	1792	2599	822	420	365	414	391	571	5222	3157	3930	8826	262	591	382	861	3562	1678	224	2743	2649	546	1018	994	459	309	666	773	660	111	282	188	212	230	298	95	53	67	149	170	220	206
dap	1787	1721	2152	876	273	417	431	316	597	14512	13801	14391	16611	1296	1886	2808	8476	7701	3167	192	8635	8247	2209	2393	1746	1910	1103	2163	2424	1708	587	687	348	1191	939	1115	205	148	235	301	339	243	494
ITSN1	2251	2637	2396	2019	745	885	878	676	810	5345	4656	4773	7103	1665	3195	1856	260	1006	762	40	559	424	682	804	672	538	336	684	809	561	2536	4366	2652	2338	2106	2866	1216	1005	1314	680	686	507	677
MYH10	12525	12238	11132	17564	6708	8390	7754	5804	6015	19121	17922	15329	19305	13385	34917	17626	2090	16951	10377	547	7473	5527	30168	18811	28926	19770	8090	19114	29086	19338	13049	34589	20964	11349	10918	11636	9642	7069	8780	5607	5598	4177	5164
tmem267	101	155	187	206	95	105	115	74	70	182	229	202	281	578	1284	1211	53	525	588	33	357	222	338	272	337	261	73	178	296	155	80	136	62	104	72	136	13	23	22	64	67	58	35
thraa	300	293	328	774	296	383	247	274	256	634	308	382	543	199	349	162	149	949	457	27	436	314	353	317	387	186	148	349	405	346	233	333	229	375	479	458	106	85	109	144	161	161	163
itsn2a	417	420	364	63	20	11	33	24	19	1544	1157	1266	1278	323	402	244	59	173	346	29	152	107	134	177	273	211	33	230	170	214	160	121	136	214	222	193	84	41	63	8	11	20	14
hoxb2a	405	209	216	30	8	5	12	7	23	1154	902	819	748	269	322	1047	305	603	367	37	173	260	389	669	369	298	233	379	439	311	445	547	209	268	227	254	34	32	45	0	3	0	0
ptpn4b	334	612	444	1173	369	456	659	574	375	1156	860	771	953	1707	2582	2880	69	938	1047	58	391	392	838	758	826	608	199	705	792	751	266	433	272	274	369	415	78	86	90	421	699	396	456
sema6e	1435	1465	1129	2195	615	663	1085	753	599	5198	3812	3670	4727	1507	3384	2233	443	3125	2487	74	1397	1473	2100	1804	1658	1392	626	1431	1936	1401	1548	3133	2072	1585	2115	2737	515	379	451	528	638	712	418
krt97	15209	14939	10491	18	11	3	2	0	14	84383	54894	63793	80256	549	426	143	1380	2017	773	125	2227	4377	998	10344	1934	9436	3164	6660	4131	3966	973	1477	155	1255	2804	2660	165	284	111	0	0	16	0
usp49	564	559	515	409	187	151	183	183	167	1026	725	551	1451	1214	3271	2144	111	921	952	45	318	177	766	741	808	630	287	635	774	560	485	647	513	620	574	686	192	146	221	66	47	97	59
slc40a1	1744	1970	1837	3752	1230	1408	1214	977	2789	14735	9388	8981	10719	2005	3970	3556	566	8139	5365	154	3055	2153	2874	4482	3531	4021	1542	3904	3422	3746	964	2027	1449	2496	2962	4314	281	273	208	1703	1813	1918	2512
DCAF8	581	712	592	1380	709	766	616	661	742	1954	1760	1823	2271	69	136	168	32	86	50	9	69	62	104	122	107	102	51	100	108	105	941	1821	931	959	1036	1451	195	175	227	748	748	709	668
cfap300	2	21	9	0	1	0	8	6	1	21	10	12	29	41	79	27	39	74	32	0	42	18	2	16	2	0	2	10	0	8	3	3	0	0	1	3	0	1	0	0	0	0	0
prkag3b	177	116	100	318	137	188	200	168	103	740	469	523	495	3	12	0	82	104	40	10	66	53	810	597	743	545	285	720	769	703	59	148	90	177	76	104	35	30	25	229	387	353	302
pde6a	172	283	217	16	4	3	3	4	4	67	31	28	54	37	154	153	27	180	286	33	166	151	81	118	138	56	36	112	94	141	5	61	17	17	19	5	11	9	10	6	15	3	23
si:ch73-314g15.3	162	152	139	366	176	187	108	124	144	283	222	193	334	35	84	54	55	147	81	12	90	123	277	233	307	220	93	274	300	188	38	87	40	38	27	69	12	25	27	87	141	152	125
