Sample	Set	Age
ERR6501833	E-MTAB-10860	120 hpf
ERR6501834	E-MTAB-10860	120 hpf
ERR6501829	E-MTAB-10860	120 hpf
SRR5984237	GSE103169	48 hpf
SRR5984238	GSE103169	48 hpf
SRR5984239	GSE103169	48 hpf
SRR9336401	GSE133130	Adult
SRR9336402	GSE133130	Adult
SRR9336403	GSE133130	Adult
SRR9336404	GSE133130	Adult
SRR10813970	GSE143346	Adult
SRR10813971	GSE143346	Adult
SRR10813972	GSE143346	Adult
SRR10813973	GSE143346	Adult
SRR10813976	GSE143346	Adult
SRR10813977	GSE143346	Adult
SRR12005388	GSE152389	120 hpf
SRR12005389	GSE152389	120 hpf
SRR12005390	GSE152389	120 hpf
SRR12005391	GSE152389	120 hpf
SRR12898817	GSE160107	48 hpf
SRR12898818	GSE160107	48 hpf
SRR12898819	GSE160107	48 hpf
SRR12898823	GSE160107	72 hpf
SRR12898824	GSE160107	72 hpf
SRR12898825	GSE160107	72 hpf
SRR12933780	GSE160398	72 hpf
SRR12933782	GSE160398	72 hpf
SRR12933784	GSE160398	72 hpf
SRR17085048	GSE189934	48 hpf
SRR17085049	GSE189934	48 hpf
SRR17085050	GSE189934	48 hpf
SRR17085051	GSE189934	48 hpf
SRR17085052	GSE189934	48 hpf
SRR17085053	GSE189934	48 hpf
SRR17085054	GSE189934	48 hpf
SRR17085055	GSE189934	48 hpf
SRR3290608	GSE79585	48 hpf
SRR3290609	GSE79585	48 hpf
SRR3290610	GSE79585	48 hpf
SRR3290611	GSE79585	48 hpf
SRR3290612	GSE79585	48 hpf
SRR3290613	GSE79585	48 hpf
SRR7119848	GSE114038	72 hpf
SRR7119849	GSE114038	72 hpf
SRR7119850	GSE114038	72 hpf
SRR7119851	GSE114038	72 hpf
SRR7119852	GSE114038	72 hpf
SRR7119853	GSE114038	72 hpf
SRR7119854	GSE114038	72 hpf
SRR7119855	GSE114038	72 hpf
SRR7119856	GSE114038	72 hpf
SRR7119857	GSE114038	72 hpf
