"Gene" "logFC" "logCPM" "LR" "PValue" "FDR" "ENSEMBLID" "ENTREZID"
"1" "42sp43" -2.78697530928021 1.18518311930046 9.82899974473527 0.00171781740226027 0.0167592396141521 "ENSDARG00000104170" 570186
"2" "5_8S_rRNA" 4.22539932951491 10.6103753442649 2.49067295175972 0.114522747224429 0.313551226311719 "ENSDARG00000081218" NA
"3" "5S_rRNA" 0.396009155640761 1.04810245947881 0.213658414573846 0.643914963359754 0.842412401488903 "ENSDARG00000080040" NA
"4" "7SK" 0.0478907318677329 0.915059552283443 0.00684715300110872 0.934052294417785 0.975201409517511 "ENSDARG00000083675" NA
"5" "A1CF" 5.28194235698749 4.5024503227375 13.8255106705074 0.000200594065513345 0.00355272607589921 "ENSDARG00000002968" 562916
"6" "a2ml" 3.37556842340138 5.8739457410169 5.7460771495756 0.0165255189369706 0.0847176286981519 "ENSDARG00000056314" 100006972
"7" "aaas" 0.150723643153488 4.22314500040981 0.231559332910841 0.630370009458458 0.833246708103419 "ENSDARG00000102274" 378454
"8" "aacs" 0.0893225329919957 3.67082780976827 0.0635627556608256 0.800950976677336 0.923187340495291 "ENSDARG00000012468" 393984
"9" "AADAC" -3.87014744590381 3.22703866980616 29.3866346168128 5.9285107725226e-08 1.23159460475066e-05 "ENSDARG00000063621" 100148912
"10" "aadacl4" 1.2606756170444 1.09423783802641 1.28641553948191 0.256709573362624 0.512298896824705 "ENSDARG00000044802" 569798
"11" "AADAT" -1.52837938541072 3.57159901244792 24.9805735063275 5.79108767687425e-07 6.21632195254076e-05 "ENSDARG00000011410" 557979
"12" "aagab" -0.707787943331267 4.55643236896623 2.82990326088935 0.0925239327140805 0.274113677733493 "ENSDARG00000041170" 436696
"13" "AAK1" -0.0121157689315152 3.07187428106435 0.00046346473926917 0.982824283425151 0.993684131709606 "ENSDARG00000011855" 568999
"14" "aamdc" 0.202744632039226 3.82906810268622 0.0965077825395326 0.756061376510173 0.903446279975476 "ENSDARG00000103957" 553802
"15" "aamp" 1.07596026252713 6.09719878240307 4.39716697262136 0.0359986841922515 0.145784862072844 "ENSDARG00000045019" 405874
"16" "aanat1" -0.235256700547546 3.35108229856315 0.0883353084407759 0.766304230050559 0.908292852918179 "ENSDARG00000036567" 393677
"17" "aanat2" 0.589590562878132 2.08656686020505 1.29806276778204 0.254567384754306 0.510019167533541 "ENSDARG00000079802" 30685
"18" "aar2" -0.932662800412862 4.22092013704489 9.1927882937468 0.00242970489214243 0.0216553871011671 "ENSDARG00000018658" 431768
"19" "aars1" 1.08147780943342 6.54464933608639 7.31480396790038 0.00683888589717282 0.0452248906103364 "ENSDARG00000069142" 324940
"20" "AARS2" -1.34569211330396 3.64517790759742 19.6456858839498 9.32135292610808e-06 0.000414579375154957 "ENSDARG00000107385" 100536819
"21" "aarsd1" 0.0354062192078567 3.22475772514325 0.0104276661795666 0.918664645064846 0.968873557694482 "ENSDARG00000015747" 445178
"22" "AASDH" -0.539594470900734 1.83729061698519 0.321691252667129 0.570593032410747 0.794358499183957 "ENSDARG00000022730" 570338
"23" "aasdhppt" 0.814430557650269 2.93275762510588 3.30467561798895 0.0690829835547975 0.226863379064595 "ENSDARG00000037501" 619247
"24" "aass" 1.41887376971354 4.5989232872299 6.0273160794879 0.0140861356647397 0.0756384546234189 "ENSDARG00000051816" 556229
"25" "aatf" -0.621725998489242 4.45924916800849 3.45777617639679 0.0629549312638535 0.213257587671572 "ENSDARG00000025467" 559477
"26" "AATK" 1.06345001604217 3.60957490706183 4.40877952008124 0.0357544131229094 0.145289757717991 "ENSDARG00000078222" 100004850
