"Gene" "logFC" "logCPM" "LR" "PValue" "FDR" "ENSEMBLID" "ENTREZID"
"2" "5_8S_rRNA" -11.7408550289809 10.0521761766308 8.05606824777311 0.00453514946528219 0.0470805533837648 "ENSDARG00000081218" NA
"52" "abcc9" -3.25234236500136 5.79780631399275 13.2812107549286 0.000268079311932973 0.0118346399215955 "ENSDARG00000015985" 561160
"102" "ABLIM2" -1.58437125850614 4.58021715331483 13.163194627034 0.00028550172498681 0.0119248788410767 "ENSDARG00000055223" 568454
"128" "acap2b" -2.1423665069388 4.44845631139492 12.7448071012169 0.000356998959203745 0.0136632541575081 "ENSDARG00000060783" 100124613
"150" "ackr4b" -2.35567650800217 5.45443703817168 10.5736086511091 0.00114713574505515 0.0230686418078829 "ENSDARG00000040133" 641390
"179" "acp7" -1.92007310753832 3.09664665218457 8.2354753750264 0.00410794115148566 0.0451417932450688 "ENSDARG00000102421" 571830
"194" "acss2l" -3.28297664250824 3.71737901124222 9.14254782460498 0.00249733106407943 0.0347500169381818 "ENSDARG00000069029" 560020
"261" "ADAMTS7" -2.41156280578012 4.8236841276548 8.00269242754777 0.0046707847002901 0.0475174915447395 "ENSDARG00000102478" 560364
"262" "ADAMTS8" -2.48670956936536 4.10850448367478 11.8182970340686 0.000586514801322922 0.0166833994921759 "ENSDARG00000007709" 569618
"286" "ADCY9" -2.01344767190937 5.09569435598785 10.2372887772915 0.00137629731506368 0.0248655639144389 "ENSDARG00000100869" 100333702
"292" "add2" -1.75685563652668 4.96777617497926 13.6891961885252 0.000215691768817586 0.0105393498544155 "ENSDARG00000074581" 570147
"360" "adss1" -3.55322297761874 5.9192888284086 26.074280516494 3.28531238108544e-07 0.000512151359827167 "ENSDARG00000099517" 407989
"361" "adss2" -2.27973993246084 5.25685958627763 9.88464348171908 0.00166663819316652 0.027858005787371 "ENSDARG00000002071" 550502
"364" "aebp1a" -1.6250378546995 5.42180151196119 9.032287991938 0.00265252277349639 0.0358391997464456 "ENSDARG00000091726" 793308
"373" "AFF4" -2.50463410577085 6.24458257945444 13.7052277788832 0.000213858356501276 0.0104784719456051 "ENSDARG00000001857" 556421
"412" "agtpbp1" -2.0452284247527 4.0742900126135 16.2643462843501 5.50908705834828e-05 0.00548908199361126 "ENSDARG00000105214" 554164
"484" "alas2" -1.74689348592921 7.50237597125355 8.26705734230119 0.00403708867702067 0.0446659283837864 "ENSDARG00000038643" 64607
"499" "aldh4a1" -1.64847101359041 5.36130148291239 9.01460952970314 0.00267830100085062 0.0360638760362528 "ENSDARG00000038207" 394133
"551" "alyref" -1.57069317840809 6.93502344199884 11.3077553532469 0.000771840240706315 0.0189611166570208 "ENSDARG00000077732" 560127
"592" "and1" -6.09361919650964 7.81810431541698 14.9649590534278 0.000109526275450576 0.00746170149943027 "ENSDARG00000088514" 794315
"611" "ank1a" -1.92290164183998 5.68242007474436 8.25844447521457 0.00405628695827727 0.0447672511762841 "ENSDARG00000059093" 449796
"612" "ank2b" -1.60896102443193 7.61622284683577 8.79782947940578 0.00301589136078249 0.0381748917101176 "ENSDARG00000043313" 450043
"613" "ANK3" -3.43181328754078 7.16167451167506 16.3886192710383 5.15940849980045e-05 0.00534988666243843 "ENSDARG00000061736" 103909035
"682" "ANO6" -1.91821063197085 4.13878006717868 13.4578047436025 0.000243989073783328 0.0113386814763881 "ENSDARG00000061544" 100535437
"760" "apcs" -5.88649921333015 4.66571079660534 7.96229309283559 0.00477618656995699 0.0479886268139553 "ENSDARG00000045089" 792467
"816" "aqp8a.1" -5.14099159742877 8.19248049347525 16.5129066850631 4.83200331455173e-05 0.00515278441997059 "ENSDARG00000045141" 447923
"848" "arg2" -4.7106916085596 6.5254792008652 16.6480188029603 4.49972825112575e-05 0.00498463685458558 "ENSDARG00000039269" 322614
"867" "ARHGAP35" -1.68124946225519 6.95861341226464 10.1227527083876 0.00146450111847746 0.0259120808016325 "ENSDARG00000062577" 100004299
"874" "ARHGAP45" -1.68545565875345 4.11755428208627 8.19293252512255 0.00420538910554435 0.0454839992100566 "ENSDARG00000052496" 556955
"908" "ARID4B" -2.36927335004002 4.51318928830309 9.87562576259923 0.00167482626829735 0.0278642971036225 "ENSDARG00000090656" 100537923
"935" "arl5c" -1.82734970610346 5.18659450680047 8.36507205487312 0.00382501454468014 0.0437022001309227 "ENSDARG00000035719" 393819
"980" "arrdc3a" -1.6939415852083 7.35916802225502 10.1242466363345 0.00146331457304822 0.0259120808016325 "ENSDARG00000052690" 566685
"1005" "asb10" -4.19493849414457 3.26150931763402 8.53319513021328 0.00348726967845451 0.0413533608478965 "ENSDARG00000099461" 559467
"1032" "ash1l" -1.73950956327137 7.07325439234155 10.4384684380087 0.00123417566360928 0.0238995906194044 "ENSDARG00000070981" 563799
"1063" "ASXL2" -1.85555997036635 4.10014337029999 11.1333601416009 0.00084788856044951 0.0197031246732008 "ENSDARG00000076501" 100150267
"1076" "atf3" -2.70045386511201 7.98864091921458 8.30560926005152 0.00395228218877912 0.0442214258700599 "ENSDARG00000007823" 393939
"1079" "atf5a" -2.08672126516224 3.63086911904474 11.2385937331164 0.0008011383333869 0.0193085164539937 "ENSDARG00000068096" 566223
"1090" "ATG2A" -2.19968838789124 5.17009076824419 9.64674145871756 0.00189687777907944 0.0303592979335378 "ENSDARG00000101507" 101883461
"1128" "atp1a3b" -5.28697182789492 7.94158700091614 14.4235356788707 0.000145966594588293 0.00855396734689002 "ENSDARG00000104139" 64611
"1217" "atxn1a" -1.57667537036133 4.28450598717509 8.05131930315891 0.00454705290188889 0.0471150027484734 "ENSDARG00000061687" 557340
"1249" "b2m" -5.57550536716595 7.51899143426266 11.4437090415435 0.000717364546663392 0.0181735748433829 "ENSDARG00000053136" 30400
"1250" "b2ml" -2.72058438591564 8.33946886623716 11.1585540923245 0.000836450897935702 0.0195753409952116 "ENSDARG00000015887" 791742
"1352" "bcar3" -1.61258158200034 4.4638862812991 20.5167215740925 5.91125836969821e-06 0.001973468041526 "ENSDARG00000016981" 570610
"1382" "BCO2" -2.90692112488478 4.39950472902019 9.52073335059508 0.00203163378573712 0.0310490047717408 "ENSDARG00000055722" 793849
"1409" "bgnb" -2.18045986009069 4.12021324030832 8.95602800131353 0.00276555521232522 0.0366718789678961 "ENSDARG00000002945" 792197
"1435" "BIRC6" -2.38926331826958 7.40927261965787 10.9973604827916 0.000912417345135173 0.0205349952269325 "ENSDARG00000074166" 796547
"1440" "blf" -2.96143794612445 4.98467214195178 10.3639480368047 0.00128500100831473 0.0242262082275827 "ENSDARG00000043126" 503516
"1450" "BLTP3A" -2.22046013861581 4.24753998102269 10.2081170581504 0.0013982386071718 0.0250881142443754 "ENSDARG00000077011" 567346
"1491" "bnip3" -2.16704849912605 3.57385896676851 9.85252908309058 0.00169598439228752 0.0280592594030129 "ENSDARG00000099961" 336116
"1514" "braf" -1.81543040482735 4.24592652919799 16.6953647477663 4.38881010226205e-05 0.00496892454009987 "ENSDARG00000017661" 403065
"1518" "BRCC3" -2.7526131922367 3.17776498276577 18.6306741004628 1.58647298910995e-05 0.0032522696276754 "ENSDARG00000098242" 100333845
