"Gene" "logFC" "logCPM" "LR" "PValue" "FDR" "ENSEMBLID" "ENTREZID"
"1" "42sp43" 2.6803915594717 1.23638273195939 16.362371875035 5.23135487409236e-05 0.00538663842542031 "ENSDARG00000104170" 570186
"17" "aanat2" 1.72316682921936 2.19192545183088 10.6993116564064 0.00107175403088739 0.022514408882069 "ENSDARG00000079802" 30685
"33" "ABCA4" 2.33164655164673 2.54329383553878 10.1322973739874 0.0014569370490648 0.0259067520140286 "ENSDARG00000062661" 555506
"141" "acer1" 2.64942373521583 3.13447703304915 12.4767352609905 0.000412051706846555 0.0145806022135272 "ENSDARG00000010347" 550266
"147" "ackr3a" 1.90814667836062 2.1217674166093 12.1192988478285 0.000499026635725912 0.0157032567956312 "ENSDARG00000062478" 100000764
"177" "acp5b" 1.58947973462447 1.69584211836195 9.24426883366112 0.00236233601226383 0.0339229168910833 "ENSDARG00000101456" 436725
"238" "adad1" 2.44348785969761 1.18346485318248 11.6103918416227 0.000655843334902231 0.017532523905128 "ENSDARG00000089181" 564818
"239" "adal" 1.98679788368087 2.47565169541831 30.3709680449344 3.56828858951559e-08 0.000106067378323351 "ENSDARG00000012986" 619263
"274" "adck1" 1.96817126770361 3.6310406677474 21.4340664301833 3.6620651360682e-06 0.00171876136057306 "ENSDARG00000062561" 100144553
"384" "agbl2" 1.57081340037876 1.85413591901988 14.5065984899775 0.000139669459182103 0.00834824787170015 "ENSDARG00000079983" 568152
"410" "agrp" 2.08466625278425 1.7365013748426 13.0220824908403 0.00030783929457338 0.0125595064491543 "ENSDARG00000069089" 100149042
"426" "ahr1a" 1.98620412694685 1.49408045867201 10.0036495446988 0.00156230312259059 0.0267565013159572 "ENSDARG00000020046" 246224
"516" "alg13" 2.77815462855461 1.36295867023135 16.162939332793 5.81201719452664e-05 0.00554317254889747 "ENSDARG00000054374" 557181
"533" "alkbh6" 1.67154069603989 3.37084086135083 14.5711354942267 0.000134966183522895 0.0082154330482281 "ENSDARG00000077253" 317736
"562" "AMFR" 1.84055579074727 1.41224865288066 7.86318137842044 0.00504515445154593 0.0496306285953236 "ENSDARG00000105578" 101884807
"564" "amh" 1.78057053986503 1.90406533976745 11.8944854529371 0.000563003786846929 0.0164393377412927 "ENSDARG00000014357" 493624
"727" "ap1s1" 1.66343542650979 5.83876507101667 13.9704863691488 0.000185702945974071 0.00981322865789457 "ENSDARG00000056803" 393279
"811" "aqp1a.2" 2.10333449456991 1.26265924511463 10.4803242613155 0.0012065257840812 0.0236608421472666 "ENSDARG00000091027" 559284
"832" "arf4b" 1.68620256142472 2.19110570631125 10.1003642453077 0.00148240021276474 0.0260016041523134 "ENSDARG00000100339" 550402
"915" "arl11" 1.89801846704398 2.12536567626439 7.99971110494032 0.00467848136543664 0.0475174915447395 "ENSDARG00000036637" 324689
"986" "ARSI" 1.97609781919634 1.92456136937949 9.54898659718937 0.00200059839498899 0.0309989078820834 "ENSDARG00000077606" 100329483
"1008" "asb12b" 1.52751116854049 3.37982772825893 11.914360999929 0.00055702842179586 0.016366724716193 "ENSDARG00000037558" 445507
"1018" "asb4" 1.50104154109428 2.70455355654433 17.5675808118838 2.77275290464965e-05 0.00439435979744658 "ENSDARG00000034988" 550321
"1039" "asic4b" 1.94828836269975 1.44497005052316 9.79771580685345 0.00174728770291994 0.0286423494315967 "ENSDARG00000004243" 407667
"1207" "atpsckmt" 1.55629300556304 3.52774518841864 14.8803444092805 0.000114550361990473 0.00758681687085263 "ENSDARG00000033451" 492519
"1273" "b3gnt7l" 1.71944994837558 2.92406532390627 11.8765970381069 0.000568437061695967 0.0165384583937154 "ENSDARG00000053133" 407623
"1274" "B3GNT9" 1.6658563501949 1.97230807883543 9.43730517214063 0.00212615677045082 0.0319369813155117 "ENSDARG00000041616" 100034499
"1289" "b9d2" 1.81271262638701 2.92066560886497 15.305886571237 9.14311511746668e-05 0.00697603899773465 "ENSDARG00000017385" 436667
"1377" "bcl7bb" 1.56162029252411 5.15883549032273 16.5882134624663 4.64387318186205e-05 0.00507612104733553 "ENSDARG00000040396" 81595
"1426" "bik" 2.14794259869401 3.17533628604313 13.3145475809024 0.000263354862339035 0.0117628132774585 "ENSDARG00000045549" 564030
"1464" "bmp15" 2.18324078653159 1.4441946302649 16.4015705633677 5.12427532166063e-05 0.00534452926092499 "ENSDARG00000037491" 334183
"1657" "C24H8orf34" 2.08659318731949 1.83145504197859 10.8731719341735 0.000975672850620676 0.0212798436232208 "ENSDARG00000095034" 557144
"1665" "C2H14orf119" 1.5230369600822 4.56399264828568 12.6136134924997 0.000382947485876773 0.0140243704530026 "ENSDARG00000054292" 368892
"1705" "ca10a" 1.56487379552364 3.07599281196046 8.56177725068536 0.00343294127079436 0.0410328404154265 "ENSDARG00000052644" 641327
"1752" "CACNA2D3" 1.98091787888002 1.40460282905486 9.50661591263495 0.00204732385027486 0.0311819136376192 "ENSDARG00000106018" 100535196
"1770" "CACNG7" 2.0827253262749 1.37731565275576 11.5151629780296 0.000690307789759318 0.0178438570134773 "ENSDARG00000070624" 100003278
"1799" "calhm2.1" 1.64659998014159 3.40673502191552 15.4547292390843 8.4505221282218e-05 0.00668509299571772 "ENSDARG00000039482" 368657
"1801" "CALHM5" 1.57539937160045 1.99408361709341 13.2018039478708 0.000279679782862602 0.0118604510648168 "ENSDARG00000012726" 110437808
"1810" "CALML4" 2.17910920590987 1.22737327931933 9.86375494924898 0.00168566712327931 0.0279924330946802 "ENSDARG00000059347" 100321746
"1853" "capga" 2.15326967360628 1.97622636971223 11.5334337127912 0.000683556433136669 0.0178438570134773 "ENSDARG00000035560" 565410
"1875" "caprin2" 1.830000319889 1.80379114276714 9.41719526498733 0.00214960059803939 0.0319889298754745 "ENSDARG00000020749" 407729
"1921" "CASR" 2.83610525780294 1.20553419314415 16.5785088632753 4.6676975147913e-05 0.00507612104733553 "ENSDARG00000013649" 560607
"1957" "cbln4" 2.18282022824409 2.24129731373644 17.9870881127777 2.22408436751398e-05 0.00398077925778012 "ENSDARG00000061240" 563847
"2016" "ccdc24" 1.78844160744409 1.42302134383759 9.98016278345784 0.00158235694847641 0.0269269856432851 "ENSDARG00000038793" 541495
"2040" "ccdc83" 1.949652842546 1.42485069810435 10.4627282506777 0.00121807248614995 0.023768405678867 "ENSDARG00000077179" 100004068
"2065" "ccl20a.3" 3.19335259062201 1.52268874629577 16.9093186609722 3.92086256637105e-05 0.00485210192689827 "ENSDARG00000101040" 100192217
"2085" "ccl39.3" 2.07363818028649 3.55336487679741 8.89805114199503 0.00285475179044938 0.0371096925529626 "ENSDARG00000100295" 100141481
"2086" "ccl44" 1.57750010696431 1.92359773582476 8.56645306026322 0.00342413581620452 0.0409587272179796 "ENSDARG00000074772" 100141480
"2098" "ccna1" 1.92290947014482 1.37183475983907 9.41334535828697 0.00215411857473759 0.0319889298754745 "ENSDARG00000043236" 404206
"2138" "CCR9" 2.05525736755821 1.410500711799 9.63938096573799 0.00190449410769798 0.0303592979335378 "ENSDARG00000099738" 100006078
"2155" "cd151" 1.62621100484257 6.49837733665307 17.183619472046 3.39349917054566e-05 0.0046556198235909 "ENSDARG00000038288" 450020
"2188" "cd9a" 1.96872230020391 7.07000857570052 22.9668837512244 1.64816266669612e-06 0.00113057619848174 "ENSDARG00000005842" 322455
"2189" "cd9b" 2.13461506015416 5.99850965984683 8.92800084791362 0.00280831564531545 0.0368824076098683 "ENSDARG00000016691" 406737
"2235" "CDCP2" 1.53942608926822 1.93272911924219 9.27488547718093 0.00232317212973457 0.0336313108229026 "ENSDARG00000075866" 567759
"2416" "cfap52" 2.22324666780425 1.3735655558538 9.07484958233503 0.00259148891405357 0.0354441754464306 "ENSDARG00000101679" 553666
"2424" "CFAP91" 1.90070508230652 1.56835534284755 11.8571436074782 0.000574405793374553 0.0166307261766804 "ENSDARG00000006292" 793563
"2463" "chchd3b" 1.60581702330026 5.19952467013079 14.7813907043775 0.000120720967034498 0.00781323493494188 "ENSDARG00000034933" 325751
"2489" "chia.4" 2.38989155391064 1.21080278501762 11.0737727391781 0.000875573514136191 0.0199712065228201 "ENSDARG00000008541" 337333
"2511" "CHMP6" 2.50253296629272 1.17122938868831 11.718631856068 0.000618774297013398 0.0170355823207112 "ENSDARG00000097451" 100147988
"2526" "chrdl2" 2.06921101953199 1.57880309553931 12.1813343450771 0.000482701024884885 0.0154847089360611 "ENSDARG00000078916" 563085
"2623" "clcn1a" 2.47790768161083 1.78723297465946 10.484904987424 0.001203538071245 0.0236608421472666 "ENSDARG00000062084" 795133
"2646" "cldn23.1" 2.44475217142031 4.16207655273907 8.00148517376309 0.0046738998251723 0.0475174915447395 "ENSDARG00000028096" 553515
"2665" "cldnf" 2.59112966678216 3.83571739742677 8.48640184528578 0.0035781076323188 0.0418188398574088 "ENSDARG00000043133" 81585
"2701" "clpp" 1.51120239928972 6.28169998350851 16.4180703488986 5.0798643158419e-05 0.00532937529841414 "ENSDARG00000020679" 553713
"2755" "cnga1a" 2.25294287493208 1.40230937324425 10.2926508772938 0.00133561076483305 0.0245608738595049 "ENSDARG00000029898" 100001558
"2808" "CNTNAP5" 2.04352153056174 1.82294680673067 11.2590673313171 0.000792350125552741 0.0192004952299363 "ENSDARG00000073920" 569185
"2929" "cox17" 1.63445706877531 7.1031803588545 11.8325258910955 0.000582049841357389 0.016681836763587 "ENSDARG00000069920" 447914
"2940" "cox5ba" 1.86282954442039 8.52259431004215 20.9862396134026 4.62593958960095e-06 0.00183341405734518 "ENSDARG00000015978" 415253
"2941" "cox6a1" 2.00480776246138 8.22367242229558 11.7323977936751 0.000614214056675485 0.0170326544055439 "ENSDARG00000022438" 335774
"2948" "cox7a2a" 1.66391480912993 7.57752056051205 11.8962788627359 0.000562461971869241 0.0164393377412927 "ENSDARG00000053217" 554103
"2956" "cpa2" 2.25040047149564 1.70198066290912 9.17872493473463 0.00244844538804917 0.0344680943057233 "ENSDARG00000010146" 445052
"2964" "cpdb" 2.45094041832483 1.22549824477169 12.0897574586322 0.00050699569096711 0.0157305307864171 "ENSDARG00000053877" 555848
"2999" "CPS1" 2.63152249822353 1.84236437705811 10.9540477003129 0.000933993613683165 0.0207962248439941 "ENSDARG00000020028" 555623
"3060" "crip2l" 1.62692265993427 8.19158610584924 10.7052206062839 0.00106833647891329 0.0224690814875219 "ENSDARG00000033201" 449795
"3082" "crtac1a" 2.8721836551928 4.33049545090125 17.1857344092875 3.38972317300365e-05 0.0046556198235909 "ENSDARG00000059826" 559626
"3170" "csmd1a" 2.10549794816904 1.39664456876432 8.33342835429769 0.00389221353663003 0.0440187878413422 "ENSDARG00000044414" 550553
"3171" "CSMD3" 2.06449703548238 2.30164243317294 7.87995581659668 0.00499857014210152 0.049390303869463 "ENSDARG00000077905" 565916
"3206" "ctdnep1a" 1.57190281175959 4.53085036923844 9.31807729915739 0.00226903969609001 0.033225224121318 "ENSDARG00000016519" 492343
"3337" "cyp11a1.1" 2.31134900021874 1.26710183754957 12.7630497663674 0.00035353400289096 0.0135889632361213 "ENSDARG00000002347" 80374
"3462" "dazl" 2.7671263834525 1.3177710191975 18.2885313726091 1.89846671480239e-05 0.00364076923209684 "ENSDARG00000036214" 58039
"3500" "dcps" 1.50547160935474 4.66433864770876 8.16190057450272 0.00427795177584422 0.0457772160742441 "ENSDARG00000009862" 402850
"3503" "dctd" 1.56000623048318 3.40169122708835 9.60192965238623 0.00194373003345167 0.0305970213121012 "ENSDARG00000036990" 550332
"3540" "ddx19a" 2.09970886191695 1.70969642267539 12.6514297853806 0.000375278562678886 0.0139439440945374 "ENSDARG00000044325" 563448
"3554" "ddx4" 2.34067945384771 1.3060310337432 15.023605033914 0.000106174797659876 0.00739131298639877 "ENSDARG00000014373" 30263
"3624" "DGKA" 1.70582877811603 1.50089974806212 9.90151271930996 0.0016514296794062 0.0277337554917228 "ENSDARG00000098175" 564739
"3626" "DGKB" 2.66256724483201 1.36743330271283 14.7207440812946 0.00012466708900326 0.00787785073031641 "ENSDARG00000027724" 557324
"3724" "dkk1b" 2.0393689946482 3.36942602892635 14.3660702199481 0.000150489729790538 0.00871423484030597 "ENSDARG00000045219" 30197
"3760" "dmac2" 1.68017740422141 3.44291039198533 12.6237673221053 0.000380872956748803 0.0139985656511791 "ENSDARG00000096597" 100331141
"3770" "dmrt2b" 1.75772000742649 1.61053343054075 11.5154737062387 0.000690192409059858 0.0178438570134773 "ENSDARG00000070013" 558970
"3788" "DNAH11" 2.1192254002779 2.12999465504446 17.9426285893723 2.27664415079099e-05 0.00398077925778012 "ENSDARG00000094282" 567790
"3791" "DNAH3" 1.95916637082239 1.90459103309068 16.2069044545409 5.67867677019904e-05 0.00550430435850542 "ENSDARG00000068468" 100334351
"3793" "DNAH6" 1.87900076713287 2.04516776742193 13.6120301345216 0.000224740727627503 0.010660241694778 "ENSDARG00000000606" 100148193
"3796" "DNAI1" 2.03460565402592 1.22280377935235 8.32332713479033 0.00391391654863761 0.0441172851808971 "ENSDARG00000100081" NA
"3801" "dnai7" 2.19326671659533 1.2959496803539 10.3968935549089 0.00126227489408461 0.0241662472384228 "ENSDARG00000016815" 566485
"3820" "dnajb9b" 1.59079713277275 2.07048434290516 16.6540288577108 4.4854936820574e-05 0.00498463685458558 "ENSDARG00000016886" 554091
"3888" "dock11" 1.64491265579923 4.94913768201765 19.2404692267777 1.15244266676344e-05 0.00281559109064738 "ENSDARG00000062485" 799686
"3916" "dph3" 1.71669688219296 2.82502814173192 11.9517804898636 0.000545951834803059 0.0162328936824998 "ENSDARG00000043360" 553692
"4086" "dre-mir-203b" 2.5647482168045 1.06961380033708 10.6838287459551 0.00108076140636651 0.0225693138297817 "ENSDARG00000083357" 100033696
"4104" "dre-mir-2189" 2.2339544133644 1.07200114013265 8.11049834648902 0.00440096261588747 0.0464995072596878 "ENSDARG00000098723" 100628804
"4230" "drgx" 2.13107169060451 1.53667450311959 8.33728902223802 0.00388395105868184 0.0440090642513282 "ENSDARG00000069329" 560399
"4263" "DUOXA2" 2.0544213085615 1.19113313383683 8.04430480205698 0.00456469328635548 0.0471705730193384 "ENSDARG00000078962" 100330288
"4328" "dzank1" 2.70481898788557 1.50768835588724 20.4698448451738 6.05781742897689e-06 0.001973468041526 "ENSDARG00000055787" 407652
"4330" "dzip1l" 2.04611795515404 1.23536385235207 8.3577762515901 0.0038404025801085 0.043737918273458 "ENSDARG00000074265" 553313
"4413" "efcab6" 1.77526112958158 1.74846723711586 11.738810502018 0.000612101321864131 0.0170044035443096 "ENSDARG00000020735" 492579
"4421" "efhd1" 1.57972051813617 6.14925323744328 15.0899085499077 0.000102509826979743 0.00732930102850347 "ENSDARG00000043446" 335521
"4543" "elavl2" 2.34630868666103 1.13942323521085 10.1422780117879 0.00144906978052382 0.0258441595356424 "ENSDARG00000040732" 431719
"4593" "EMC4" 2.73741289841098 2.70251351057959 14.2716448873846 0.000158230613660454 0.00898739807208345 "ENSDARG00000102733" NA
"4625" "endog" 1.61069350617935 4.09106942088632 17.1529444498619 3.44874395315875e-05 0.00469529377134246 "ENSDARG00000058865" 100002293
