"Gene" "logFC" "logCPM" "LR" "PValue" "FDR" "ENSEMBLID" "ENTREZID"
"16" "aanat1" -4.01894825230986 3.35108229856315 23.7572600777261 1.09282374235445e-06 0.00013629728283141 "ENSDARG00000036567" 393677
"33" "ABCA4" -2.31512305579206 2.31417847380579 13.918426773533 0.000190917581947529 0.00598420926895287 "ENSDARG00000062661" 555506
"34" "abca4a" -1.67187738678898 2.72683197781954 12.9318644112146 0.000323035883188908 0.00838651241632468 "ENSDARG00000057169" 798993
"51" "ABCC8" -2.53220752489888 1.71428482080461 26.0838763873067 3.2690250900838e-07 5.11430372646005e-05 "ENSDARG00000077007" 100329706
"84" "abhd2a" -1.54943620050007 4.42312207575842 7.89320105528311 0.00496209660965726 0.0461412893812498 "ENSDARG00000025797" 393888
"96" "abi3bpb" -1.62575085062184 7.15317714599056 7.96648687802474 0.0047651331981013 0.045133377901294 "ENSDARG00000071095" 100149890
"107" "abracl" -1.84840854613487 5.85344627919178 14.133087017727 0.000170321459983174 0.00558021815820184 "ENSDARG00000042876" 336650
"178" "acp6" -1.81529955990982 4.45322123725973 11.1553230911087 0.000837908960938012 0.0158810906677252 "ENSDARG00000040064" 558758
"198" "acta2" -2.31817266561571 8.94774781303124 8.0459914084846 0.0045604453784011 0.0438466540829023 "ENSDARG00000045180" 322509
"234" "acyp1" -1.5503915406963 2.87493054306956 9.80877279656768 0.00173681363732724 0.024900378795604 "ENSDARG00000060126" 571263
"294" "add3b" -1.76041536171515 3.09370919023842 12.709918052097 0.000363721366109194 0.00916238780304729 "ENSDARG00000056250" 553243
"414" "agtr2" -2.19167462099481 4.30619028722142 11.9727312902418 0.000539847538055929 0.0119902625669085 "ENSDARG00000035552" 503772
"485" "alcama" -1.74689619021786 8.85094740230522 12.2864100857567 0.000456268535200572 0.0106970185241044 "ENSDARG00000026531" 30194
"510" "aldoca" -3.40574979075141 1.46273102040874 12.5071526590944 0.000405396970020191 0.00989090965842696 "ENSDARG00000057661" 792692
"511" "aldocb" -5.46261652339177 10.8591840391861 22.8109187432825 1.78747298802431e-06 0.000201769498363377 "ENSDARG00000019702" 369193
"527" "alkal2b" -2.40661826622825 1.97379449310818 8.7041957281481 0.00317478458266985 0.0355444337927914 "ENSDARG00000042815" 100329254
"593" "and2" -3.20721211410224 9.00286493605397 8.44774001425544 0.00365497348269304 0.0387322947497507 "ENSDARG00000079302" 566702
"606" "ANGPTL5" -4.71011066930817 5.6589329284143 21.6480563621823 3.27541736153958e-06 0.000337670917011898 "ENSDARG00000056630" 566212
"607" "angptl6" -2.80886374938778 3.83192791464632 13.2153888426545 0.000277659888200376 0.00760685730576607 "ENSDARG00000020265" 561927
"608" "angptl7" -1.60893547228328 4.80348781058092 10.1222834061041 0.00146487406072746 0.0222968873630228 "ENSDARG00000027582" 450053
"648" "ANKRD33" -1.84082516104226 1.59330350753541 9.74046054480911 0.00180255729331117 0.0254340263656683 "ENSDARG00000055638" 557568
"665" "ANKRD6" -3.50673466074153 1.66339265569188 24.8540539541431 6.1838861109481e-07 8.23056782005667e-05 "ENSDARG00000057790" 100330565
"810" "aqp1a.1" -1.79392603961057 7.51915165400065 15.4958915443696 8.26847750009368e-05 0.00348624813745084 "ENSDARG00000023713" 335821
"818" "aqp8b" -4.27259780144471 3.334605097937 11.0375493542554 0.000892848098281845 0.0165357692968398 "ENSDARG00000089749" 555598
"916" "arl13a" -2.04522819514185 2.44011305734334 13.5947795589336 0.000226815400272254 0.00666433717274406 "ENSDARG00000052575" 793658
"927" "arl3l1" -3.20143372041571 3.85524757029897 9.16757232081679 0.00246341133869878 0.0305103758511756 "ENSDARG00000111106" 393666
"928" "arl3l2" -3.45168091964887 2.15268085960583 31.9038210995175 1.61998164275484e-08 4.31229441769143e-06 "ENSDARG00000015404" 393692
"962" "arpc3" -1.88312405107004 7.29232584168011 17.3300091770301 3.14185908499068e-05 0.00181601121929577 "ENSDARG00000057882" 415204
"972" "arr3a" -6.06608994390756 6.46971575242118 14.2453138322891 0.000160459848858216 0.00534916150352576 "ENSDARG00000056511" 436678
"973" "arr3b" -5.54485465465234 4.78788790785574 32.6065785115619 1.12832195151148e-08 3.24574548471086e-06 "ENSDARG00000098475" 796867
"987" "ARSJ" -1.88999597416933 3.60971685259611 10.9616090072255 0.00093019011908275 0.0169165906058388 "ENSDARG00000077590" 559800
"1078" "atf4b" -1.92884150228342 9.44875133737274 9.127443470419 0.0025180334427748 0.0309291504489591 "ENSDARG00000038141" 556410
"1132" "atp1b2b" -2.34881367495625 3.13463841044313 10.9599232586566 0.000931036726951721 0.0169165906058388 "ENSDARG00000034424" 114457
"1135" "ATP1B4" -1.52649642431977 3.11043097409423 8.38393085777588 0.00378552820450308 0.0394675000369879 "ENSDARG00000053262" 100037383
"1143" "atp2b1b" -2.08180457699864 3.71015374946167 15.9683315063175 6.44109975040658e-05 0.00297839622611418 "ENSDARG00000007788" 561190
"1374" "BCL6B" -1.50225083306984 5.01610470396317 9.64914813458239 0.00189439415591033 0.0260096380066672 "ENSDARG00000069335" 793278
"1404" "BFSP1" -4.36739664303778 2.09757851113732 18.3139160078401 1.87333720842881e-05 0.00125605147038827 "ENSDARG00000074919" NA
"1405" "bfsp2" -4.79250026014878 2.44074465624467 24.1958580382842 8.70192257486874e-07 0.000111653805124305 "ENSDARG00000011998" 494090
"1411" "bhlha9" -2.25746679423851 1.44057595964176 8.47790303433126 0.0035948624465126 0.0383688639937476 "ENSDARG00000103981" 323481
"1440" "blf" -3.94683669514163 4.67673482411005 31.121914143093 2.4232019557588e-08 5.84024417310245e-06 "ENSDARG00000043126" 503516
"1452" "blvrb" -1.63485358870506 5.85986937904525 15.0546899318225 0.000104440420560602 0.00411190927306476 "ENSDARG00000096829" 436959
"1481" "bmpr1ba" -1.83151747048849 3.87778266676825 12.3803284745664 0.000433880814421914 0.0103314610483509 "ENSDARG00000104100" 30742
"1577" "btg2" -1.67829861397583 8.23746632208829 9.6526219890603 0.00189081504530601 0.0259921494272947 "ENSDARG00000020298" 30079
"1650" "C20H12orf57" -1.73503465615886 5.06645142981799 10.720348791483 0.00105963695822208 0.0183481797571755 "ENSDARG00000030038" 323559
"1707" "ca14" -3.00919402073069 1.2050963938774 15.9481006577613 6.51030698675756e-05 0.00297839622611418 "ENSDARG00000061697" 567897
"1712" "ca4a" -3.1998675423402 2.12621554029015 22.9051229904429 1.70197636498178e-06 0.000198397048819935 "ENSDARG00000043589" 555196
"1718" "ca8" -1.78213241934129 3.76094990285186 22.869450305506 1.73385823992236e-06 0.000199505559413002 "ENSDARG00000039098" 550233
"1729" "cabp2a" -3.62052747204476 2.52393866680482 44.166345226825 3.0162266555769e-11 3.36215015013837e-08 "ENSDARG00000052016" 572226
"1730" "CABP4" -2.28340884736432 1.15610798064847 8.36718344858702 0.0038205729849063 0.0396649846013723 "ENSDARG00000105631" 101886622
"1731" "cabp5a" -4.1806644509399 2.01896139934619 30.4148343401043 3.48850205336196e-08 8.18650448969876e-06 "ENSDARG00000002576" 393671
"1732" "cabp5b" -3.16197674975429 1.37608400669661 19.8063086277192 8.56993563600323e-06 0.000701122945266595 "ENSDARG00000028485" 553766
"1743" "cacna1fb" -2.6716072452515 1.92154404074198 21.5228068024665 3.49645538627378e-06 0.00035033304389996 "ENSDARG00000023683" 559964
"1756" "cacnb2b" -1.79132150860024 1.58599774057566 11.6440889628516 0.000644068698600219 0.013514076752394 "ENSDARG00000055565" 558806
"1768" "cacng5a" -2.21583794445145 1.4282705152913 9.92485949222191 0.00163061295839189 0.0239058074830617 "ENSDARG00000003326" 797409
"1788" "calb2b" -3.27775731593125 4.79897600898329 16.9420316932176 3.85387415717022e-05 0.00210840017156843 "ENSDARG00000036344" 393684
"1816" "calua" -2.95123296059973 7.51862060328344 23.0955301362857 1.54148634002384e-06 0.000183282725828835 "ENSDARG00000045676" 415241
"1817" "calub" -1.92625192307854 6.22848723112058 16.0882993422616 6.04564165497288e-05 0.00285248727292173 "ENSDARG00000005115" 394057
"1821" "camk1db" -1.55915676238309 3.03331964312736 8.08991242772406 0.00445123130178343 0.0431454947104932 "ENSDARG00000017446" 791176
"1822" "camk1ga" -4.28358955246835 1.83323635377773 35.1257987662628 3.09078780307427e-09 1.28195815041464e-06 "ENSDARG00000044526" 335654
"1823" "camk1gb" -2.63004949958296 2.59010582469046 19.7266046157866 8.93487959972547e-06 0.00071780890838335 "ENSDARG00000008788" 393802
"1832" "camk2n2" -2.0771633948757 2.83721566149744 13.1349368953012 0.000289840037048073 0.00781537790211565 "ENSDARG00000111102" 436915
"1835" "camkk1b" -3.36381955763806 1.98651481709518 34.4397864106266 4.39643765380417e-09 1.63355136574161e-06 "ENSDARG00000015134" 100170786
