"Gene" "logFC" "logCPM" "LR" "PValue" "FDR" "ENSEMBLID" "ENTREZID"
"88" "ABHD6" 2.4211273235712 4.36939510850429 10.2710279606773 0.00135135488717518 0.0241497138404502 "ENSDARG00000060756" 799085
"185" "acsl1b" 1.76223871810148 8.14057966791814 8.49544536574138 0.00356036614754676 0.0452918190024939 "ENSDARG00000003854" 445175
"312" "adh8a" 3.28180810690213 3.22072536951703 9.06380882944916 0.00260718321770346 0.0365846677322906 "ENSDARG00000091211" 322482
"433" "ahsg1" 5.81198479145537 4.09997531532945 11.1885447460107 0.000823038702050359 0.0174333672815536 "ENSDARG00000026764" 569558
"434" "ahsg2" 5.15251738708637 4.33716419685018 9.65468000136487 0.00188869791016436 0.0299687964659977 "ENSDARG00000069293" 567406
"505" "aldh9a1a.2" 3.0835620335685 2.9751137807771 10.8629875982041 0.000981052988513419 0.0195716779084304 "ENSDARG00000055331" 100006238
"543" "alp3" 3.206051532715 3.06668291110332 9.52998557298342 0.00202141709147607 0.0309666674880963 "ENSDARG00000098063" 100330410
"612" "ank2b" 1.66695317570146 7.61622284683577 9.38758601787534 0.00218459672981216 0.0326512434957229 "ENSDARG00000043313" 450043
"613" "ANK3" 2.80123520191431 7.16167451167506 12.4926997186909 0.0004085453648007 0.0108106922570037 "ENSDARG00000061736" 103909035
"785" "apobec2b" 5.50281753364898 2.93167326689487 10.2813079025958 0.00134384654249753 0.0241121761422972 "ENSDARG00000113992" 567047
"1014" "asb15b" 4.03280332691666 2.32460251440244 14.9607845306029 0.000109768860031264 0.00427451445121746 "ENSDARG00000045863" 568579
"1249" "b2m" 5.20496412042745 7.51899143426266 11.477873866712 0.00070429654916627 0.0156038868998515 "ENSDARG00000053136" 30400
"1631" "c1qa" 3.79552634805148 3.23170750276265 10.2122879555825 0.0013950799303729 0.0246837803156753 "ENSDARG00000044613" 553548
"1791" "calcoco1b" 2.3645714354397 1.90746053390078 12.8595201389639 0.000335766682304163 0.00961772903430866 "ENSDARG00000016391" 386968
"1953" "cbln17" 3.05221894633145 1.81236594165092 8.86063418379344 0.00291386320836307 0.0394527383221153 "ENSDARG00000088911" 100535383
