Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
2	5_8S_rRNA	-13.3519951955446	10.6103753442649	11.0154758971253	0.000903543256116545	0.0126556019827375	ENSDARG00000081218	NA
5	A1CF	-3.73673882164401	4.5024503227375	8.85580650366435	0.0029215800100457	0.0253720175689335	ENSDARG00000002968	562916
22	AASDH	-1.97740651736675	1.83729061698519	10.1745850434079	0.00142389740489224	0.0165732228206145	ENSDARG00000022730	570338
26	AATK	-1.62809407807656	3.60957490706183	13.4777687382055	0.000241406702031933	0.00611575075389138	ENSDARG00000078222	100004850
39	abcb4	-3.509705539206	5.68345177564859	7.71403263996869	0.00547932132078485	0.0368584947580095	ENSDARG00000010936	100136865
41	abcb6a	-1.84919620864005	3.78265830631554	7.6530353959527	0.00566768780214616	0.0375494843801177	ENSDARG00000063297	564067
52	abcc9	-3.8254719178673	5.91344819195066	14.729785058601	0.000124070680614805	0.00430505951121605	ENSDARG00000015985	561160
64	abcg2a	-2.24003063820424	5.55109247008678	7.7160495461497	0.00547320307699792	0.0368356893880219	ENSDARG00000100075	735312
102	ABLIM2	-2.12206731012045	4.63478945762479	15.849967805927	6.85677030304444e-05	0.003076816749919	ENSDARG00000055223	568454
126	acap1	-1.55423541133125	4.99852730285021	15.7790248107121	7.1187354920887e-05	0.00310422121030323	ENSDARG00000056346	561771
128	acap2b	-2.45018190659047	4.3971807715739	17.7603062156791	2.50556471644841e-05	0.00188483753238595	ENSDARG00000060783	100124613
135	acbd5a	-1.71102390042408	4.58746425621757	10.8062761353569	0.00101156571572975	0.0134636377164478	ENSDARG00000034883	553674
143	acer3	-1.68053757203179	2.48164077157651	12.5918253729982	0.000387437569776507	0.00808181176253101	ENSDARG00000093366	555411
146	ACKR2	-2.66279775945274	1.65589558154312	7.08128067897959	0.0077893320851275	0.0462256012939305	ENSDARG00000086314	101887081
150	ackr4b	-2.91392826339746	5.55419101381562	12.624509771927	0.00038072171229944	0.00799784657109602	ENSDARG00000040133	641390
156	acod1	-3.43473338907565	3.02626540103029	11.3765418419136	0.000743774601094026	0.0113377948807795	ENSDARG00000069844	795305
179	acp7	-2.30916886500032	2.99508226768784	14.7837370072586	0.000120570851260089	0.00424138290379426	ENSDARG00000102421	571830
192	acss1	-1.96993781801771	5.18368636067289	9.39891050284104	0.00217114421728617	0.0215672500062715	ENSDARG00000044142	541435
194	acss2l	-4.65242711854908	4.01133773145634	13.1412398596741	0.000288866641408805	0.00680432529196465	ENSDARG00000069029	560020
218	actr3b	-2.58595638181575	2.16690696072511	7.72627827847872	0.00544228149728771	0.0366829518156184	ENSDARG00000008790	100038776
236	ADA2	-3.61914958116742	2.22564807206348	12.4963232318839	0.000407753717657725	0.00834935425307178	ENSDARG00000015623	559295
259	adamts5	-1.79479845783525	3.21563347339293	10.7325945823315	0.00105264746724286	0.0138354108484912	ENSDARG00000100307	565053
261	ADAMTS7	-2.50205012331362	4.55886119291898	11.7703682773132	0.000601810704526403	0.0102514110996525	ENSDARG00000102478	560364
262	ADAMTS8	-3.24161666320209	4.30487612979447	13.9835211615254	0.000184419905877874	0.00534817727045835	ENSDARG00000007709	569618
281	ADCY3	-1.89153593111115	2.86425504028303	8.17842727078671	0.0042391498066559	0.0317402337538657	ENSDARG00000077145	571825
282	adcy5	-1.78573761851533	3.94206415902149	8.21382445740768	0.00415724381203703	0.0312995252272127	ENSDARG00000091342	562619
286	ADCY9	-2.27455169140084	4.99286277610844	14.2614277506593	0.000159091888070144	0.00495183913391103	ENSDARG00000100869	100333702
292	add2	-2.17052132206967	4.90653764831997	19.373649826759	1.07479874683765e-05	0.00115838472219137	ENSDARG00000074581	570147
294	add3b	-1.77433170306933	3.09370919023842	9.46893780073423	0.00208980344741179	0.0210812468804238	ENSDARG00000056250	553243
300	ADGRD1	-2.28415647489941	3.10995792702179	9.57008583158582	0.00197773535694868	0.0201998442790888	ENSDARG00000053344	NA
312	adh8a	-3.66473997569756	3.5061714419163	8.58104162646158	0.00339681001012121	0.0279051619210096	ENSDARG00000091211	322482
321	ADISSP	-1.90881346996336	3.2239355253267	8.40391086742009	0.00374414645178463	0.0294300801972582	ENSDARG00000076239	560941
337	adora2ab	-2.24112859228284	2.54980389572865	8.4989617074438	0.00355349199929514	0.0286771628087913	ENSDARG00000058488	566118
340	adprh	-1.54924439800592	3.33377640500459	8.47643009626864	0.00359777434261006	0.0288907273302343	ENSDARG00000040712	445059
355	adrb2b	-3.59996778361164	4.49401951570877	9.20182524303838	0.00241773935362805	0.0227668328257425	ENSDARG00000054510	100037315
360	adss1	-4.04875327693122	6.00432971668121	25.0742403405255	5.51648885471893e-07	0.000258912049273453	ENSDARG00000099517	407989
361	adss2	-2.8553115299098	5.37575002827492	11.7524822911731	0.000607621474092939	0.0102914805227422	ENSDARG00000002071	550502
364	aebp1a	-2.16379718822636	5.48431472749061	11.7000273191128	0.000624991802400645	0.0104302469274267	ENSDARG00000091726	793308
371	AFDN	-1.7978759733028	7.35938393009437	10.6464366079036	0.00110283183541763	0.0142632384225333	ENSDARG00000029472	558359
373	AFF4	-2.81648652721575	6.16769175840099	18.7906444948395	1.45880964356332e-05	0.00136219214622785	ENSDARG00000001857	556421
393	AGL	-4.2127117925872	4.19202778148926	8.81697504268656	0.00298441001454184	0.0257259316623266	ENSDARG00000100352	553352
395	agmat	-2.67535760094971	3.65274706950149	7.53753756630268	0.00604265707493629	0.0390332448140126	ENSDARG00000059700	556522
412	agtpbp1	-2.38381222436598	4.00436486294243	27.4362157828403	1.6236200991436e-07	0.000125901149861853	ENSDARG00000105214	554164
418	agxtb	-6.6426459485109	7.40380886444623	10.1916318809169	0.00141079408310271	0.0165440647001967	ENSDARG00000018478	79378
475	akr1b1.2	-3.10106146753518	3.7552916791783	10.7005830497412	0.0010710177642213	0.0139651898450064	ENSDARG00000045598	553452
477	AKT1	-2.11628147963567	2.97483619930394	15.9709109914274	6.43232900259022e-05	0.0029771551162803	ENSDARG00000099657	NA
484	alas2	-2.01075409205659	7.40559506793516	10.2210133625414	0.00138849540606568	0.0163673599254338	ENSDARG00000038643	64607
499	aldh4a1	-2.21275607028563	5.45824053804356	11.7451752977031	0.000610011628887283	0.0103123766836063	ENSDARG00000038207	394133
527	alkal2b	-2.77955849468631	1.97379449310818	7.59291862802889	0.00585980066378836	0.038323998840728	ENSDARG00000042815	100329254
548	alx1	-2.63131742320243	1.72649847307973	6.93679358562426	0.00844403461515117	0.0485149338152546	ENSDARG00000062824	565176
551	alyref	-1.85492002826437	6.79687942436956	19.7836212248637	8.67226447423014e-06	0.00107409608956871	ENSDARG00000077732	560127
554	ambp	-4.50870066302788	6.21672184135865	10.0779003786402	0.00150058227865758	0.0170976101357132	ENSDARG00000004296	394093
592	and1	-6.76380655720186	7.93485699540338	17.8964652561488	2.33253932914308e-05	0.00182459819891521	ENSDARG00000088514	794315
594	and3	-4.93212547809699	4.9970624637004	9.91232697587292	0.00164175408286158	0.0180459674221781	ENSDARG00000056873	561047
604	angptl3	-2.64198464240856	4.87626260728944	7.48808529101392	0.00621085608013364	0.0396742901823723	ENSDARG00000044365	114421
606	ANGPTL5	-3.41953336140175	5.6589329284143	9.24228137411335	0.00236490134533803	0.0225309911827478	ENSDARG00000056630	566212
609	angptl8	-2.31893178489013	1.53932579281022	9.94214218953161	0.00161537454374108	0.0178648475672473	ENSDARG00000097571	107990273
611	ank1a	-2.23225246926954	5.58532895883043	11.2082932864954	0.00081432579576462	0.0118947588595102	ENSDARG00000059093	449796
612	ank2b	-1.90532258662052	7.63782525275322	10.692712089242	0.00107558408890245	0.0139818092023143	ENSDARG00000043313	450043
613	ANK3	-3.81741275629808	7.08291455843096	17.7704715184411	2.49221296089873e-05	0.00188466078924683	ENSDARG00000061736	103909035
623	ankhd1	-1.79017500722936	7.0520384865858	9.04963748340791	0.00262746911952943	0.0239640536721572	ENSDARG00000077860	563327
668	ankrd6b	-1.81502921132874	4.05997372908539	16.9937207144438	3.75036452490596e-05	0.00226477200724096	ENSDARG00000029370	378477
669	ankrd9	-3.97666461465467	5.54635183732871	8.77221368344255	0.003058540185359	0.0260895547362524	ENSDARG00000028804	492328
672	anks4b	-3.24459294179478	3.44056387645648	8.14856900039636	0.00430951545111165	0.0320250866960735	ENSDARG00000036846	431735
682	ANO6	-2.40553681423651	4.19134687801498	16.6171128328883	4.57364824640212e-05	0.00244224600223299	ENSDARG00000061544	100535437
760	apcs	-6.83553234922385	4.55718119229765	11.4147647500356	0.000728627224309732	0.0112732917773881	ENSDARG00000045089	792467
785	apobec2b	-6.14979276804036	3.31260682899834	9.74682356317044	0.00179632844407353	0.0190548662082509	ENSDARG00000113992	567047
