Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	42sp43	1.82482450778434	1.18518311930046	8.85892399519138	0.00291659448732074	0.0253620003322113	ENSDARG00000104170	570186
2	5_8S_rRNA	-13.3519951955446	10.6103753442649	11.0154758971253	0.000903543256116545	0.0126556019827375	ENSDARG00000081218	NA
3	5S_rRNA	-1.88107858808293	1.04810245947881	3.26725197106027	0.0706759211662849	0.190466161075958	ENSDARG00000080040	NA
4	7SK	-0.419852602238168	0.915059552283443	0.30538099664952	0.580528519512486	0.741352294537104	ENSDARG00000083675	NA
5	A1CF	-3.73673882164401	4.5024503227375	8.85580650366435	0.0029215800100457	0.0253720175689335	ENSDARG00000002968	562916
6	a2ml	-2.16743546101429	5.8739457410169	3.15371637185663	0.0757542485197659	0.1994504018822	ENSDARG00000056314	100006972
7	aaas	0.062148675563749	4.22314500040981	0.0553495561309312	0.81400316443894	0.895880681133508	ENSDARG00000102274	378454
8	aacs	-0.180329700615712	3.67082780976827	0.368710061218863	0.543708236181064	0.71194870595282	ENSDARG00000012468	393984
9	AADAC	0.0749354931327122	3.22703866980616	0.0256182835819203	0.872836074178359	0.929951624128549	ENSDARG00000063621	100148912
10	aadacl4	-0.694718211392655	1.09423783802641	0.50082494547673	0.479137872421513	0.668499096819032	ENSDARG00000044802	569798
11	AADAT	0.689817587488236	3.57159901244792	9.16192109826823	0.00247103025078055	0.0230858169317292	ENSDARG00000011410	557979
12	aagab	1.12396731138159	4.55643236896623	11.2298564427131	0.000804918706876335	0.0118154116355057	ENSDARG00000041170	436696
13	AAK1	-1.34482064967238	3.07187428106435	8.46997246403101	0.00361056896796359	0.0289543604063087	ENSDARG00000011855	568999
14	aamdc	-0.905402577315934	3.82906810268622	2.5323853708049	0.111531498095175	0.25763039354066	ENSDARG00000103957	553802
15	aamp	-0.637823516087043	6.09719878240307	2.1062419009196	0.146699197870498	0.31002324057745	ENSDARG00000045019	405874
16	aanat1	0.038267677899764	3.35108229856315	0.00335965090464896	0.953778502394171	0.974938142030292	ENSDARG00000036567	393677
17	aanat2	1.13370092175324	2.08656686020505	5.48012735127297	0.0192338576676094	0.081841578990248	ENSDARG00000079802	30685
18	aar2	0.897943656349382	4.22092013704489	13.326733963343	0.000261648847896027	0.00641003736569456	ENSDARG00000018658	431768
19	aars1	-0.776524587248735	6.54464933608639	5.05302313666399	0.0245830108471287	0.0957706418651247	ENSDARG00000069142	324940
20	AARS2	0.132864459467161	3.64517790759742	0.369659394401197	0.543189985914333	0.711552948863909	ENSDARG00000107385	100536819
21	aarsd1	-0.170851307280226	3.22475772514325	0.352207749797849	0.552866029278152	0.719367157815411	ENSDARG00000015747	445178
22	AASDH	-1.97740651736675	1.83729061698519	10.1745850434079	0.00142389740489224	0.0165732228206145	ENSDARG00000022730	570338
23	aasdhppt	-0.401893196572423	2.93275762510588	1.04725091235704	0.306141077027183	0.503971396416819	ENSDARG00000037501	619247
