Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	42sp43	1.82482450778434	1.18518311930046	8.85892399519138	0.00291659448732074	0.0253620003322113	ENSDARG00000104170	570186
33	ABCA4	1.91763428372606	2.31417847380579	11.2751018224199	0.000785535460146226	0.0116320621303963	ENSDARG00000062661	555506
141	acer1	2.5522497106759	2.8662526274178	18.7339286849482	1.5028457366726e-05	0.00139600279758103	ENSDARG00000010347	550266
274	adck1	1.58496609937902	3.4321278962546	18.9316444928187	1.3548655314546e-05	0.00128583888611807	ENSDARG00000062561	100144553
410	agrp	1.57296720282564	1.64285823063587	9.91829206701523	0.00163644166651693	0.0180048964357369	ENSDARG00000069089	100149042
516	alg13	2.19981648737237	1.3047796713606	15.2348386660095	9.49358094460605e-05	0.00367068916949958	ENSDARG00000054374	557181
727	ap1s1	1.50355087543752	5.60242817776054	17.1921397201462	3.37831290836385e-05	0.00214586113605736	ENSDARG00000056803	393279
915	arl11	1.55513928572853	1.96987324961016	13.7561682280361	0.000208136236305099	0.00569341989954209	ENSDARG00000036637	324689
986	ARSI	1.59067538191581	1.75019762785748	10.9193006929345	0.000951675264337583	0.0129664845985186	ENSDARG00000077606	100329483
1314	bambia	1.54590576574018	7.32333989646702	20.3219762918824	6.54445760066804e-06	0.000975495162726968	ENSDARG00000055381	83496
1426	bik	1.79294204260646	3.02616856999252	13.9602638291261	0.000186715458626665	0.00537028823079931	ENSDARG00000045549	564030
1472	bmp4	2.03716072829909	7.99844342608501	9.12721848470204	0.00251834312649506	0.0233565520858239	ENSDARG00000019995	30612
1504	bora	1.54934995579707	2.79171766807796	7.00779982564026	0.00811553533808865	0.0472545128158051	ENSDARG00000042688	555606
1657	C24H8orf34	1.55198235276143	1.73539355165814	9.48905471185672	0.00206701290920754	0.0209342278453813	ENSDARG00000095034	557144
1853	capga	1.81865684511982	1.85451831014317	15.0989421276932	0.000102020443652433	0.00380839655135225	ENSDARG00000035560	565410
1921	CASR	2.04647753780031	1.13374639608047	9.1870857227104	0.00243728639356837	0.0228506766629716	ENSDARG00000013649	560607
1957	cbln4	1.57352012639175	2.17786385193567	12.4486746723156	0.000418288522260948	0.0084200629735034	ENSDARG00000061240	563847
2065	ccl20a.3	2.4544604822587	1.47488098481053	10.7096306208611	0.00106579304923322	0.0139432391497359	ENSDARG00000101040	100192217
2085	ccl39.3	1.95369382602467	3.31202844744558	10.5983275546561	0.00113190000436955	0.0145547487944707	ENSDARG00000100295	100141481
2188	cd9a	1.88522527331316	7.0955365394793	16.7238664379375	4.32336838577342e-05	0.00236525383927205	ENSDARG00000005842	322455
2189	cd9b	2.23982445236906	5.83680055294847	12.4829729751435	0.000410678091611836	0.00836607999936098	ENSDARG00000016691	406737
2463	chchd3b	1.50493675386307	4.97171534703732	23.1202119502168	1.52182560541925e-06	0.000430821582105591	ENSDARG00000034933	325751
2623	clcn1a	1.79713328724589	1.68583960010586	8.02209579273494	0.00462100653272155	0.0332573447502861	ENSDARG00000062084	795133
2646	cldn23.1	2.40580892856601	4.02073657713185	10.0281138748435	0.00154168823117743	0.0173952786681394	ENSDARG00000028096	553515
2665	cldnf	2.58957977778992	3.57478935785672	11.8367020039179	0.000580745919490209	0.010067400272474	ENSDARG00000043133	81585
2667	cldni	2.32098966796934	7.38303258563276	7.98514289115796	0.00471627727550821	0.0336998418304043	ENSDARG00000054616	569084
2672	clec19a	1.6533374556293	6.24119348475595	7.69082776380957	0.00555021657428661	0.037084242299348	ENSDARG00000115545	570145
2808	CNTNAP5	1.58475694066655	1.68193018591653	11.6315311651723	0.000648431549998053	0.0106293903439479	ENSDARG00000073920	569185
2836	col15a1b	1.6776550821968	4.89443303311393	10.385005449033	0.00127042812754129	0.015594002515278	ENSDARG00000061848	558137
2929	cox17	1.50872836371823	7.09713221520365	8.09087799795321	0.00444886046273863	0.0326225302825305	ENSDARG00000069920	447914
2940	cox5ba	1.94555151755806	8.57639867802448	22.2212725249351	2.42966894879149e-06	0.00054852083166704	ENSDARG00000015978	415253
2941	cox6a1	2.11091755178466	8.29641957335694	13.8132013491743	0.000201912522720138	0.00562673412924009	ENSDARG00000022438	335774
2948	cox7a2a	1.70404963316899	7.50132085291387	15.1701578131352	9.82438394202864e-05	0.00374397195739489	ENSDARG00000053217	554103
2999	CPS1	2.21947493449609	1.65095455338032	11.7754310474577	0.000600176132684109	0.0102422782015854	ENSDARG00000020028	555623
3060	crip2l	1.71076426604651	8.26588811201099	10.3477877353649	0.00129629947673681	0.0157814702442972	ENSDARG00000033201	449795
3082	crtac1a	2.61074167954464	4.15888343361415	15.8635408098088	6.80776654457208e-05	0.00307383585626438	ENSDARG00000059826	559626
3171	CSMD3	1.73315624008065	2.11863346589647	9.03744588178157	0.00264504925744062	0.0240195791784386	ENSDARG00000077905	565916
