Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	42sp43	0.242018343517139	1.18518311930046	0.0576820571255592	0.810197778549559	0.903964803280037	ENSDARG00000104170	570186
2	5_8S_rRNA	-5.29776767235291	10.6103753442649	6.16996115615173	0.0129937461794894	0.0826186255102079	ENSDARG00000081218	NA
3	5S_rRNA	0.950033204664742	1.04810245947881	0.839874712283642	0.359432605624386	0.583498965432531	ENSDARG00000080040	NA
4	7SK	0.106125999723014	0.915059552283443	0.0264051090184547	0.870914892709069	0.938177449761898	ENSDARG00000083675	NA
5	A1CF	0.955199145975559	4.5024503227375	0.876934808249132	0.349042587288145	0.573009438906854	ENSDARG00000002968	562916
6	a2ml	2.40461384822559	5.8739457410169	3.93996932525113	0.0471516372740092	0.175783748073151	ENSDARG00000056314	100006972
7	aaas	-0.115356248066267	4.22314500040981	0.174674731793537	0.675990209128144	0.826225697628868	ENSDARG00000102274	378454
8	aacs	-0.289773987951834	3.67082780976827	0.835557062835989	0.360670552537223	0.584618677133634	ENSDARG00000012468	393984
9	AADAC	1.09145362504528	3.22703866980616	2.17332782794675	0.140422072714902	0.334110618281127	ENSDARG00000063621	100148912
10	aadacl4	0.30491814839966	1.09423783802641	0.133772684767139	0.714552018017974	0.851631418014974	ENSDARG00000044802	569798
11	AADAT	0.0568016396920078	3.57159901244792	0.0319005937495476	0.858246004638994	0.931354882429964	ENSDARG00000011410	557979
12	aagab	-0.399867178320834	4.55643236896623	1.10935474234552	0.292222256231814	0.514951931590119	ENSDARG00000041170	436696
13	AAK1	0.637410795678329	3.07187428106435	1.74796414112608	0.186132873002114	0.395859741234522	ENSDARG00000011855	568999
14	aamdc	-0.104987437865656	3.82906810268622	0.0333878801729952	0.855014970009414	0.929658720363221	ENSDARG00000103957	553802
15	aamp	-0.00321143546463153	6.09719878240307	5.26105239941899e-05	0.994212745689287	0.996895728305416	ENSDARG00000045019	405874
16	aanat1	-4.01894825230986	3.35108229856315	23.7572600777261	1.09282374235445e-06	0.00013629728283141	ENSDARG00000036567	393677
17	aanat2	-1.34987658816295	2.08656686020505	7.79909178051497	0.00522725017563761	0.0473478958265601	ENSDARG00000079802	30685
