Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
22	AASDH	2.20349145088457	1.83729061698519	9.66328789727357	0.00187986873667379	0.0259708813145485	ENSDARG00000022730	570338
30	abca1b	1.95405973415146	6.11823839685339	9.87197750367687	0.00167815045043932	0.0243728121201834	ENSDARG00000079009	100136868
32	ABCA3	1.63416067701182	6.49457309033539	10.71353123145	0.00106354851768667	0.0183802207489745	ENSDARG00000100524	564344
44	abcb9	1.61519960731347	3.60758985816308	13.9960296408534	0.000183197067951704	0.00581373613330721	ENSDARG00000056200	570148
70	abcg5	3.15347013753993	2.0627435582044	8.41713199511359	0.00371701665171413	0.0390648155470368	ENSDARG00000063078	557317
71	abcg8	2.9092284952474	2.01700981272364	11.6964713638048	0.000626187340505341	0.013279490152096	ENSDARG00000063059	100136850
88	ABHD6	2.42827248672759	4.08323444036168	11.1345860837637	0.000847328360030537	0.0160085818868057	ENSDARG00000060756	799085
100	ablim1a	2.87022100540658	3.20740594902989	13.9235692729157	0.000190395975495487	0.00598420926895287	ENSDARG00000060149	100003558
102	ABLIM2	1.50395322359543	4.63478945762479	8.71854396868748	0.00314989504996976	0.0354187218560431	ENSDARG00000055223	568454
106	abrab	2.8315491289238	1.51775565500962	11.434471788763	0.000720939667189963	0.0144309303752334	ENSDARG00000033854	445477
151	ACLY	1.84864085483722	2.70008767109989	10.8180824565799	0.00100513537623869	0.017766689232128	ENSDARG00000055652	794259
157	acot11a	1.91681560537882	3.46135941146987	13.2753769057174	0.000268914817673284	0.00745893588367501	ENSDARG00000058229	554842
158	acot11b	2.80234878525802	4.91044481719715	10.1218655926689	0.00146520616705706	0.0222968873630228	ENSDARG00000042122	641574
170	acot9.2	1.78940519883419	3.14193776256627	9.56086184615168	0.00198769765786461	0.0267956067483109	ENSDARG00000058390	798008
172	acox3	2.13714935996365	4.62509360471872	16.4709307432043	4.94017393019776e-05	0.00249597739504468	ENSDARG00000038865	406421
185	acsl1b	1.82575192209332	8.12450666083622	8.10077307637397	0.00442463828815901	0.0430264458462435	ENSDARG00000003854	445175
246	ADAM22	2.8299372853964	3.9866618418131	10.6661478984228	0.00109114115641875	0.0186833939763246	ENSDARG00000060532	100126805
283	ADCY6	1.82657057020524	4.95279510237117	10.5589827425271	0.0011562481027593	0.0192654871262842	ENSDARG00000027797	560807
312	adh8a	4.10055223066234	3.5061714419163	10.954129570752	0.000933952347059661	0.0169165906058388	ENSDARG00000091211	322482
335	adora1b	2.6773025542865	2.85890676727455	14.3968206070959	0.000148052069810736	0.00512046993544733	ENSDARG00000075694	100150997
344	adra1aa	2.10948728137745	1.73819462586863	9.59817412574756	0.00194770945017697	0.0264766753383432	ENSDARG00000028725	798498
349	adra2b	2.07981045185958	2.85712076736149	8.69037653306388	0.00319894532893182	0.0357252285169061	ENSDARG00000102096	266751
353	adrb1	2.2698769477707	4.19341106493087	14.5795696820992	0.000134363420542041	0.0048081998106295	ENSDARG00000007490	557194
355	adrb2b	3.23416096485098	4.49401951570877	8.1265691505811	0.00436212136768782	0.0426292792288834	ENSDARG00000054510	100037315
393	AGL	4.53644768860089	4.19202778148926	10.33315651994	0.00130661559890677	0.0208252807922273	ENSDARG00000100352	553352
396	agmo	2.59370444121307	4.47132356046638	9.60732682934187	0.00193802552688981	0.0264181178690601	ENSDARG00000025595	405819
412	agtpbp1	1.6809988362024	4.00436486294243	14.3599915013608	0.000150976368584443	0.00515835925996848	ENSDARG00000105214	554164
429	ahrra	3.51458203544209	5.65773755960608	8.54092313938399	0.00347249476119881	0.0376257254349822	ENSDARG00000099702	641291
433	ahsg1	7.16740093280717	4.19124813870733	15.8119770464396	6.99582629062765e-05	0.00310374532072995	ENSDARG00000026764	569558
434	ahsg2	6.44075110699318	4.40036719726655	14.9849553723859	0.000108371736049383	0.00417453544803615	ENSDARG00000069293	567406
444	aimp1b	2.38419297836904	3.3767195823082	12.1315191418394	0.000495767179037046	0.0112478004334135	ENSDARG00000036894	494049
467	AKAP6	1.84110938704543	4.4731633873359	9.66323590595751	0.00187992193872061	0.0259708813145485	ENSDARG00000077295	100002625
505	aldh9a1a.2	3.9010210879959	2.91315053614591	23.3456380417763	1.35350097482867e-06	0.000163106012743712	ENSDARG00000055331	100006238
509	aldob	3.35624218437192	10.2181888005942	9.01460167669595	0.00267831250821753	0.0319881686276518	ENSDARG00000053684	321664
525	alkal1	2.69629190633152	2.38680438602189	8.20823097301661	0.00417007869479425	0.041410553185777	ENSDARG00000074387	100535009
542	alox5b.3	3.29529119800204	2.44774936979311	13.1248414564511	0.000291406016535291	0.00781537790211565	ENSDARG00000069966	553602
543	alp3	4.56016588401403	3.10393973945121	19.4423235461167	1.03683724949153e-05	0.000797068635546611	ENSDARG00000098063	100330410
612	ank2b	2.07392022903964	7.63782525275322	12.6441409709027	0.000376744543545966	0.00936224091795472	ENSDARG00000043313	450043
613	ANK3	2.92640961329556	7.08291455843096	12.3928799381899	0.000430974034037738	0.0102897214150777	ENSDARG00000061736	103909035
631	ANKRD1	2.73221235473647	2.6371961828634	14.009146083737	0.000181923566143547	0.00581373613330721	ENSDARG00000075263	100151027
655	ANKRD44	1.96025128559817	3.03626901783538	17.3273084980016	3.1463272596714e-05	0.00181601121929577	ENSDARG00000026028	561373
682	ANO6	1.59959626883067	4.19134687801498	8.34897964738644	0.00385903981703716	0.0398298467227186	ENSDARG00000061544	100535437
698	antxr2b	2.2858750012399	4.7747807356817	9.02911655696357	0.0026571286584857	0.0318266552210158	ENSDARG00000063011	560841
754	apbb1ip	2.48146633955116	3.13183436337349	15.9957996420296	6.34831742938947e-05	0.00296393301971626	ENSDARG00000016505	393607
774	apnl	2.60512092499706	1.65385305808909	11.8346015209557	0.000581401391330023	0.012614712669551	ENSDARG00000090900	100002992
