Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	42sp43	-2.89078980821542	1.23638273195939	9.37331098495492	0.00220167476961479	0.0311596425057148	ENSDARG00000104170	570186
2	5_8S_rRNA	3.72246111803102	10.0521761766308	1.64457918205161	0.199698342186727	0.512810472997021	ENSDARG00000081218	NA
3	5S_rRNA	0.403474480770411	0.941582547448278	0.115751008339178	0.733689352784365	0.907178187837887	ENSDARG00000080040	NA
4	7SK	-0.138601082319859	0.896138249124553	0.0451462937231956	0.831735253209978	0.9445257838704	ENSDARG00000083675	NA
5	A1CF	4.68958335631787	4.57297963603315	9.16150693487525	0.00247158956065925	0.0336751717451167	ENSDARG00000002968	562916
6	a2ml	3.27078619434739	6.03232053301582	4.3317757419892	0.0374072011963317	0.192338618035451	ENSDARG00000056314	100006972
7	aaas	0.117508697917243	4.43074153146533	0.0600689712032079	0.806386961921741	0.935529230579835	ENSDARG00000102274	378454
8	aacs	0.179966200428666	3.84721300765489	0.133385232719448	0.714947614865516	0.899738266379232	ENSDARG00000012468	393984
9	AADAC	-2.9819366954611	3.38981125940865	13.8407295923611	0.00019897594365708	0.00642886948392033	ENSDARG00000063621	100148912
10	aadacl4	1.3124614792624	1.14327498721509	1.43967823727287	0.230191415736809	0.548397413967029	ENSDARG00000044802	569798
11	AADAT	-1.39157788350705	3.75373990369396	9.55265584839702	0.00199660324809547	0.0290926625243322	ENSDARG00000011410	557979
12	aagab	-0.652438500963154	4.7910942873158	1.62211820535619	0.202796686863331	0.516698446378115	ENSDARG00000041170	436696
13	AAK1	0.390927655845332	3.23792520942734	0.306159225634417	0.580046657239639	0.832681517588751	ENSDARG00000011855	568999
14	aamdc	0.21570770971756	3.71684519674071	0.229105807255571	0.63218765298535	0.860446533004073	ENSDARG00000103957	553802
15	aamp	0.898945701245442	6.08754898057908	5.30126907392776	0.0213098928022978	0.136222916892108	ENSDARG00000045019	405874
16	aanat1	-0.201769223595948	3.6400828036988	0.0451250245486747	0.831774301293659	0.9445257838704	ENSDARG00000036567	393677
17	aanat2	0.622147989244711	2.19192545183088	1.21359148840547	0.270622001483822	0.597064211052087	ENSDARG00000079802	30685
18	aar2	-0.941686462484719	4.35996695605709	8.03558447004885	0.00458672078622113	0.0514154475069182	ENSDARG00000018658	431768
19	aars1	0.91145551123457	6.64588533320537	4.1414483445035	0.0418453517581255	0.205992781839958	ENSDARG00000069142	324940
20	AARS2	-1.0784001251365	3.79166736967408	7.28976449789129	0.00693485661217053	0.0675783180005738	ENSDARG00000107385	100536819
21	aarsd1	0.160977331387835	3.33207942812981	0.199053298604923	0.655486083646928	0.873344860439486	ENSDARG00000015747	445178
22	AASDH	-0.346308032875131	1.77532181249678	0.176042432668385	0.674796605923845	0.882331192569778	ENSDARG00000022730	570338
23	aasdhppt	0.906165148599592	2.98476761151853	5.55628380797583	0.0184144631144917	0.124402253654151	ENSDARG00000037501	619247
24	aass	1.30059232354993	4.60477866623582	5.30878042144391	0.0212182046743548	0.135792821769744	ENSDARG00000051816	556229
25	aatf	-0.572499903036137	4.71823177795667	1.21049512754865	0.271234085316923	0.59780770039883	ENSDARG00000025467	559477
26	AATK	1.25123240628773	3.74104961033845	4.05931818759999	0.043928232589587	0.21200925149735	ENSDARG00000078222	100004850
27	abat	3.02791722973372	6.88031311352647	16.6680183706469	4.4525351764371e-05	0.00238915029488405	ENSDARG00000006031	378968
28	ABCA12	1.29614931543759	6.24853333329431	1.05703965841074	0.303891342583937	0.631976446951437	ENSDARG00000074749	NA
29	abca1a	0.13919985104799	7.36263242414666	0.06518083656713	0.798487245705718	0.93259541365264	ENSDARG00000074635	558924
30	abca1b	-0.837943896027524	6.17160303071863	1.51512158400632	0.218359238349496	0.534803215595065	ENSDARG00000079009	100136868
31	ABCA2	-0.46058579077525	4.2158105172597	0.693252872258284	0.405060157186379	0.719191318773595	ENSDARG00000013500	100006090
32	ABCA3	-0.09047188231856	6.50634453986346	0.0334166173322998	0.85495328028183	0.95568257235992	ENSDARG00000100524	564344
33	ABCA4	0.934021366459778	2.54329383553878	1.05559541685357	0.304221922352958	0.632156353858209	ENSDARG00000062661	555506
34	abca4a	0.794729030939151	2.95289106700024	1.06809713929497	0.301375652817719	0.629200169520424	ENSDARG00000057169	798993
35	abca5	-0.886611168359814	5.30113034147857	4.04804118631328	0.0442226304069903	0.212866233091862	ENSDARG00000074041	100151075
36	ABCA7	0.398599203475472	3.41588257349521	0.648359564409162	0.420699789302163	0.730155185656766	ENSDARG00000074221	561460
37	ABCB10	-0.176024709284436	4.54671234327457	0.20142615984507	0.653572145209161	0.872335405336169	ENSDARG00000061591	100003744
38	ABCB11	1.10194537370616	4.91378065676724	0.662896170235797	0.415539344470217	0.725444812903907	ENSDARG00000070078	571189
39	abcb4	4.37523020884442	5.52194722731108	11.0862347500146	0.000869708935141964	0.0163966795541828	ENSDARG00000010936	100136865
40	ABCB6	-0.797969897872969	2.65242073082191	1.61632604504705	0.20360483005837	0.517514293135401	ENSDARG00000074254	100004801
41	abcb6a	1.29545879905919	3.71369217682632	3.76114571780171	0.0524566232600706	0.236015104904985	ENSDARG00000063297	564067
42	abcb7	-0.710580556765486	5.85674920742486	4.36618248692301	0.0366590319629725	0.190506822398019	ENSDARG00000062795	566515
43	abcb8	-0.503339776467402	4.22578135104379	2.53231430074313	0.111536520851715	0.371061510419381	ENSDARG00000056672	548340
