Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
16	aanat1	-4.77794503182654	3.6400828036988	23.4039440045304	1.3130904426948e-06	0.000139398619318225	ENSDARG00000036567	393677
17	aanat2	-1.87741378740571	2.19192545183088	12.8423434531293	0.00033886295577993	0.0096697933061361	ENSDARG00000079802	30685
33	ABCA4	-2.68202857286227	2.54329383553878	10.5887305678675	0.00113779073997213	0.0216107538311	ENSDARG00000062661	555506
34	abca4a	-2.10748080807467	2.95289106700024	9.33239017244011	0.00225138503399941	0.0332151803786875	ENSDARG00000057169	798993
51	ABCC8	-3.58094488237082	1.90591936892457	34.3550329264476	4.5921132289769e-09	1.6637242450113e-06	ENSDARG00000077007	100329706
63	abcg1	-2.22005868702545	1.86474483225623	12.195600334245	0.000479023577710492	0.0120499090387399	ENSDARG00000063475	556979
107	abracl	-2.18532658123093	6.14518914083743	12.5194215312123	0.000402743562009031	0.0107207931767628	ENSDARG00000042876	336650
137	acbd7	-1.84302712565847	3.66306833908109	8.33074688186316	0.00389796285942319	0.048110842628244	ENSDARG00000094730	619256
178	acp6	-2.28686036970613	4.6218066987358	19.1990317269895	1.17773113872445e-05	0.000766599812377758	ENSDARG00000040064	558758
224	ACVR1C	-2.05153252300363	1.38180031040327	8.93956985567136	0.0027905842731769	0.0382791247434874	ENSDARG00000086172	100331105
234	acyp1	-1.87069602519721	2.97210794782332	16.9991429746579	3.73966946031478e-05	0.00188127691083766	ENSDARG00000060126	571263
251	ADAMTS1	-1.64011995898916	5.15930321119373	13.7380583102293	0.000210152627513437	0.0068270135314803	ENSDARG00000103519	565145
278	adcy1b	-3.22765915421991	1.50983090861939	18.0353165703497	2.16844643551021e-05	0.00125159359797167	ENSDARG00000088634	569499
294	add3b	-2.20049484179261	3.28965839939423	15.5792038154766	7.91200336502459e-05	0.00328164139570264	ENSDARG00000056250	553243
315	adi1	-1.72087855327225	5.06744349607849	14.7205063317103	0.000124682811573948	0.00473131477536459	ENSDARG00000020448	324079
323	adkb	-1.50892468777794	4.77471549669662	12.6083686035966	0.00038402352976554	0.0103991913337239	ENSDARG00000095947	322229
414	agtr2	-2.74304603148941	4.48736689775928	19.3078055181598	1.11250627369332e-05	0.000732160494144661	ENSDARG00000035552	503772
447	AIPL1	-2.02626801328603	1.66935562978111	11.4929681417846	0.000698599858760198	0.0155939029799601	ENSDARG00000075067	100537095
454	ak3	-1.69097486242624	5.59250986541491	14.599387930644	0.000132957721258479	0.00497128083573368	ENSDARG00000058226	406404
458	AK6	-1.70071016165435	5.00426702659453	21.3496145266705	3.82697695686818e-06	0.000317461088491833	ENSDARG00000035573	415208
482	alad	-1.61416001817538	5.49453807146434	14.7426148917699	0.000123229258328004	0.00469008334575912	ENSDARG00000100372	550338
485	alcama	-1.59949802363379	8.72459684066587	9.54498145174697	0.00200496852250428	0.030879631777948	ENSDARG00000026531	30194
510	aldoca	-4.5717506718444	1.59185984449535	17.2374865855233	3.29862957770495e-05	0.00169054765857379	ENSDARG00000057661	792692
511	aldocb	-4.04954042119809	9.70643656353613	20.2695089773899	6.72640492907422e-06	0.000476053301230312	ENSDARG00000019702	369193
527	alkal2b	-2.72118440809135	2.11044655211912	8.92870052766095	0.00280724002986084	0.0384245018668979	ENSDARG00000042815	100329254
584	anapc11	-1.59296702404716	4.48885120308451	14.2589394764678	0.000159302356154074	0.00567097309782019	ENSDARG00000102531	768140
606	ANGPTL5	-4.69080802660731	5.81731200132853	18.0131788872486	2.19380942707124e-05	0.00125372899886762	ENSDARG00000056630	566212
607	angptl6	-2.89509372604098	4.17247884357741	9.70295023683456	0.00183972415072239	0.0295332855338738	ENSDARG00000020265	561927
608	angptl7	-1.9945019854104	4.96752907747069	12.2074939392254	0.000475979297764907	0.0120072005313113	ENSDARG00000027582	450053
648	ANKRD33	-2.99046811158222	1.66380964282138	22.7806592375081	1.81583953201214e-06	0.000180041466374479	ENSDARG00000055638	557568
665	ANKRD6	-4.90670294451344	1.78132263014982	39.2266266679693	3.77358789928539e-10	2.40364072084839e-07	ENSDARG00000057790	100330565
714	anxa5b	-1.62714498639192	5.69894190979597	9.61162347636321	0.001933496352991	0.0302755991708468	ENSDARG00000016470	337132
739	ap3m1	-1.65277905843007	5.08625439329943	14.4725079844534	0.000142220136733773	0.00521912785729804	ENSDARG00000029928	266798
766	apip	-1.62599910928652	4.58956584551918	25.1331660813982	5.35046772461269e-07	6.62677721308801e-05	ENSDARG00000003132	447941
810	aqp1a.1	-1.78468407582997	7.59869023149945	11.9725654623665	0.00053989558269403	0.0131007315882286	ENSDARG00000023713	335821
916	arl13a	-2.28572951350313	2.64654457347752	11.2512526791603	0.000795692978490153	0.016954819918007	ENSDARG00000052575	793658
928	arl3l2	-4.44539761770202	2.26157963401593	47.9951467235526	4.27275478411944e-12	5.86189089036693e-09	ENSDARG00000015404	393692
962	arpc3	-1.90138501634775	7.42252714111361	13.6006696005128	0.000226104862593112	0.00725284213012257	ENSDARG00000057882	415204
964	arpc4l	-1.55480875625761	6.73532476117298	11.8029792747287	0.000591360120610673	0.0139694142398561	ENSDARG00000058225	445305
972	arr3a	-5.52991144863912	6.5152456911518	9.77347883597523	0.00177047139292213	0.0288105449751517	ENSDARG00000056511	436678
973	arr3b	-5.90403257212737	5.02178268091646	28.8793641549149	7.70292100666328e-08	1.41630511498804e-05	ENSDARG00000098475	796867
1024	ascc1	-1.51307397363218	3.84021464791727	10.1937612111719	0.00140916593976796	0.0248590252579244	ENSDARG00000077760	550273
1043	asmt	-1.94721451643247	1.47909737441771	10.2963972799836	0.00133290185866179	0.0239881984351494	ENSDARG00000098249	100141344
1078	atf4b	-1.76463835272185	9.1037653685222	9.9975944688039	0.00156744840098473	0.0265518551184388	ENSDARG00000038141	556410
1086	atg12	-1.73220684777787	3.4439739484896	14.2234735289164	0.000162332868900897	0.00572175240483695	ENSDARG00000069545	570965
1111	atox1	-1.75170865843512	5.9450043452556	8.76088126142227	0.00307760302745832	0.0409644097217569	ENSDARG00000087693	558347
1143	atp2b1b	-2.37767761356606	3.90115126550354	17.7479942987869	2.52183225412514e-05	0.00137965884209576	ENSDARG00000007788	561190
1193	atp6v1f	-1.59716630321668	4.99031061175543	21.9590891526594	2.78524683365215e-06	0.000250883218576698	ENSDARG00000045543	436799
1330	baxb	-1.65436420707209	3.64390271855917	22.6490268830209	1.94458681896052e-06	0.000189517518667545	ENSDARG00000030881	503609
1336	bbln	-1.5631191918511	4.14179373169956	11.2995327668106	0.000775265981690029	0.0166991168882146	ENSDARG00000086753	100856806
1353	bcas2	-1.52196066843515	6.24451132446348	13.9686037297247	0.000185888999513895	0.00625534020062324	ENSDARG00000043631	493614
1374	BCL6B	-1.95020500484908	5.23735297596748	12.6073745145096	0.000384227821109742	0.0103991913337239	ENSDARG00000069335	793278
1391	BDKRB2	-2.45789020216928	1.36213849368397	8.4068561778739	0.00373808528008663	0.0468464781263605	ENSDARG00000043664	100004938
1404	BFSP1	-5.45309118569223	2.14485192821807	28.8387599989815	7.86610657275956e-08	1.43155112984864e-05	ENSDARG00000074919	NA
1405	bfsp2	-5.77219463520753	2.47157663990965	36.3720110041261	1.63027631721844e-09	7.65157318883969e-07	ENSDARG00000011998	494090
1410	bhlha15	-2.14883376389059	1.46314827578229	9.2260774862178	0.00238592242617692	0.0347938891830461	ENSDARG00000045166	777671
1411	bhlha9	-2.79917983442517	1.65093154751238	9.09828721388728	0.00255848969185877	0.0363301462215774	ENSDARG00000103981	323481
1440	blf	-4.14376853163721	4.98467214195178	26.0943456686036	3.25134765090483e-07	4.39301404196119e-05	ENSDARG00000043126	503516
1452	blvrb	-2.04602413357724	6.05269161724174	21.7495158572452	3.10668256027767e-06	0.000270447872892005	ENSDARG00000096829	436959
1467	bmp1b	-2.07109442538991	1.65740090716643	12.4439854354096	0.000419340013042745	0.0109822747909212	ENSDARG00000028053	559877
1498	boka	-1.51412213932689	4.83593629608372	13.2699166453288	0.000269699197076899	0.00816176526203184	ENSDARG00000052129	445218
