Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	42sp43	-0.118694466459058	1.23638273195939	0.0119788765782687	0.912847120867081	0.982164512944619	ENSDARG00000104170	570186
2	5_8S_rRNA	-6.11662933067152	10.0521761766308	7.08803091919511	0.00776004630934967	0.0752994700365894	ENSDARG00000081218	NA
3	5S_rRNA	-0.0447659997456591	0.941582547448278	0.00137255528114899	0.970446723008189	0.999492749655655	ENSDARG00000080040	NA
4	7SK	-0.042339382984196	0.896138249124553	0.0438628653117955	0.83410895931701	0.954800886155977	ENSDARG00000083675	NA
5	A1CF	0.561103283594579	4.57297963603315	0.243197929156906	0.621905882831005	0.866606095811467	ENSDARG00000002968	562916
6	a2ml	2.23561617957106	6.03232053301582	2.75281093915937	0.0970836141557992	0.356963805794551	ENSDARG00000056314	100006972
7	aaas	-0.279972421099351	4.43074153146533	0.441580389048738	0.506360653589847	0.804117878707111	ENSDARG00000102274	378454
8	aacs	-0.614380193060184	3.84721300765489	2.00061085516238	0.157235828929535	0.46492836067463	ENSDARG00000012468	393984
9	AADAC	-0.439526019187949	3.38981125940865	0.316666739271227	0.573617732206099	0.840029187472751	ENSDARG00000063621	100148912
10	aadacl4	-0.601902051365287	1.14327498721509	0.557951122740089	0.455086946237814	0.770728310277291	ENSDARG00000044802	569798
11	AADAT	-0.431915062543715	3.75373990369396	1.03451936333464	0.30909955776212	0.648297431462465	ENSDARG00000011410	557979
12	aagab	-0.487816597052875	4.7910942873158	1.13702687132276	0.286281442232341	0.627097705995308	ENSDARG00000041170	436696
13	AAK1	-0.144519638564516	3.23792520942734	0.0570693061499625	0.811189461361539	0.948010646380308	ENSDARG00000011855	568999
14	aamdc	-0.606563237300641	3.71684519674071	2.38896000689751	0.122194896730711	0.406898055114306	ENSDARG00000103957	553802
15	aamp	-0.264986703786579	6.08754898057908	0.625708804954215	0.428933735369482	0.753722766388683	ENSDARG00000045019	405874
16	aanat1	-4.77794503182654	3.6400828036988	23.4039440045304	1.3130904426948e-06	0.000139398619318225	ENSDARG00000036567	393677
17	aanat2	-1.87741378740571	2.19192545183088	12.8423434531293	0.00033886295577993	0.0096697933061361	ENSDARG00000079802	30685
18	aar2	-0.509044725721734	4.35996695605709	2.73415084535223	0.0982236984520806	0.359495108124945	ENSDARG00000018658	431768
19	aars1	-0.176086647718355	6.64588533320537	0.207477697066935	0.648751583194175	0.881087724961277	ENSDARG00000069142	324940
20	AARS2	0.184425079822384	3.79166736967408	0.249418521218068	0.617484812414653	0.864091143932156	ENSDARG00000107385	100536819
21	aarsd1	-0.69969280789361	3.33207942812981	4.7707954418931	0.0289464485761833	0.175300667211113	ENSDARG00000015747	445178
22	AASDH	1.03087640585768	1.77532181249678	2.71147448580892	0.0996288664081551	0.36236635127829	ENSDARG00000022730	570338
23	aasdhppt	-0.514024745053886	2.98476761151853	2.87401819678067	0.0900198609584397	0.34203328082526	ENSDARG00000037501	619247
24	aass	0.272971058799788	4.60477866623582	0.335762882765337	0.562285237119273	0.834721703386705	ENSDARG00000051816	556229
25	aatf	-0.353132446576664	4.71823177795667	0.577843878281215	0.447158694936775	0.765159741490672	ENSDARG00000025467	559477
