SYMBOL	GO
sox19a	GO:0000978
sox19a	GO:0000981
sox19a	GO:0003677
sox19a	GO:0003700
elavl1b	GO:0003676
elavl1b	GO:0003723
elavl1b	GO:0003730
meis2b	GO:0003677
chico	GO:0003714
cat	GO:0004096
cat	GO:0004601
cat	GO:0016491
cat	GO:0020037
cat	GO:0046872
tbx4	GO:0000978
tbx4	GO:0000981
tbx4	GO:0003677
tbx4	GO:0003700
tbx5a	GO:0000978
tbx5a	GO:0000981
tbx5a	GO:0003677
tbx5a	GO:0003700
tbx5a	GO:0005515
tbx5a	GO:0043565
tbx5a	GO:0061629
inhbaa	GO:0005125
inhbaa	GO:0008083
vdra	GO:0000978
vdra	GO:0003677
vdra	GO:0003700
vdra	GO:0004879
vdra	GO:0005499
vdra	GO:0008134
vdra	GO:0008270
vdra	GO:0043565
vdra	GO:0046872
vdra	GO:0070644
vdra	GO:1902098
vdra	GO:1902121
rbp4	GO:0005501
rbp4	GO:0019841
rbp4	GO:0034632
nccrp1	GO:0061630
mitfa	GO:0000978
mitfa	GO:0000981
mitfa	GO:0003700
mitfa	GO:0046983
ptpn1	GO:0004721
ptpn1	GO:0004725
ptpn1	GO:0004726
ptpn1	GO:0016787
ptpn1	GO:0016791
ptpn1	GO:0019901
khdrbs1a	GO:0003676
khdrbs1a	GO:0003723
khdrbs1a	GO:0003729
khdrbs1a	GO:0003730
khdrbs1a	GO:0008143
nme2b.1	GO:0000166
nme2b.1	GO:0004550
nme2b.1	GO:0005524
nme2b.1	GO:0016301
nme2b.1	GO:0016740
nme2b.2	GO:0000166
nme2b.2	GO:0004550
nme2b.2	GO:0005524
nme2b.2	GO:0016301
nme2b.2	GO:0016740
nme3	GO:0000166
nme3	GO:0004550
nme3	GO:0005524
nme3	GO:0016301
nme3	GO:0016740
nme7	GO:0000166
nme7	GO:0004550
nme7	GO:0005524
nme7	GO:0016301
nme7	GO:0016740
nme7	GO:0046872
elk4	GO:0000981
elk4	GO:0003677
elk4	GO:0003700
elk4	GO:0043565
slc39a7	GO:0005385
slc39a7	GO:0046873
ckma	GO:0000166
ckma	GO:0003824
ckma	GO:0004111
ckma	GO:0005524
ckma	GO:0016301
ckma	GO:0016740
ckma	GO:0016772
zic1	GO:0000978
zic1	GO:0000981
zic1	GO:0003677
zic1	GO:0008270
