SYMBOL	GO
tncb	GO:0001755
tncb	GO:0007155
tncb	GO:0007411
tncb	GO:0007413
tncb	GO:0007498
tncb	GO:0014814
tncb	GO:0021554
tncb	GO:0030155
tncb	GO:0030517
tncb	GO:0031175
tncb	GO:0042127
tncb	GO:0045887
tncb	GO:0048680
sox19a	GO:0006355
sox19a	GO:0007275
sox19a	GO:0007399
sox19a	GO:0009653
sox19a	GO:0030154
sox19a	GO:0051091
meis2b	GO:0001947
meis2b	GO:0003209
meis2b	GO:0006355
meis2b	GO:0007507
chico	GO:0006355
chico	GO:0090090
cat	GO:0006979
cat	GO:0042542
cat	GO:0042744
cat	GO:0046688
tbx4	GO:0001525
tbx4	GO:0001708
tbx4	GO:0006355
tbx4	GO:0006357
tbx4	GO:0033340
tbx4	GO:0035116
tbx4	GO:0035119
tbx5a	GO:0001708
tbx5a	GO:0001947
tbx5a	GO:0003007
tbx5a	GO:0003143
tbx5a	GO:0003146
tbx5a	GO:0003190
tbx5a	GO:0003218
tbx5a	GO:0003294
tbx5a	GO:0003342
tbx5a	GO:0003344
tbx5a	GO:0006351
tbx5a	GO:0006355
tbx5a	GO:0006357
tbx5a	GO:0007275
tbx5a	GO:0007389
tbx5a	GO:0007507
tbx5a	GO:0009887
tbx5a	GO:0021554
tbx5a	GO:0033339
tbx5a	GO:0035050
tbx5a	GO:0035118
tbx5a	GO:0035138
tbx5a	GO:0036302
tbx5a	GO:0045893
tbx5a	GO:0045944
tbx5a	GO:0055007
tbx5a	GO:0060042
tbx5a	GO:0060174
tbx5a	GO:0061026
inhbaa	GO:0010862
inhbaa	GO:0031101
inhbaa	GO:0060395
inhbaa	GO:0110021
vdra	GO:0000122
vdra	GO:0001503
vdra	GO:0001947
vdra	GO:0003146
vdra	GO:0006351
vdra	GO:0006355
vdra	GO:0030154
vdra	GO:0045944
vdra	GO:0055074
vdra	GO:0071425
rbp4	GO:0001889
rbp4	GO:0032526
rbp4	GO:0034633
nccrp1	GO:0006516
nccrp1	GO:0030433
nccrp1	GO:0031146
btg2	GO:0008285
btg2	GO:0045930
mitfa	GO:0006351
mitfa	GO:0006355
mitfa	GO:0006357
mitfa	GO:0007623
mitfa	GO:0030318
mitfa	GO:0043473
mitfa	GO:0045636
mitfa	GO:0061386
ptpn1	GO:0006470
ptpn1	GO:0016311
ptpn1	GO:0035335
ptpn1	GO:0070373
ptpn1	GO:1903898
khdrbs1a	GO:0000381
khdrbs1a	GO:0048024
nme2b.1	GO:0006165
nme2b.1	GO:0006183
nme2b.1	GO:0006228
nme2b.1	GO:0006241
nme2b.1	GO:0016310
nme2b.1	GO:0042981
nme2b.1	GO:0045765
nme2b.2	GO:0006165
nme2b.2	GO:0006183
nme2b.2	GO:0006228
nme2b.2	GO:0006241
nme2b.2	GO:0016310
nme2b.2	GO:0042981
nme3	GO:0006165
nme3	GO:0006183
nme3	GO:0006228
nme3	GO:0006241
nme3	GO:0016310
nme3	GO:0106071
nme7	GO:0006165
nme7	GO:0006183
nme7	GO:0006228
nme7	GO:0006241
nme7	GO:0009117
nme7	GO:0016310
elk4	GO:0006355
elk4	GO:0006357
elk4	GO:0030154
slc39a7	GO:0006811
slc39a7	GO:0006829
slc39a7	GO:0006882
slc39a7	GO:0030001
slc39a7	GO:0055069
slc39a7	GO:0055085
slc39a7	GO:0071577
ckma	GO:0016310
ckma	GO:0046314
zic1	GO:0006357
zic1	GO:0007417
zic1	GO:0007420
zic1	GO:0021534
zic1	GO:0021592
zic1	GO:0030902
zic1	GO:0048853
zic1	GO:0060059
hhex	GO:0000122
hhex	GO:0001889
hhex	GO:0001946
hhex	GO:0002040
hhex	GO:0006355
hhex	GO:0006357
hhex	GO:0007275
hhex	GO:0007368
hhex	GO:0007507
hhex	GO:0009952
hhex	GO:0009953
hhex	GO:0030154
hhex	GO:0030878
hhex	GO:0031017
hhex	GO:0035162
hhex	GO:0045603
hhex	GO:0046620
hhex	GO:0048565
hhex	GO:0061008
hhex	GO:0072576
ube2kb	GO:0000209
ube2kb	GO:0043161
skia	GO:0000122
skia	GO:0001947
skia	GO:0006351
skia	GO:0009953
skia	GO:0030512
skia	GO:0030514
skia	GO:0051216
skia	GO:0061337
klf1	GO:0006357
klf1	GO:0010628
klf1	GO:0060319
wnt5b	GO:0001501
wnt5b	GO:0001503
wnt5b	GO:0001525
wnt5b	GO:0001667
