SYMBOL	GO
tncb	GO:0005576
tncb	GO:0005615
tncb	GO:0062023
sox19a	GO:0005634
sox19a	GO:0005667
elavl1b	GO:1990904
meis2b	GO:0005634
chico	GO:0005634
chico	GO:0005667
cat	GO:0005737
cat	GO:0005739
cat	GO:0005777
tbx4	GO:0005634
tbx5a	GO:0005634
tbx5a	GO:0005737
tbx5a	GO:0015629
tbx5a	GO:0032991
tbx5a	GO:0032993
inhbaa	GO:0005576
inhbaa	GO:0005615
vdra	GO:0005634
vdra	GO:0005737
rbp4	GO:0005576
rbp4	GO:0005615
nccrp1	GO:0005737
nccrp1	GO:0019005
btg2	GO:0005634
btg2	GO:0005737
mitfa	GO:0005634
mitfa	GO:0005654
ptpn1	GO:0005737
ptpn1	GO:0005769
ptpn1	GO:0005783
khdrbs1a	GO:0005634
nme7	GO:0005813
elk4	GO:0005634
slc39a7	GO:0005783
slc39a7	GO:0005789
slc39a7	GO:0005794
slc39a7	GO:0016020
slc39a7	GO:0016021
ckma	GO:0005615
zic1	GO:0005634
hhex	GO:0005634
ube2kb	GO:0005634
skia	GO:0005634
skia	GO:0005667
klf1	GO:0005634
wnt5b	GO:0005576
wnt5b	GO:0005615
svila	GO:0005737
svila	GO:0015629
skib	GO:0005634
skib	GO:0005667
mixl1	GO:0000785
mixl1	GO:0005634
ddx3xb	GO:0005634
ddx3xb	GO:0043186
spi1b	GO:0005634
frzb	GO:0005576
frzb	GO:0005615
frzb	GO:0005737
dlc	GO:0005737
dlc	GO:0005886
dlc	GO:0016020
dlc	GO:0016021
dlc	GO:0048471
flt4	GO:0005634
flt4	GO:0005737
flt4	GO:0005886
flt4	GO:0005887
flt4	GO:0016020
flt4	GO:0016021
flt4	GO:0043235
wnt8a	GO:0005576
wnt8a	GO:0005615
wnt8a	GO:0009986
wnt8a	GO:0097189
wnt4	GO:0005576
wnt4	GO:0005615
gdf3	GO:0005576
gdf3	GO:0005615
gdf3	GO:0032991
foxa2	GO:0005634
wnt2	GO:0005576
wnt2	GO:0005615
wnt1	GO:0005576
wnt1	GO:0005615
dmrt2a	GO:0005634
men1	GO:0000785
men1	GO:0005634
men1	GO:0035097
dla	GO:0005886
dla	GO:0005938
dla	GO:0016020
dla	GO:0016021
dld	GO:0005737
dld	GO:0005886
dld	GO:0016020
dld	GO:0016021
dld	GO:0048471
clocka	GO:0000785
clocka	GO:0005634
clocka	GO:0005667
clocka	GO:0005737
clocka	GO:0032991
clocka	GO:1990513
dlb	GO:0005886
dlb	GO:0016020
dlb	GO:0016021
wnt8b	GO:0005576
wnt8b	GO:0005615
lft1	GO:0005576
lft1	GO:0005615
lft2	GO:0005576
lft2	GO:0005615
isl1a	GO:0005634
desma	GO:0005737
desma	GO:0005882
desma	GO:0005911
desma	GO:0030018
desma	GO:0042383
isl2b	GO:0005634
