external_gene_name	reactome
PTAFR	R-DRE-6798695
PTAFR	R-DRE-416476
PTAFR	R-DRE-388396
PTAFR	R-DRE-168249
PTAFR	R-DRE-168256
PTAFR	R-DRE-500792
PTAFR	R-DRE-373076
PTAFR	R-DRE-372790
PTAFR	R-DRE-162582
	R-DRE-3899300
	R-DRE-3108232
	R-DRE-2990846
	R-DRE-597592
	R-DRE-392499
sri	R-DRE-425561
sri	R-DRE-418359
sri	R-DRE-936837
sri	R-DRE-418360
sri	R-DRE-5578775
sri	R-DRE-418346
sri	R-DRE-5576891
sri	R-DRE-397014
sri	R-DRE-109582
sri	R-DRE-425407
sri	R-DRE-425393
sri	R-DRE-382551
sri	R-DRE-983712
sri	R-DRE-2672351
ptgdsb.1	R-DRE-6799990
ptgdsb.1	R-DRE-804914
ptgdsb.1	R-DRE-6803157
ptgdsb.1	R-DRE-425397
ptgdsb.1	R-DRE-6798695
ptgdsb.1	R-DRE-917937
ptgdsb.1	R-DRE-425407
ptgdsb.1	R-DRE-168249
ptgdsb.1	R-DRE-168256
ptgdsb.1	R-DRE-382551
hacd2	R-DRE-8978868
hacd2	R-DRE-75876
hacd2	R-DRE-75105
hacd2	R-DRE-556833
hacd2	R-DRE-1430728
hpgd	R-DRE-9018896
hpgd	R-DRE-9018679
hpgd	R-DRE-2142700
hpgd	R-DRE-9018676
hpgd	R-DRE-9018677
hpgd	R-DRE-9018678
hpgd	R-DRE-556833
hpgd	R-DRE-1430728
rpl29	R-DRE-975956
rpl29	R-DRE-72689
rpl29	R-DRE-1799339
rpl29	R-DRE-72737
rpl29	R-DRE-72706
rpl29	R-DRE-72613
rpl29	R-DRE-156827
rpl29	R-DRE-927802
rpl29	R-DRE-975957
rpl29	R-DRE-72766
rpl29	R-DRE-72312
rpl29	R-DRE-8868773
rpl29	R-DRE-6791226
rpl29	R-DRE-8953854
rpl29	R-DRE-392499
vamp8	R-DRE-432720
vamp8	R-DRE-8856828
vamp8	R-DRE-8856825
vamp8	R-DRE-432722
vamp8	R-DRE-199992
vamp8	R-DRE-6798695
vamp8	R-DRE-1236974
vamp8	R-DRE-1236975
vamp8	R-DRE-5653656
vamp8	R-DRE-199991
vamp8	R-DRE-983169
vamp8	R-DRE-1280218
vamp8	R-DRE-168249
vamp8	R-DRE-168256
pold4	R-DRE-69166
pold4	R-DRE-69183
pold4	R-DRE-5358606
pold4	R-DRE-69190
pold4	R-DRE-69109
pold4	R-DRE-69186
pold4	R-DRE-69091
pold4	R-DRE-5358508
pold4	R-DRE-5358565
pold4	R-DRE-73933
pold4	R-DRE-69242
pold4	R-DRE-69306
pold4	R-DRE-69239
pold4	R-DRE-5696397
