Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	acta2	4.7455694352042	15.0506260921424	12.2127403748442	0.000474642636406523	0.0019934990729074	ENSDARG00000045180	322509
2	adora2aa	2.64925594692603	9.94567154899068	9.72147675371727	0.00182127118011754	0.00466423107103273	ENSDARG00000033706	561701
3	ankhd1	2.88263982211414	12.2373023790043	17.6132239103149	2.70699460953341e-05	0.000284234434001008	ENSDARG00000077860	563327
4	apex1	2.32882230003565	12.7485062371165	6.14649042129359	0.0131673145988882	0.0234333564895468	ENSDARG00000045843	406730
5	atp1a2a	1.27640228515575	9.71633614270848	2.33632714128414	0.126387235025297	0.161837313142149	ENSDARG00000010472	64609
6	bag3	3.29765409254293	11.1290496664706	15.3200222845177	9.07495449824877e-05	0.000636367486135425	ENSDARG00000039486	445139
7	bin1b	2.01616548245929	8.88972242452765	6.63744733692614	0.00998569162373561	0.0184588191773414	ENSDARG00000058820	447863
8	bves	-1.00063601152233	12.3603714614487	4.09773690101388	0.0429406547518917	0.0644109821278375	ENSDARG00000058548	415107
9	cbfb	2.47249473439961	11.3963049301265	11.5730853316163	0.000669132994922459	0.00239975587263883	ENSDARG00000040917	30744
10	ccm2	2.9653592938177	9.44721566368009	28.5738312545897	9.01929008021671e-08	9.47025458422755e-06	ENSDARG00000013705	436586
11	chga	5.46089225842595	8.36456460788271	16.6174493040848	4.57283694684288e-05	0.000436498072198639	ENSDARG00000008829	450039
12	cmlc1	-1.67821091908297	15.972916973882	4.37081786592956	0.0365594406327637	0.0564520774476498	ENSDARG00000032976	64671
13	crip1	6.07233871886599	13.6443862897823	22.2146134619934	2.4381101929244e-06	6.40003925642655e-05	ENSDARG00000053858	541319
14	crip2	2.65248798376211	14.1413300209733	7.05088759315561	0.00792259840300908	0.0151249605875628	ENSDARG00000070670	554826
15	cryaba	-0.194158142888912	5.32249709807734	0.0153203222507816	0.901493197587576	0.911112908125641	ENSDARG00000042621	30393
16	cryabb	3.97643992954545	7.32849718628632	9.26431626235436	0.00233661693920881	0.00563886728361581	ENSDARG00000101380	436943
17	csrp3	-1.26271083479901	11.583944962859	4.33824195983742	0.0372653834764168	0.0567081922467212	ENSDARG00000101706	450005
18	desma	0.521014701085287	13.7329352605829	0.425727143627938	0.514093056750304	0.545250211704868	ENSDARG00000058656	30148
19	dhfr	3.27459513020198	11.085371435617	8.03635357218	0.00458477369429546	0.00925771611348121	ENSDARG00000004251	81882
20	dhrs9	3.51219060653052	10.8177666002371	9.0726307529486	0.0025946352362273	0.00605414888453036	ENSDARG00000019260	322529
21	dldh	1.22832074336889	13.3667264776146	4.70502992658786	0.0300744782910842	0.047845760917634	ENSDARG00000008785	399479
22	dlst	1.22347353368293	13.2517316915469	3.8623900419412	0.0493799390174392	0.073026670377903	ENSDARG00000014230	368262
23	dnd1	1.09791822008938	5.4428342099943	0.660104732056613	0.416522971361278	0.455571999926398	ENSDARG00000022813	373074
24	dsc2l	1.63930361166789	11.6311795408506	8.70642943538704	0.00317089673220737	0.00693633660170362	ENSDARG00000039677	560091
25	fbxo32	1.798718496932	10.1179501287668	6.63124827683461	0.0100205018391282	0.0184588191773414	ENSDARG00000040277	393891
26	gja1b	5.81493446633384	11.9351717388203	25.0506466234301	5.58440249434815e-07	1.95454087302185e-05	ENSDARG00000041799	30236
27	gjb10	2.04856722001518	6.9419831440669	4.92949947278113	0.0264019637362825	0.0440032728938042	ENSDARG00000075854	404727
