Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	acta2	4.7455694352042	15.0506260921424	12.2127403748442	0.000474642636406523	0.0019934990729074	ENSDARG00000045180	322509
2	adora2aa	2.64925594692603	9.94567154899068	9.72147675371727	0.00182127118011754	0.00466423107103273	ENSDARG00000033706	561701
3	ankhd1	2.88263982211414	12.2373023790043	17.6132239103149	2.70699460953341e-05	0.000284234434001008	ENSDARG00000077860	563327
4	apex1	2.32882230003565	12.7485062371165	6.14649042129359	0.0131673145988882	0.0234333564895468	ENSDARG00000045843	406730
6	bag3	3.29765409254293	11.1290496664706	15.3200222845177	9.07495449824877e-05	0.000636367486135425	ENSDARG00000039486	445139
7	bin1b	2.01616548245929	8.88972242452765	6.63744733692614	0.00998569162373561	0.0184588191773414	ENSDARG00000058820	447863
9	cbfb	2.47249473439961	11.3963049301265	11.5730853316163	0.000669132994922459	0.00239975587263883	ENSDARG00000040917	30744
10	ccm2	2.9653592938177	9.44721566368009	28.5738312545897	9.01929008021671e-08	9.47025458422755e-06	ENSDARG00000013705	436586
11	chga	5.46089225842595	8.36456460788271	16.6174493040848	4.57283694684288e-05	0.000436498072198639	ENSDARG00000008829	450039
13	crip1	6.07233871886599	13.6443862897823	22.2146134619934	2.4381101929244e-06	6.40003925642655e-05	ENSDARG00000053858	541319
14	crip2	2.65248798376211	14.1413300209733	7.05088759315561	0.00792259840300908	0.0151249605875628	ENSDARG00000070670	554826
16	cryabb	3.97643992954545	7.32849718628632	9.26431626235436	0.00233661693920881	0.00563886728361581	ENSDARG00000101380	436943
19	dhfr	3.27459513020198	11.085371435617	8.03635357218	0.00458477369429546	0.00925771611348121	ENSDARG00000004251	81882
20	dhrs9	3.51219060653052	10.8177666002371	9.0726307529486	0.0025946352362273	0.00605414888453036	ENSDARG00000019260	322529
24	dsc2l	1.63930361166789	11.6311795408506	8.70642943538704	0.00317089673220737	0.00693633660170362	ENSDARG00000039677	560091
25	fbxo32	1.798718496932	10.1179501287668	6.63124827683461	0.0100205018391282	0.0184588191773414	ENSDARG00000040277	393891
26	gja1b	5.81493446633384	11.9351717388203	25.0506466234301	5.58440249434815e-07	1.95454087302185e-05	ENSDARG00000041799	30236
27	gjb10	2.04856722001518	6.9419831440669	4.92949947278113	0.0264019637362825	0.0440032728938042	ENSDARG00000075854	404727
28	gnb5a	3.73871528771728	7.50849781603204	13.6583058857874	0.000219269239657453	0.0010465122801833	ENSDARG00000099685	562813
29	gper1	3.14509095894355	5.73639680097553	5.28735888181929	0.0214807738797444	0.0369751025798878	ENSDARG00000074661	565271
31	hat1	2.22703112078629	11.4149828420937	9.33480474613918	0.00224842046819555	0.00562105117048886	ENSDARG00000034916	447833
32	hbegfb	4.1289365822877	8.17958243496619	14.7007650893462	0.000125995304271514	0.000769145897282462	ENSDARG00000031246	407664
33	ik	2.60491733430183	12.1814567136959	15.903240141046	6.6664492404251e-05	0.000583314308537196	ENSDARG00000004161	322241
34	ilk	3.1295910036636	13.3982863823862	11.4847535877067	0.000701694294730309	0.00239975587263883	ENSDARG00000056964	393543
35	junba	9.31836818990868	14.6659655484963	20.1193128730586	7.27582615153899e-06	0.000118230436586656	ENSDARG00000074378	407086
36	kcne4	6.81632340319731	10.8462993400324	21.2025513934274	4.1321407548002e-06	8.67749558508042e-05	ENSDARG00000068257	794240
42	krit1	1.82017858990661	10.0589090881914	8.66354755216521	0.00324638658319136	0.0069565426782672	ENSDARG00000098916	321836
