Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
3	ankhd1	-1.89332004642506	12.2373023790043	10.0865261446508	0.00149357409588166	0.0160619545351671	ENSDARG00000077860	563327
6	bag3	-2.45848705316365	11.1290496664706	10.8834384614335	0.000970279487916963	0.0145541923187545	ENSDARG00000039486	445139
10	ccm2	-1.78401510853849	9.44721566368009	14.0719389275661	0.000175949309752535	0.00369493550480324	ENSDARG00000013705	436586
13	crip1	-3.34949817671964	13.6443862897823	10.0424815142171	0.0015297099557302	0.0160619545351671	ENSDARG00000053858	541319
25	fbxo32	-1.88343578751302	10.1179501287668	9.27690892238862	0.00232060712547897	0.020305312347941	ENSDARG00000040277	393891
26	gja1b	-3.05273320013561	11.9351717388203	10.3620851251498	0.00128629836319471	0.0160619545351671	ENSDARG00000041799	30236
35	junba	-6.93755158532556	14.6659655484963	14.4687121482945	0.000142507030510869	0.00369493550480324	ENSDARG00000074378	407086
36	kcne4	-4.2723339999709	10.8462993400324	11.7410465463848	0.000611366360186358	0.0106989113032613	ENSDARG00000068257	794240
49	myh11a	-3.75106205378784	12.4926036287043	15.4136126815373	8.63639082504624e-05	0.00369493550480324	ENSDARG00000009782	554168
63	scn3b	-4.71688610139639	10.5106727517029	19.7473509985112	8.83841143668105e-06	0.00092803320085151	ENSDARG00000062359	563935
74	smyd2b	-1.62613038147007	9.2805921645932	9.39912654148507	0.00217088840033637	0.020305312347941	ENSDARG00000005629	568616
80	tcap	-6.5180453350315	11.2119190789457	14.9020323997422	0.000113240918786067	0.00369493550480324	ENSDARG00000007344	556258
86	tnni2a.1	-4.91978649850029	11.8782316336254	8.23231597876874	0.00411509836238631	0.0308632377178973	ENSDARG00000045592	492493
