Gene	logFC	logCPM	LR	PValue	FDR	ENSEMBLID	ENTREZID
1	acta2	-3.4671691988288	15.0506260921424	11.1070477110214	0.000860002818692036	0.0150500493271106	ENSDARG00000045180	322509
2	adora2aa	-0.170108795306277	9.94567154899068	0.0571618546096175	0.811039320290384	0.868007424530131	ENSDARG00000033706	561701
3	ankhd1	0.975737241369336	12.2373023790043	2.90840277810582	0.0881191042194252	0.221243451019816	ENSDARG00000077860	563327
4	apex1	1.79631650021175	12.7485062371165	4.68643432891314	0.0304016725824404	0.121072820171492	ENSDARG00000045843	406730
5	atp1a2a	2.67944796826163	9.71633614270848	11.3906168319649	0.000738160154277642	0.0150500493271106	ENSDARG00000010472	64609
6	bag3	-0.579971064847386	11.1290496664706	0.754309415853257	0.385115264647939	0.577672896971908	ENSDARG00000039486	445139
7	bin1b	0.34031118435265	8.88972242452765	0.244168433677359	0.621211530377508	0.740289970672931	ENSDARG00000058820	447863
8	bves	-0.198091651533536	12.3603714614487	0.201587175463047	0.65344276234781	0.745777065723044	ENSDARG00000058548	415107
9	cbfb	0.621797930727782	11.3963049301265	1.02881184599072	0.310437894312195	0.493878468223946	ENSDARG00000040917	30744
10	ccm2	0.79565938739126	9.44721566368009	2.89488045418506	0.0888613670887513	0.221243451019816	ENSDARG00000013705	436586
11	chga	0.835205950327473	8.36456460788271	0.705918132399788	0.400802232584098	0.592735696075074	ENSDARG00000008829	450039
12	cmlc1	0.357894310245691	15.972916973882	0.25525211622481	0.613400941276098	0.740289970672931	ENSDARG00000032976	64671
13	crip1	-1.42884336769413	13.6443862897823	2.62607439914104	0.105121328316108	0.242938412827408	ENSDARG00000053858	541319
14	crip2	-1.02817949278335	14.1413300209733	1.61541995327183	0.203731594162386	0.370130152301756	ENSDARG00000070670	554826
15	cryaba	-0.0857463305320782	5.32249709807734	0.00627881616207748	0.936842539436091	0.964396731772447	ENSDARG00000042621	30393
16	cryabb	-1.9259433123245	7.32849718628632	3.30404930327479	0.0691093241541518	0.207327972462455	ENSDARG00000101380	436943
17	csrp3	0.199360416111563	11.583944962859	0.135073167898199	0.713228926331987	0.772051930565552	ENSDARG00000101706	450005
18	desma	1.22206248191019	13.7329352605829	2.80650413600398	0.0938827576363057	0.22403839890482	ENSDARG00000058656	30148
19	dhfr	-0.042447966120489	11.085371435617	0.00212172171639224	0.963260713428104	0.973962560210639	ENSDARG00000004251	81882
20	dhrs9	2.60402032499047	10.8177666002371	6.64744066057861	0.00992983582081714	0.057425239671285	ENSDARG00000019260	322529
21	dldh	0.746470696973953	13.3667264776146	2.22344474216336	0.135929474054455	0.279854799523878	ENSDARG00000008785	399479
22	dlst	0.563244202958919	13.2517316915469	1.06006495509468	0.30320037067237	0.489785214163059	ENSDARG00000014230	368262
23	dnd1	-1.81093778335442	5.4428342099943	1.49747961970456	0.221059571197888	0.386854249596303	ENSDARG00000022813	373074
