ERR6501829	ERR6501833	ERR6501834	SRR10813970	SRR10813971	SRR10813972	SRR10813973	SRR10813976	SRR10813977	SRR12005388	SRR12005389	SRR12005390	SRR12005391	SRR12898817	SRR12898818	SRR12898819	SRR12898823	SRR12898824	SRR12898825	SRR12933780	SRR12933782	SRR12933784	SRR17085048	SRR17085049	SRR17085050	SRR17085051	SRR17085052	SRR17085053	SRR17085054	SRR17085055	SRR3290608	SRR3290609	SRR3290610	SRR3290611	SRR3290612	SRR3290613	SRR5984237	SRR5984238	SRR5984239	SRR9336401	SRR9336402	SRR9336403	SRR9336404
acta2	571.513947602559	523.13608385617	655.797651104833	377.766463603105	543.603617079128	432.713113119793	760.183670050592	630.657874250972	745.705309774486	240.49622259	115.795357914569	183.985522248456	293.020796738979	1.4711646991777	3.08798054768243	0.876606911725725	1132.67321767297	2374.02789743396	1981.68349092141	3151.30168341435	1027.92451342536	2801.75707924525	486.125572641028	239.098991924507	516.750959114253	262.880674308346	288.072774542506	358.361512884935	591.578048560752	432.713113119793	91.4998750353381	175.276257051636	47.0114009847683	32.8729589006968	65.4468642383697	66.4332368845082	60.7568522188411	59.5441902913116	57.1751056864638	182.50419146682	118.958442521801	56.3786052607788	57.9429472883036
adora2aa	7.09599183382315	7.60241906626387	6.77742753971302	26.771851616429	45.0912065400995	34.0157640193445	30.9943489441336	22.6646596546536	37.2211455649106	1.8452605849301	2.27751017438473	2.52375849752086	1.44330315632293	18.295176422649	34.3581376996069	14.4290051083926	23.5663670780284	56.2410538030132	37.9643300789273	14.7225258803645	30.7422633067767	15.8247951358955	27.2448334063399	13.2848226365075	29.2551798249778	22.8217078363876	24.17910990248	23.4398551305262	28.6365854702511	23.0271205784465	15.2035006322723	17.7092607468543	17.629469887921	16.105564687064	12.1618423298319	11.6389115336744	11.8359918648527	9.23536993799165	8.88993355448776	19.8890836058567	16.6454558644006	29.3985749141904	24.2837828652203
ankhd1	206.156491443607	207.186133817146	197.69530454602	130.212331393576	123.985880773776	125.322763999983	141.025190017986	136.785652083894	133.015147990175	188.461865944108	166.741141344932	173.451220408	201.119658751805	30.5964355251191	30.3524074124322	30.5235695189482	32.8453602266082	22.8693662815383	22.9445261669939	24.8329476615232	16.2082495603619	13.4996114805384	58.5984535453973	54.3524155197371	50.6438227541543	47.1289717614745	79.8338067423835	45.2429662857113	50.9125265500836	44.4165518762203	341.074209163665	249.261047970331	271.297541276301	316.111800851565	249.61895998439	263.797523329421	415.221956718446	407.51340300862	437.291176347974	80.3654837768036	72.0784943336921	80.4867417267797	92.3343138041864
apex1	75.0106523814618	81.2347761330981	74.4779863217905	19.1792860701863	24.1032948391886	23.4182710800454	32.1910718410873	22.2086386541557	17.7203616203566	21.5232265381342	34.9198743322512	25.1447231967724	41.3626962302085	220.993241988611	194.355781580723	338.769249609039	74.7695118994665	93.9324127652712	97.887323188785	63.9153512932906	67.8565979257561	74.491568904329	87.5973800309045	91.0446353610814	88.6834429083252	74.8925370039463	111.82743721926	94.0127051250644	91.5238090595482	91.9514221755726	124.937697133118	107.446482800933	70.5605898300429	72.6034382446583	65.2828269364153	67.7150954254918	98.4719315055008	89.6175836519269	108.354760900078	24.4469971192072	44.4788906470082	31.3604718024262	19.5308453894219
atp1a2a	24.9866024748379	20.466035198021	9.11039952499611	6.72040873987893	21.9876076301952	9.29892987125247	4.10735317974599	4.01381693445475	3.84982086310816	57.7535247924999	68.8329688526493	61.8291206929497	65.1038303157159	2.19517312714744	1.59654481686833	1.93276266757282	1.4314636713104	0.843240876864564	1.47880532938296	1.80423193796459	0.319336523774506	1.89138364592268	18.4795027123553	9.29637854070026	15.4540938389717	13.6574585807782	13.7816123254783	14.5855367776848	17.3704238428236	18.1751659066952	2.81843364765345	7.8255859843834	6.76899383467598	9.67616919156031	18.0549807130791	10.4536522025032	12.1544195470451	8.39043044070674	10.2773138430543	5.21532098018711	2.01659402685018	7.93438972838145	6.5746277434382
bag3	20.6798587470279	84.5980489564141	98.0127705804316	327.622543801789	389.568889928684	324.105402369946	354.487910016248	359.047944837818	267.850723185734	16.8206977573135	16.0515135418918	18.6000811720236	14.7692141983639	7.49186046371166	7.907898326121	7.53353167105994	30.7449194870593	50.9368321355441	37.6939292307733	53.2525220403829	47.6948920161368	37.4318390835087	35.8214451973134	25.1292720511183	37.546852945811	26.8679483926187	22.1779795434578	28.5763366299691	29.536190947626	30.7742018184324	9.43038875355587	13.0028369048399	15.2035006322723	11.9461856820335	7.05018946448713	8.27208577461385	29.8770450109538	37.2779039875997	25.6045001111263	432.713113119793	330.679887842864	308.165591693502	285.149088134968
bin1b	7.72694776256372	8.52910494963389	6.31603992746136	5.484978923553	4.41452704583939	4.90467660520266	4.57761655310255	3.27308069531977	4.19684195688333	15.2370127373887	17.1862062685055	13.3455800395849	10.6891741278543	3.19564111849342	3.63154356130675	3.00302895797213	6.37098602380556	8.36232743379467	6.76960007339953	15.9670471090178	7.87638502021219	11.2649044796516	12.9358170847926	8.22934683777788	10.848940181536	10.4536522025032	16.0840615625033	12.9050349367566	13.8910535869465	17.9844817728077	19.2661228958694	15.1392226631439	25.7836483504068	38.7618507762985	25.2958281358356	19.5372005045501	26.7563719219952	20.7575091753178	25.1176995297125	3.08379091716351	2.40488639762431	2.56481649537009	2.69674502639468
bves	134.505515295939	115.664786286209	127.261578784694	512.026032502984	515.255619283441	556.268768634548	548.045762666523	539.64753147623	551.561112999187	35.360005323639	34.4624145482133	38.5524626430047	21.1806941087529	2.03082554492704	3.67784435167338	3.00302895797213	35.2607116628522	23.7596836050974	26.7402967444072	33.1383489855536	23.8769785358302	27.5867976244438	923.480578968044	446.304219408133	790.83175224032	529.9113640157	645.202758266125	674.481824310499	734.294698540938	665.402588140502	191.120917803657	366.961471839611	484.561369939888	271.846287870785	164.506565332813	208.272704399387	190.439671122772	154.717630382537	158.625078083976	601.642695495695	591.578048560752	641.040990462429	654.10386268649
cbfb	78.3592816845301	58.2026248088752	57.2178461447732	30.965437710328	35.0116390086352	32.6143213458708	23.8920431572801	23.5534344558088	44.5526802650206	70.8112399779087	63.7674718503206	53.6112065507339	48.5237507752368	40.970946267605	68.6132926333585	33.5356526605386	36.9652650321758	84.1633538248844	62.6522070747736	12.3506552624949	35.0322267788505	33.8766825240818	60.6005002500319	67.4494127328243	60.8276782565386	45.0604055290929	55.1308400281358	43.5531609476018	46.2511864065692	51.4974659276235	54.4768120152707	80.5372055491237	123.763588107178	98.4719315055008	82.9306623421231	70.8456949673426	128.814722707867	121.593895289132	101.721140161214	15.7691179367737	14.6947125254837	13.5154590109392	23.0034905365543
ccm2	23.2525485423874	27.8626715727591	24.4226786498104	30.9269287258044	32.2010319471214	27.5555938002784	29.5877272484688	32.5421590274417	30.739607126494	19.4291750526523	21.805723643844	19.1792860701863	17.8118215394117	6.59643370974092	12.0115485457858	5.86406532965372	3.89322800098969	10.8914868137811	8.53195899152747	1.19617170117055	11.854230586822	7.44911131814411	8.79774484392138	8.60522752364079	8.21718466238004	7.20632483877255	6.35822557723185	9.83458932757507	7.34380815696701	7.80980871269266	30.2344451040167	23.8128150815386	24.2485286373138	24.95732391744	20.8729666908849	20.5026887689182	34.7575718057342	36.2107648068756	37.4847592754198	17.0960124904207	27.4683528798393	18.836355939507	24.3536016098638
