ID	p.adjust
GO:0060047	2.4591146729371e-24
GO:0003015	9.6432983677646e-24
GO:0055001	8.4222630786539e-23
GO:0042692	8.4222630786539e-23
GO:1903522	4.73800685910441e-22
GO:0051146	6.57308524853964e-21
GO:0014706	2.39092211469435e-20
GO:0008016	3.058243725622e-19
GO:0048738	1.42286821922168e-18
GO:0003012	4.99014738531622e-17
GO:0006941	2.81536156612501e-16
GO:0006936	1.04123931940285e-15
GO:0060048	5.62697544899714e-15
GO:0002027	2.02168527707135e-14
GO:0035051	3.52534853547626e-13
GO:0055006	1.06273516855519e-12
GO:0055007	2.35516179569778e-12
GO:0055013	2.7785727968605e-12
GO:0003018	3.52799212060342e-10
GO:0043270	5.94022517998631e-10
GO:0007389	9.92937456855501e-10
GO:0070252	9.92937456855501e-10
GO:0086003	1.1288956608787e-09
GO:0030239	1.31953031255219e-09
GO:0055002	2.25559047949762e-09
GO:0090497	3.17826069174404e-09
GO:0007517	3.23556792921272e-09
GO:0032412	4.33380185411619e-09
GO:0060485	7.23093610510922e-09
GO:0022898	8.95474819757935e-09
GO:0035296	1.90448322440162e-08
GO:0097746	1.90448322440162e-08
GO:0032409	1.96658908532011e-08
GO:0035150	1.96658908532011e-08
GO:0001755	2.57466068980315e-08
GO:0032414	2.70304884665519e-08
GO:0030048	2.95630988213469e-08
GO:0045214	3.12784677052497e-08
GO:0042391	3.67556129358902e-08
GO:0003007	3.91409816594535e-08
GO:0048638	4.08606217170308e-08
GO:0032411	5.14007237093441e-08
GO:0014033	5.90947192655317e-08
GO:0045823	5.90947192655317e-08
GO:0009880	6.57525734994699e-08
GO:0048762	7.34061501346746e-08
GO:0014032	9.79036829898246e-08
GO:2001259	9.79036829898246e-08
GO:0003002	9.80657887032038e-08
GO:0003151	1.07236908967086e-07
GO:0055117	1.0901325199091e-07
GO:1903524	1.34504748308874e-07
GO:0003206	2.12063440145306e-07
GO:0010927	3.0979520646528e-07
GO:0048864	3.74679812414646e-07
GO:0003300	3.74679812414646e-07
