ID	p.adjust
GO:0062023	2.13612307100257e-28
GO:0150034	3.35105547255544e-18
GO:0031253	1.32012707330242e-17
GO:0016324	1.52512318411576e-17
GO:0030672	1.48466444327158e-16
GO:0099501	1.48466444327158e-16
GO:0030658	3.61960323586663e-16
GO:0098862	3.61960323586663e-16
GO:0030133	7.85699637605443e-16
GO:0044306	2.70621025037563e-15
GO:0070382	2.84829062593295e-15
GO:0005903	7.19146911360955e-15
GO:0008021	1.48156953606351e-14
GO:0042734	9.65863377880281e-14
GO:0043679	3.44400811789535e-13
GO:0043195	1.91648148632806e-12
GO:0098982	5.66556533271817e-12
GO:0031526	7.96537860174418e-12
GO:0043209	1.98580993742094e-11
GO:0001750	2.07270879901884e-11
GO:0098984	9.03481924902805e-11
GO:0001917	1.61226598010966e-10
GO:0045178	4.43831892279647e-10
GO:0097733	1.80011019247349e-09
GO:0030427	1.90009247898199e-09
GO:0009925	2.08926132709342e-09
GO:0097731	2.92227860045055e-09
GO:0048786	3.13926092602893e-09
GO:0016323	3.62408571390263e-09
GO:0098685	3.63872852409303e-09
GO:0045211	3.998937663512e-09
GO:0005938	1.02086386743011e-08
GO:0030426	1.0952371628402e-08
GO:0031252	1.64687168998079e-08
GO:0097730	2.06884641220433e-08
GO:0099572	2.35333002283428e-08
GO:0098858	2.35333002283428e-08
GO:0030141	6.09661635817244e-08
GO:0031045	1.28776031123621e-07
GO:0014069	4.00911919775585e-07
GO:0031256	5.0846861997679e-07
GO:0032279	6.2819027315978e-07
GO:0048787	1.82057191810957e-06
GO:0045121	2.21107177945887e-06
GO:0098857	2.33181285274309e-06
GO:0034774	3.42373453884863e-06
GO:0060205	3.42373453884863e-06
GO:0098686	4.27435750989853e-06
GO:0098992	5.02253801187047e-06
GO:0060077	8.51969820286204e-06
GO:0031983	9.83564781415271e-06
GO:0043204	1.56697427383564e-05
GO:0099634	1.70459427532101e-05
GO:1905360	2.26142417086308e-05
GO:0098684	2.37283571115864e-05
GO:0005834	4.36587674494674e-05
GO:0097470	8.26757772187877e-05
GO:0031201	9.64623428267994e-05
GO:0005581	9.83828400567352e-05
GO:0032420	0.000105074811241341
GO:0005902	0.00011275149933743
GO:0034702	0.000115995695395538
GO:0032589	0.000115995695395538
GO:0019898	0.000169846916034032
GO:0060076	0.000184354749407719
GO:0044309	0.000197454199125256
GO:0098839	0.000221555992937054
GO:0001726	0.00022323517008668
GO:0097386	0.000315969020093241
GO:0019897	0.000347728925446602
GO:0043197	0.000362941517688092
GO:1902495	0.000424979862400858
GO:0099738	0.000428970046275561
GO:0032421	0.000449866272267194
GO:1990351	0.000566909092104573
GO:0032590	0.000675261820228762
GO:0031091	0.000675261820228762
GO:0031234	0.000717913512336899
GO:0034707	0.000772303776082076
GO:0032587	0.000789816807205552
GO:0005604	0.000789816807205552
GO:0005865	0.00110511432841962
GO:0030863	0.00111285346304824
GO:0090575	0.00145834007081088
GO:0005921	0.00152348463945962
GO:0031594	0.00157873046306507
GO:0030864	0.00202551498248388
GO:0120199	0.00216705070880268
GO:0043292	0.00227394566774011
GO:0098688	0.00249331022601248
GO:0036379	0.00254621926425201
GO:0098833	0.00254621926425201
GO:0009898	0.00305439796447012
GO:1903561	0.00314137760193948
GO:0098644	0.00320835547701837
GO:1902711	0.00320835547701837
GO:0070062	0.00322305035296977
GO:0005884	0.00322305035296977
GO:0043235	0.00372747640855957
GO:0030665	0.00380984198100575
GO:0005922	0.00390077340487124
GO:0044292	0.00390077340487124
GO:0005583	0.00406616121162546
GO:0098643	0.00406616121162546
GO:0044298	0.00408916194003385
GO:1902710	0.00477327879271589
GO:0043230	0.00543575135368738
GO:0065010	0.00543575135368738
GO:0060187	0.00543575135368738
GO:0098831	0.0057675359246378
GO:0098562	0.006192658176759
GO:0042622	0.00718425388105487
GO:0005771	0.00786392350334587
GO:0031528	0.00843348253666937
GO:0044304	0.00853470516063278
GO:0044327	0.00909738090221449
GO:0098888	0.00909738090221449
GO:0043083	0.00986891171627944
GO:0032809	0.0127417788458215
GO:0030016	0.0127417788458215
GO:0030662	0.0132555120850612
GO:0033176	0.0160691327859735
GO:0030027	0.0170683351817792
GO:0043194	0.0185142155207341
GO:0030017	0.0196651919446637
GO:0097440	0.0210839484240647
GO:0098981	0.0210839484240647
GO:0051286	0.022066099260911
GO:0098636	0.0231549593439779
GO:0099243	0.0237341615116177
GO:0070160	0.0243835040989491
GO:0098791	0.0255728182061913
GO:0099523	0.0266492317327364
GO:0060170	0.026947411154608
GO:0005890	0.0277546905531049
GO:0044326	0.0277546905531049
GO:0008305	0.0293400731864354
GO:0032839	0.0293400731864354
GO:0034705	0.0293618691811071
GO:0005883	0.0342090230649884
GO:0032437	0.0342090230649884
GO:0044294	0.0342090230649884
GO:0097441	0.0342090230649884
GO:0097449	0.0374387587906242
GO:0099522	0.0374387587906242
GO:0016469	0.0409274640509164
GO:0099535	0.0417682994494308
GO:0099569	0.0417682994494308
GO:0030055	0.0439996102589129
GO:0044853	0.0471839858736392
GO:0030175	0.048617061546482
GO:0090533	0.0499881207101522
GO:0098835	0.0499881207101522
