ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0140053	mitochondrial gene expression	140	-0.513728000562193	-2.22802828454072	1e-10	4.57416666666667e-08	3.79561403508772e-08	6446	tags=73%, list=36%, signal=47%	MTG2/ALKBH1/TFAM/MRPL14/MRPL54/MRPS15/MRPS18A/MRPL23/MTERF4/MRPS25/MRPL40/MRPL33/HSD17B10/MRPS30/MRPL3/MRPL39/MRPS33/MRPS26/PRKAA1/YARS2/MRPS5/MRPL18/MRPS9/MRPL41/TRIT1/MRPL22/MRPL15/MRPL19/MRPL34/MRPL46/TFB1M/MRPL57/MRPL43/MRPS6/MRPS2/MRPS11/MRPL17/MTRF1L/MRPS17/MRPL45/POLRMT/MRPL32/MRPL44/TRUB2/MRPS12/MTIF3/MRPL36/QRSL1/FASTKD1/MRPL24/MRPL51/MRPL20/FASTK/IARS2/MRPL12/MRPL52/GFM1/MTG1/RPUSD4/GFM2/RCC1L/MRPL27/MRPS23/MRPL47/TACO1/MTIF2/TUFM/PTCD3/MRPL4/DARS2/MRPL21/MRPS31/GATB/C1QBP/MTO1/MRPL38/MRPS22/MRPL13/RMND1/DAP3/RARS2/METTL4/TEFM/MRPL37/MRPL9/MRPL28/MRPL16/CHCHD1/SUPV3L1/TRMT61B/ELAC2/MRPS34/UQCC2/TWNK/NDUFA7/AARS2/TFB2M/PTCD1/FASTKD3/METTL8/CHCHD10/MTERF2
GO:0007601	visual perception	168	0.710763617016173	2.19025063531197	1e-10	4.57416666666667e-08	3.79561403508772e-08	1984	tags=41%, list=11%, signal=37%	RHO/OPN1MW2/CRYBB1/CRYBA2/ARR3/CRYBA4/CRYGN/OPN1SW/CRYBA2/RBP3/MIP/VSX1/CRX/RPE65/PDC/RCVRN/RCVRN/PRPH2/PDE6C/ARR3/GNAT1/GRK7/MIP/COL2A1/GNAT2/NR2E3/BFSP2/CPLX4/SIX3/PRPH2/ROM1/RGS9BP/ZIC2/CRYGN/CLIC5/ROM1/PAX6/RDH5/RGR/OPN4/GRK1/PAX6/CYP4V2/GLRB/COL1A1/FSCN2/SIX6/TULP1/OAT/LCTL/RORB/TYR/PITPNA/RD3/ABCC6/VSX2/OPN1MW3/ZIC2/OPN4/RGS9/RHO/LRIT3/VAX2/SIX3/DHRS3/CNGA3/RRH/COL11A1/AOC2/SLC4A10/TRPM1/GABRR2/KCNJ10/CRYBA1/RDH10/GUCA1A/FAM161A/RDH8/GRM6/FSCN2/CABP1/NR2E1/NRL/NYX/LCTL/PDC/CPLX3/CNGA1/AIPL1/GJD2/GUCA1B
GO:0050953	sensory perception of light stimulus	172	0.7060773568924	2.18213295785723	1e-10	4.57416666666667e-08	3.79561403508772e-08	1984	tags=40%, list=11%, signal=36%	RHO/OPN1MW2/CRYBB1/CRYBA2/ARR3/CRYBA4/CRYGN/OPN1SW/CRYBA2/RBP3/MIP/VSX1/CRX/RPE65/PDC/RCVRN/RCVRN/PRPH2/PDE6C/ARR3/GNAT1/GRK7/MIP/COL2A1/GNAT2/NR2E3/BFSP2/CPLX4/SIX3/PRPH2/ROM1/RGS9BP/ZIC2/CRYGN/CLIC5/ROM1/PAX6/RDH5/RGR/OPN4/GRK1/PAX6/CYP4V2/GLRB/COL1A1/FSCN2/SIX6/TULP1/OAT/LCTL/RORB/TYR/PITPNA/RD3/ABCC6/VSX2/OPN1MW3/ZIC2/OPN4/RGS9/RHO/LRIT3/VAX2/SIX3/DHRS3/CNGA3/RRH/COL11A1/AOC2/SLC4A10/TRPM1/GABRR2/KCNJ10/CRYBA1/RDH10/USH1C/GUCA1A/FAM161A/RDH8/GRM6/FSCN2/CABP1/NR2E1/NRL/NYX/LCTL/PDC/CPLX3/CNGA1/AIPL1/GJD2/GUCA1B
GO:0060041	retina development in camera-type eye	128	0.654875742363753	1.99324425841808	1e-10	4.57416666666667e-08	3.79561403508772e-08	2781	tags=37%, list=16%, signal=31%	RHO/VSX1/RPE65/PRPH2/PDE6C/GNAT1/GNAT2/NEUROD1/NR2E3/SIX3/NEUROD4/PRPH2/ROM1/PTF1A/PROM1/ROM1/PAX6/OPN4/SLC1A1/GPM6A/PAX6/SLC17A7/TULP1/ATOH7/RORB/SOX8/RD3/SOX9/FJX1/SLC17A7/OPN4/RHO/VAX2/SIX3/DTNBP1/PRDM1/BARHL2/POU4F2/DSCAM/GPM6A/USH1C/GRM6/NR2E1/NRL/SERPINF1/PDGFRB/NECTIN1/HPCA/HES1/RPL24/BBS4/DSCAM/PROM1/TFAP2B/FOXN4/LHX2/CALB1/TTC8/CABP4/RHO/BMPR1B
GO:0007600	sensory perception	371	0.591943918710588	1.8820499821972	1e-10	4.57416666666667e-08	3.79561403508772e-08	2848	tags=34%, list=16%, signal=29%	RHO/OPN1MW2/CRYBB1/CRYBA2/ARR3/CRYBA4/CRYGN/OPN1SW/CRYBA2/RBP3/MIP/VSX1/CRX/RPE65/PDC/RCVRN/RCVRN/PRPH2/PDE6C/ARR3/GNAT1/GRK7/MIP/COL2A1/OTOS/GNAT2/NR2E3/COL11A2/BFSP2/CPLX4/SIX3/PRPH2/ROM1/RGS9BP/ZIC2/CRYGN/CLIC5/ROM1/NIPSNAP1/GIP/PAX6/RDH5/CCL3/RGR/OPN4/GRK1/PAX6/CYP4V2/HOXB8/GLRB/COL1A1/FSCN2/SIX6/TULP1/SLC1A3/OAT/FYN/LCTL/RORB/RAB3A/OMP/TYR/PITPNA/HOXB8/EPYC/ESPN/NMB/RD3/DDIT3/BACE1/ABCC6/GPX1/PENK/VSX2/OPN1MW3/ZIC2/TMEM120A/OPN4/RGS9/RHO/P2RX2/LRIT3/VAX2/SIX3/DHRS3/EPS8L2/CD36/CNGA3/RRH/LRP2/TNF/POU4F2/COCH/COL11A1/AOC2/SLC4A10/TRPM1/GABRR2/KCNJ10/MMP24/CRYBA1/TRIOBP/RDH10/USH1C/GUCA1A/FAM161A/NMB/RDH8/GRM6/FSCN2/CABP1/NR2E1/NRL/NYX/OR56A4/CDKN2D/LCTL/PDC/CPLX3/CNGA1/LHFPL4/AIPL1/GJD2/GUCA1B/PRDM12/OPRM1/BBS4/GRM1/CLRN3/PTGES/TAC1/CALHM1/TRPM1/UCN/SIX6/ADCY3/SLC45A2/RIMS1/P2RX4/NPY1R/SOD1/OMP/TTC8/GABRR2/NLGN2/CACNB2/UNC119/POU4F3/CABP4/CHRNB2/OPRK1/LXN/MYO7B/RHO/GJA10/POU4F1/PPEF2
GO:0015849	organic acid transport	255	0.587499852331653	1.84486746621931	1e-10	4.57416666666667e-08	3.79561403508772e-08	3220	tags=38%, list=18%, signal=32%	FABP6/AGXT/RBP2/GNAT2/ACE2/CLTRN/STXBP1/FABP7/SLC13A2/RBP2/SLC5A12/CYP7A1/SLC32A1/SLC6A19/SLC26A3/SLC2A1/SLC6A19/ABCB4/SYT4/SLC1A2/ACSL5/SLC10A2/AGXT/SLC6A11/SLC1A1/SLC26A1/FOLR2/FABP2/SLC7A9/CRABP1/SLC22A2/SLC17A7/SLC1A3/SLC43A2/STXBP1/SLC1A2/DRD4/SLC6A1/SLC6A1/CES1/MPC2/SLC22A7/NMB/ABAT/SLC16A8/SLC3A1/GJA1/SLC6A15/SLC1A5/ABCC6/RBP1/SV2A/SLC16A7/SLC17A7/SLC22A8/CES1/BDKRB2/FABP1/RBP1/SLC25A38/DTNBP1/SLC6A18/ABCG2/SLC47A1/CD36/SLC16A6/LRP2/SLC16A10/TNF/SLCO4A1/SLC17A6/SLC1A7/SLC1A4/SLC26A6/KCNJ10/GRM2/SLC7A7/SLC3A2/SLC3A2/SLC6A6/SLC3A2/SLC7A14/SLC13A3/SLC38A3/CRABP1/NMB/AQP9/ABCC8/SLC16A1/SLC25A1/SLC38A5/CRABP2/GRM2/SLC7A5/DRD4/GRM1/PTGES/PPARA/SLC29A4/SLC43A3/PTGS2/SLC7A3/SLC16A12/P2RX4/SLC38A2/SLC1A7/PRKG1/PER2/SLC13A5/RBP7/SLC16A13/SLC25A29/IRS2/PLIN2/SLC6A17/SLC22A13/SLC25A15/ITGB1/RAB3GAP1/KMO/SYK/SLC27A5/SLC16A9/FGF19/SLC17A6/SLC26A5/MFSD2A/SLC25A29/SLC7A8
GO:0046942	carboxylic acid transport	254	0.586499515064545	1.84206165115652	1e-10	4.57416666666667e-08	3.79561403508772e-08	3220	tags=38%, list=18%, signal=32%	FABP6/AGXT/RBP2/GNAT2/ACE2/CLTRN/STXBP1/FABP7/SLC13A2/RBP2/SLC5A12/CYP7A1/SLC32A1/SLC6A19/SLC26A3/SLC2A1/SLC6A19/ABCB4/SYT4/SLC1A2/ACSL5/SLC10A2/AGXT/SLC6A11/SLC1A1/SLC26A1/FOLR2/FABP2/SLC7A9/CRABP1/SLC22A2/SLC17A7/SLC1A3/SLC43A2/STXBP1/SLC1A2/DRD4/SLC6A1/SLC6A1/CES1/MPC2/SLC22A7/NMB/ABAT/SLC16A8/SLC3A1/GJA1/SLC6A15/SLC1A5/ABCC6/RBP1/SV2A/SLC16A7/SLC17A7/SLC22A8/CES1/BDKRB2/FABP1/RBP1/SLC25A38/DTNBP1/SLC6A18/ABCG2/SLC47A1/CD36/SLC16A6/LRP2/SLC16A10/TNF/SLCO4A1/SLC17A6/SLC1A7/SLC1A4/SLC26A6/KCNJ10/GRM2/SLC7A7/SLC3A2/SLC3A2/SLC6A6/SLC3A2/SLC7A14/SLC13A3/SLC38A3/CRABP1/NMB/AQP9/ABCC8/SLC16A1/SLC25A1/SLC38A5/CRABP2/GRM2/SLC7A5/DRD4/GRM1/PTGES/PPARA/SLC43A3/PTGS2/SLC7A3/SLC16A12/P2RX4/SLC38A2/SLC1A7/PRKG1/PER2/SLC13A5/RBP7/SLC16A13/SLC25A29/IRS2/PLIN2/SLC6A17/SLC22A13/SLC25A15/ITGB1/RAB3GAP1/KMO/SYK/SLC27A5/SLC16A9/FGF19/SLC17A6/SLC26A5/MFSD2A/SLC25A29/SLC7A8
GO:0043010	camera-type eye development	278	0.584197005945284	1.84197950620409	1e-10	4.57416666666667e-08	3.79561403508772e-08	2547	tags=29%, list=14%, signal=26%	RHO/CRYBB1/CRYBA2/CRYBA4/CRYGN/CRYBA2/MIP/VSX1/RPE65/PRPH2/PDE6C/GNAT1/MIP/GNAT2/BFSP1/LIM2/NEUROD1/NR2E3/BFSP2/SIX3/NEUROD4/PRPH2/ROM1/COL8A2/PTF1A/CRYGN/PROM1/LIM2/ROM1/WNT5A/GJE1/PAX6/INHBA/OPN4/SLC1A1/GPM6A/GJA8/PAX6/GJA8/PLAAT3/SLC17A7/TULP1/ATOH7/VIM/LCTL/RORB/ANGPTL7/OSR2/SOX8/RD3/ATF4/STRA6/SOX9/WNT2/FJX1/SLC17A7/SOX1/SLC25A25/OPN4/RHO/VAX2/SIX3/DTNBP1/INHBA/PRDM1/BARHL2/POU4F2/SHROOM2/SPRED3/VEGFA/SLC17A6/DSCAM/GPM6A/CRYBA1/RDH10/SPRY1/USH1C/KLF4/BIRC7/GRM6/NR2E1/NRL/SERPINF1/PDGFRB/NECTIN1/HPCA/LCTL/HES1/FGF10/ALDH1A2/RPL24/SKIL/SOS1/BCAR3/BBS4/VAX1/DSCAM/PROM1/ALDH1A3/TFAP2B/EPHB2/ATF4/FOXN4/MAB21L1/LHX2/CALB1/TTC8
GO:0150063	visual system development	315	0.566905955720195	1.79452385890967	1e-10	4.57416666666667e-08	3.79561403508772e-08	2547	tags=29%, list=14%, signal=26%	RHO/CRYBB1/CRYBA2/CRYBA4/CRYGN/CRYBA2/MIP/VSX1/RPE65/PRPH2/PDE6C/GNAT1/MIP/GNAT2/BFSP1/LIM2/NEUROD1/NR2E3/BFSP2/SIX3/NEUROD4/PRPH2/ROM1/COL8A2/PTF1A/CRYGN/C3/PROM1/LIM2/ROM1/WNT5A/GJE1/PAX6/C3/INHBA/C3/OPN4/SLC1A1/GPM6A/GJA8/PAX6/GJA8/PLAAT3/FSCN2/SIX6/SLC17A7/TULP1/ATOH7/VIM/LCTL/RORB/ANGPTL7/OSR2/SOX8/RD3/ATF4/STRA6/SOX9/WNT2/FJX1/SLC17A7/SOX1/SLC25A25/OPN4/RHO/C3/VAX2/SIX3/DTNBP1/INHBA/PRDM1/BARHL2/POU4F2/SHROOM2/SPRED3/VEGFA/SLC17A6/DSCAM/GPM6A/CRYBA1/RDH10/SPRY1/USH1C/COL5A2/KLF4/BIRC7/SOX2/GRM6/C3/FSCN2/NR2E1/NRL/C3/SERPINF1/PDGFRB/NECTIN1/PBX3/HPCA/LCTL/HES1/FGF10/ALDH1A2/RPL24/SKIL/SOS1/BCAR3/BBS4/VAX1/DSCAM/PROM1/ALDH1A3/SIX6/TFAP2B/EPHB2/ATF4/ADAMTS18/FOXN4/MAB21L1/LHX2/CALB1/TTC8
GO:0015711	organic anion transport	315	0.564590032016181	1.78719287164391	1e-10	4.57416666666667e-08	3.79561403508772e-08	3220	tags=35%, list=18%, signal=30%	FABP6/AGXT/RBP2/GNAT2/ACE2/CLTRN/STXBP1/FABP7/CA4/SLC13A2/RBP2/SLC5A12/CYP7A1/SLC32A1/SLC6A19/SLC26A3/SLC2A1/SLC6A19/ABCB4/SLC2A2/SYT4/SLC1A2/SLC25A4/ACSL5/SLC10A2/AGXT/SLC6A11/SLC1A1/SLC26A1/FOLR2/FABP2/SLC7A9/CRABP1/SLC22A2/SLC17A7/SLC1A3/SLC43A2/STXBP1/SLC1A2/DRD4/SLC6A1/SLC6A1/MTTP/CES1/MPC2/SLC22A7/NMB/ABAT/SLC16A8/SLC3A1/GJA1/SLC4A4/SLC6A15/SLC1A5/ABCC6/RBP1/SV2A/SLC16A7/SLC17A7/SLC22A8/CES1/SLC25A25/BDKRB2/FABP1/RBP1/SLC25A38/DTNBP1/SLC6A18/ABCG2/SLC47A1/CD36/SLC16A6/LRP2/SLC16A10/TNF/SLC4A10/SLCO4A1/SLC17A6/SLC1A7/SLC1A4/SLC26A6/KCNJ10/CA4/GRM2/SLC7A7/SLC3A2/SLC3A2/SLC6A6/RTBDN/SLC3A2/SLC7A14/SLC13A3/SLC38A3/CRABP1/NMB/AQP9/ABCC8/SLC16A1/SLC25A1/SLC38A5/CRABP2/GRM2/SLC7A5/SLC25A6/SLC39A8/DRD4/GRM1/PTGES/PPARA/SLC43A3/CALHM1/PTGS2/SLC7A3/SLC16A12/ANKH/P2RX4/SLC38A2/SLC1A7/PRKG1/PER2/SLC13A5/RBP7/SLC16A13/SLC25A29/SLC25A47/IRS2/PLIN2/SLC6A17/SLC4A1/SLC22A13/SLC25A15/ITGB1/RAB3GAP1/KMO/SYK/SLC27A5/SLC4A2/SLC16A9/FGF19/SLC17A6/SLC26A5/MFSD2A/SLC25A29/SLC7A8
