ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009583	detection of light stimulus	56	-0.766994759293031	-2.89649565584641	1e-10	6.86875e-08	5.58552631578947e-08	1118	tags=58%, list=6%, signal=54%	CACNA2D4/AIPL1/UNC119/GUCA1A/REEP6/FECH/NMT1/GRM6/ABCA4/SLC24A4/TULP1/PDC/PDE6B/CABP4/ABCA4/OPN4/GNGT2/CACNA1F/RRH/GRK1/RHO/OPN4/PLEKHB1/OPN1MW/RGS9BP/RGR/SAG/ROM1/GNGT1/ROM1/GNAT1/SAG/RCVRN/PRPH2/PDC/PDE6C/GRK7/GNAT2/PRPH2/RHO/RCVRN/OPN1SW/RPE65/OPN1LW/GNGT2
GO:0007602	phototransduction	38	-0.803341588855963	-2.79602535637449	1e-10	6.86875e-08	5.58552631578947e-08	1059	tags=61%, list=6%, signal=58%	AIPL1/UNC119/GUCA1A/NMT1/ABCA4/SLC24A4/PDC/PDE6B/CABP4/ABCA4/OPN4/GNGT2/RRH/GRK1/RHO/OPN4/PLEKHB1/OPN1MW/RGR/SAG/GNGT1/GNAT1/SAG/RCVRN/PDC/PDE6C/GRK7/GNAT2/RHO/RCVRN/OPN1SW/OPN1LW/GNGT2
GO:0009584	detection of visible light	42	-0.778921651192321	-2.79044230728811	1e-10	6.86875e-08	5.58552631578947e-08	1118	tags=55%, list=6%, signal=52%	CACNA2D4/AIPL1/REEP6/NMT1/GRM6/ABCA4/TULP1/PDE6B/ABCA4/OPN4/CACNA1F/RRH/GRK1/RHO/OPN4/OPN1MW/RGS9BP/RGR/SAG/ROM1/ROM1/GNAT1/SAG/PRPH2/PDE6C/GRK7/GNAT2/PRPH2/RHO/OPN1SW/RPE65/OPN1LW
GO:0032543	mitochondrial translation	110	-0.61938078136465	-2.6283193688458	1e-10	6.86875e-08	5.58552631578947e-08	4765	tags=71%, list=27%, signal=52%	MRPL10/MRPL28/MRPL4/TUFM/C1QBP/MRPS9/MTIF3/MRPS22/GARS1/MRPS11/PTCD3/MALSU1/RCC1L/MRPS18B/MTG2/GADD45GIP1/MRPS28/MRPL39/MRPS34/MRPL15/MRPS16/MRPS7/MRPL3/MRPS5/MRPS26/MRPL16/MRPL52/MRPL41/MRPL47/MRPL22/MTG1/MRPS27/MRPL57/MRPL33/MRPS25/WARS2/MRPL9/MRPL21/MRPL24/MRPL14/MRPL44/MRPS30/DAP3/MRPS33/CHCHD1/NSUN3/MRPL40/MRPL1/MRPS12/TACO1/MRPL46/MRPL34/MRPL51/MRPS17/MRPL45/MRPL11/UQCC2/MRPL36/MRPL17/TSFM/MRPL18/COA3/MRPL20/MRPL13/MRPS23/MRPL54/AURKAIP1/MRPL48/MRPS14/MRPL43/MRPS18A/MRPL27/MRPL35/MRPL12/MRPS6/MPV17L2/MRPS24/MRPS10
GO:0050953	sensory perception of light stimulus	176	-0.572234379345822	-2.61104178568017	1e-10	6.86875e-08	5.58552631578947e-08	1193	tags=36%, list=7%, signal=34%	TGFBI/COL1A1/CACNA2D4/AIPL1/UNC119/COL2A1/GUCA1A/RD3/REEP6/GRM6/COL11A1/CNGA1/KCNJ10/PPEF2/NRL/ABCA4/RDH8/RBP3/SLC4A10/CACNB2/SLC45A2/FSCN2/TULP1/PDC/TRPM1/CRYBA1/COL1A1/GJD2/CNGA1/PDE6B/CABP4/RDH10/ABCA4/LRAT/RDH8/FSCN2/OPN4/GABRR2/CACNA1F/RRH/TRPM1/CNGA3/COL2A1/GRK1/NYX/RHO/OPN4/OPN1MW/LRIT3/LCTL/RDH5/RGS9BP/RGR/TYR/ROM1/ROM1/GNAT1/LCTL/RGS9/RCVRN/BFSP2/CRYGN/ARR3/PRPH2/PDC/PDE6C/CPLX4/GRK7/ARR3/GNAT2/RBP3/CRYAA/MIP/PRPH2/RHO/RCVRN/OPN1SW/RPE65/MIP/CRYGN/CRYBA4/CRYBA2/OPN1LW/CRYBA2/CRYBB1
GO:0007601	visual perception	172	-0.579106395452756	-2.5948812250693	1e-10	6.86875e-08	5.58552631578947e-08	1193	tags=37%, list=7%, signal=35%	TGFBI/COL1A1/CACNA2D4/AIPL1/UNC119/COL2A1/GUCA1A/RD3/REEP6/GRM6/COL11A1/CNGA1/KCNJ10/PPEF2/NRL/ABCA4/RDH8/RBP3/SLC4A10/CACNB2/SLC45A2/FSCN2/TULP1/PDC/TRPM1/CRYBA1/COL1A1/GJD2/CNGA1/PDE6B/CABP4/RDH10/ABCA4/LRAT/RDH8/FSCN2/OPN4/GABRR2/CACNA1F/RRH/TRPM1/CNGA3/COL2A1/GRK1/NYX/RHO/OPN4/OPN1MW/LRIT3/LCTL/RDH5/RGS9BP/RGR/TYR/ROM1/ROM1/GNAT1/LCTL/RGS9/RCVRN/BFSP2/CRYGN/ARR3/PRPH2/PDC/PDE6C/CPLX4/GRK7/ARR3/GNAT2/RBP3/CRYAA/MIP/PRPH2/RHO/RCVRN/OPN1SW/RPE65/MIP/CRYGN/CRYBA4/CRYBA2/OPN1LW/CRYBA2/CRYBB1
GO:0140053	mitochondrial gene expression	137	-0.564893210371728	-2.48298845155882	1e-10	6.86875e-08	5.58552631578947e-08	4822	tags=64%, list=27%, signal=47%	TFB1M/MRPL10/CHCHD10/MRPL28/MRPL4/TUFM/C1QBP/TRNT1/MRPS9/MTIF3/MRPS22/GARS1/MRPS11/PTCD3/MALSU1/TRIT1/RCC1L/MRPS18B/MTG2/GADD45GIP1/MRPS28/MRPL39/MRPS34/MRPL15/MTERF3/MRPS16/MRPS7/MRPL3/MRPS5/MRPS26/MRPL16/MRPL52/MRPL41/MRPL47/MRPL22/TFAM/MTG1/MRPS27/TRMT5/HSD17B10/MRPL57/MRPL33/MRPS25/WARS2/MRPL9/MRPL21/MRPL24/MRPL14/MRPL44/MRPS30/DAP3/MRPS33/CHCHD1/NSUN3/MRPL40/MRPL1/MRPS12/TACO1/MTERF4/MRPL46/MRPL34/MRPL51/MRPS17/MRPL45/MRPL11/UQCC2/MRPL36/MRPL17/TSFM/MRPL18/COA3/MRPL20/PUS1/MRPL13/MRPS23/MRPL54/AURKAIP1/MRPL48/MRPS14/MRPL43/MRPS18A/MRPL27/MRPL35/MRPL12/MRPS6/MPV17L2/MRPS24/MRPS10
GO:0002250	adaptive immune response	223	0.565362932073989	2.20939313894668	1e-10	6.86875e-08	5.58552631578947e-08	3001	tags=36%, list=17%, signal=30%	CD74/HLA-DQA1/CD74/SERPING1/CD1C/C1QA/HLA-DQA2/HLA-DQA2/C3/C3/IL2RB/UNG/PLA2G4A/C3/C1RL/C3/C1QC/CX3CR1/STAT4/IL1B/MASP2/CTSS/MBL2/ITK/IL2RB/C8B/C3/ERAP2/ERAP1/C9/C1S/UNC93B1/RAG1/TEC/TAP1/ANXA1/CARD9/AGER/FCAMR/ZP3/SWAP70/CD7/TRPM4/IRF4/TYK2/EBI3/FCAMR/DUSP10/EOMES/RAP1GAP/BATF/ERAP1/FGB/C4B/NCKAP1L/PRKCD/NOD2/P2RX7/RNF19B/C8G/WAS/ASCL2/MIR21/NOTCH1/EPHB2/DBNL/LYN/CD7/PKN1/FGA/CTSS/B2M/MCOLN1/C7/ZBTB7B/TFE3/RSAD2/CD4/ANXA1/TSC1/ZAP70/SVEP1/LEF1/KDM5D/PIK3CD/CD4/GATA3/TFEB/RAP1GAP/CCR6/GPR183/MYO1G/SIPA1/KCNJ8/AIRE/STX7/CD4/RAPGEF4/ADA/HLA-DQA2/FYN/BACH2/CD4/IL2RB/SASH3/RC3H1/CTSC/INPP5D
GO:0006941	striated muscle contraction	136	0.579274612809283	2.13312265621248	1.31143047598025e-10	8.00701162834606e-08	6.51113727548087e-08	2805	tags=43%, list=16%, signal=37%	TNNI2/TNNI3/SCN3B/TNNI3K/TCAP/TNNI3/RYR1/MYBPH/CACNA1S/GJA5/TNNC2/MYH6/MYL2/CASQ1/BMP10/TNNT1/ACTN3/ADORA1/CASQ1/SCN10A/ATP1A1/MYH7/SLC9A1/PGAM2/MYL2/MYH6/MYBPC3/RNF207/KLHL41/ATP1A1/KCNJ5/SCN1B/MYH6/SMPX/CHRNA1/ADRA1A/DTNA/ANK2/TNNC1/TNNT2/GSTO1/TRPM4/BMP10/ABCC9/HCN4/KBTBD13/SCN4B/CACNA1G/CSRP3/GJA5/NKX2-5/SYNM/CACNA1C/CXCR4/CACNA1S/ATP1A1/TTN/ATP1B1/ACE2/ATP1A2/RYR1/KLHL41/CACNA2D1/ACTN3/EHD3/SCN1B/SCN2B/CASQ2/ALDOA/SLC8A3/FGF12/TMEM38A/RGS2/CACNA2D1/ALDOA/KCNJ8/CAV3/TNNI2/ATP1A1/STAC3
GO:0006959	humoral immune response	85	0.644366888052565	2.23234067463741	3.3740359970559e-10	1.73130187998165e-07	1.40785910263342e-07	2444	tags=41%, list=14%, signal=35%	SERPING1/C1QA/C3/C3/C3/C1RL/CFB/C3/C1QC/IL1B/MASP2/CXCL9/MBL2/CXCL9/C8B/C3/C9/C1S/LTF/GAPDH/GPI/POU2F2/ZP3/REG1B/BLNK/EBI3/CFB/EVPL/REG1A/PSMB10/FGB/C4B/NOD2/C8G/MASP1/LEAP2/NOTCH1/FGA/C7/TFE3/RNASE4/SVEP1/CFP/GATA3/CFP/TFEB/CCR6/GPR183
