ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04974	Protein digestion and absorption	59	0.799602878018627	2.2470747279654	1e-10	3.32e-08	2.65263157894737e-08	1602	tags=46%, list=9%, signal=42%	5644/1504/1504/1506/1358/1360/51032/51032/1300/1280/476/59272/1302/1357/1296/340024/340024/4225/6505/1298/11136/1297/1357/6564/1277/482/23439/1361/476/6519/6510/1292/1803/117247/1301/9056/6520/6520/1290/6520
hsa04727	GABAergic synapse	71	0.710050333430997	2.05943710185991	6.37512367132082e-09	1.05827052943926e-06	8.45542718512025e-07	2689	tags=39%, list=15%, signal=34%	2793/2784/2784/2775/2791/2793/2785/140679/4905/2571/6538/2569/94235/6529/2554/6529/107/18/55970/27165/2572/2566/2752/2570/2559/2563/2562/10991/200959/92745/2569/2790/10243/2565/109/54407/2561/2570/10681
hsa04610	Complement and coagulation cascades	46	0.770263949670194	2.09944388815454	1.11590180598737e-08	1.23493133195936e-06	9.86692123188836e-07	2989	tags=74%, list=17%, signal=62%	5345/718/1191/2243/718/2155/5340/2165/718/5054/2266/3053/735/2244/623/2165/2165/7448/1361/2155/4153/732/462/624/718/730/2158/1675/7450/2153/718/718/7035/733/10747/2155/720/2162/716/3818/5327/5624/2165/5270/5328
hsa04721	Synaptic vesicle cycle	65	0.694131673641549	1.98757158573316	1.96738800625111e-07	1.63293204518842e-05	1.304688888356e-05	2413	tags=37%, list=14%, signal=32%	339302/6812/6616/140679/4905/6506/6538/6505/1759/57030/535/6507/6812/6616/6506/5864/6529/6529/6572/10814/155066/112755/6809/57030/6857/57084/6572/6512/527/594855/10815/22999/6512/90423/526
hsa04972	Pancreatic secretion	61	0.700136109088505	1.97857053276453	2.5886769792884e-07	1.7188815142475e-05	1.3733612605909e-05	1036	tags=26%, list=6%, signal=25%	5644/1504/1504/1506/1358/1360/51032/1056/51032/476/1357/1056/1811/1357/482/490/885/23439/107/1361/476/8671/7220
hsa04744	Phototransduction	18	0.855408896265605	1.97229203091621	1.47791512565157e-06	8.17779702860535e-05	6.5339405555122e-05	1984	tags=52%, list=11%, signal=46%	6010/5957/5957/6295/2779/131890/2780/6295/6011/91860/8787/6010/2978/1259/2979
hsa05032	Morphine addiction	71	0.647991661814303	1.87944150886864	3.41202765897992e-06	0.00016182759754019	0.000129297890235028	2689	tags=32%, list=15%, signal=27%	2793/2784/2784/2775/2791/2793/2785/140679/2569/94235/2554/107/55970/2566/2570/5151/2559/2563/2562/200959/2569/2790/2565/157/4988/109/2561/2570/10681
hsa04976	Bile secretion	59	0.646321500667526	1.81631751237499	3.32228071477289e-05	0.00118113979844435	0.000943713472441271	3542	tags=40%, list=20%, signal=32%	476/1581/6513/5244/6555/3156/482/343/9971/574537/23439/107/10864/476/8671/6523/79799/9376/6822/7366/9429/366/54658/10720/54658/64240/109/7363/57552/54600/10998/6522/574537/6550/10257/8647/54490
hsa04724	Glutamatergic synapse	95	0.601477822885501	1.8022202344358	2.91933330884424e-05	0.00118113979844435	0.000943713472441271	3211	tags=34%, list=18%, signal=28%	2793/2784/2784/2775/2791/2793/2785/2902/6506/6505/57030/94235/6507/6506/107/2891/55970/27165/7220/57030/2902/2897/2752/57084/6512/2912/2891/10991/2916/2912/2790/157/2904/2911/109/54407/6512/9762/10681/8605/2776/57084/2786/3708
hsa04151	PI3K-Akt signaling pathway	247	0.492050616377255	1.55505768616673	3.55764999531432e-05	0.00118113979844435	0.000943713472441271	3601	tags=28%, list=20%, signal=23%	2793/2784/5105/2784/3630/2791/1280/2793/2785/1443/1298/2538/1297/3164/1277/94235/7060/1019/7448/2998/5521/468/4602/55970/1440/5521/1435/4609/5617/1292/2057/7422/5618/7450/3320/3481/4609/1943/5159/3685/3674/2790/1026/1284/2255/4803/3479/6654/8515/3672/7532/9223/7059/468/23678/2277/5106/57121/57121/10488/10681/2057/3643/2885/1293/4804/3688/7248/9223/5295/6850/1280/1027/7143/2056/9965/627/7532/285/3455/2786/1278/3265/7039/5154/2538/2846/2335/1277/3717/2065/5979/2149/1021
hsa04713	Circadian entrainment	81	0.58999310474304	1.7332613797703	9.55567003378038e-05	0.00288407495565008	0.0023043338263279	2440	tags=28%, list=14%, signal=25%	2793/2784/2353/2784/2775/2791/2793/2982/2785/2902/94235/91860/107/2891/55970/2902/5187/116/2983/2891/117/8863/116/2790/2904/5187/109/5592/117/8864
