ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa05150	Staphylococcus aureus infection	18	0.886537104155429	2.2718417995398	2.90754338349909e-09	7.13595644236318e-07	5.33296156449467e-07	1574	tags=65%, list=9%, signal=59%	3117/712/3118/3118/718/718/718/629/718/714/10747/4153/718/5340/716/629/2266/721/5724/5648
hsa04610	Complement and coagulation cascades	47	0.716214002897254	2.22027266090422	4.3117561585276e-09	7.13595644236318e-07	5.33296156449467e-07	2322	tags=67%, list=13%, signal=58%	710/712/718/718/718/629/718/714/10747/5624/4153/5624/732/718/2165/735/5340/716/2158/3818/2155/462/2153/1361/7448/2155/2165/629/2244/2266/721/2159/3053/733/2155/2165/5648/2243/2165/730/7450/2152
hsa04261	Adrenergic signaling in cardiomyocytes	114	0.57000342991627	2.07817765166695	2.06813471818028e-08	2.28184197239224e-06	1.70530406586795e-06	3396	tags=38%, list=19%, signal=31%	7137/7137/154/59285/785/779/4624/4633/6543/64208/476/4625/6548/5525/183/4633/4624/153/476/84699/6324/4624/148/7134/7139/9252/786/6330/112/1386/3776/775/70/111/27092/779/476/481/477/23236/23533/5521/781/6324/815/6547/107/11149/5526/2776/781/816/11069/476/207/784/5331/6546/9254/5523/9254/114
hsa04979	Cholesterol metabolism	43	0.682341520490482	2.07705627275293	6.18881272451212e-07	4.09699402362703e-05	3.061833663706e-05	2388	tags=48%, list=13%, signal=42%	348/8435/338/338/57552/3931/1071/341/335/1581/64240/6646/10577/64241/8647/335/27141/3990/19/344/27329/6272/1593/1593/57552/4023/948
hsa04020	Calcium signaling pathway	198	0.476625378963478	1.84106614884645	5.53120004421013e-07	4.09699402362703e-05	3.061833663706e-05	4527	tags=37%, list=25%, signal=28%	9965/154/5260/6261/7201/779/7125/6543/91807/844/340156/3973/1909/844/291/5136/4485/153/148/7422/2251/1129/7134/55283/8913/3362/5027/6869/26281/5724/775/7852/779/2065/5026/1133/2252/4915/23236/3356/6261/552/5260/2066/56413/5021/57192/8817/6870/773/887/5256/845/116444/815/6547/8817/7942/107/1128/2776/773/2065/2915/816/4843/8074/552/2250/80228/2925/5331/6546/26281/4915/774/5257/114/5336/774/80310/108/1910/5024/6915/2185/2321/115/146/4923/4916/8877/3710/5255/1956/3709/2324
hsa05171	Coronavirus disease - COVID-19	153	0.484165493333813	1.82856421990177	3.43885010774766e-06	0.000189709897610746	0.000141777153565035	2257	tags=24%, list=13%, signal=21%	712/718/718/718/1440/629/718/714/3553/10747/4153/6202/6773/732/718/2165/735/7097/716/6133/57506/51284/64135/2165/1536/7297/3661/629/2244/2266/721/733/59272/2165/5648/2243/2165/115004/730/3455/7450/5293
hsa05410	Hypertrophic cardiomyopathy	80	0.560264213812134	1.9216106779146	1.35489454833912e-05	0.000640671565000356	0.000478797321593524	3217	tags=38%, list=18%, signal=31%	7137/7137/59285/785/779/4624/4633/6543/4625/183/4633/4624/4607/4624/1837/7134/7139/3691/786/775/70/27092/779/7273/3673/6445/781/3674/53632/3688/6547/1674/5563/781/3655/859/784/6546/9254/51422
hsa04744	Phototransduction	18	-0.797103871411146	-2.30981449405556	2.11246229197219e-05	0.000699225018642793	0.000522556461698383	950	tags=53%, list=5%, signal=51%	2978/1259/1259/5158/6011/6010/6295/2792/2779/6295/8787/5957/131890/2780/6010/5957
hsa04975	Fat digestion and absorption	28	0.707492700682283	1.99351377577119	2.02822266162705e-05	0.000699225018642793	0.000522556461698383	2695	tags=54%, list=15%, signal=46%	338/338/84649/335/64240/64241/376497/8399/335/84647/2168/19/1056/1056/8694/80168/2806/948/949/4547
hsa05414	Dilated cardiomyopathy	85	0.539588648336692	1.87215173682325	1.77186629278932e-05	0.000699225018642793	0.000522556461698383	3396	tags=39%, list=19%, signal=32%	7137/7137/59285/785/779/4624/4633/6543/4625/183/4633/4624/4607/153/4624/1837/7134/7139/3691/786/112/775/70/111/27092/779/7273/3673/6445/781/3674/3688/6547/1674/107/781/3655/859/784/6546/9254/9254/114
hsa03008	Ribosome biogenesis in eukaryotes	61	-0.550085296301026	-2.08282048180796	2.35836343497275e-05	0.00070965299725089	0.000530349671979517	4571	tags=57%, list=26%, signal=43%	9790/4931/65083/51068/10248/10528/55813/134430/9724/5822/84135/84128/10607/23160/10775/10556/138716/55916/51077/26354/10436/4809/10799/92856/54433/1736/27341/51602/51367/102157402/55505/25996/345630/55272/55651/4809
hsa03020	RNA polymerase	28	-0.693556783315377	-2.23720238757346	3.43151397046673e-05	0.000914099223644981	0.000683139823681255	2669	tags=62%, list=15%, signal=53%	5435/661/30834/5432/10849/221830/5433/9533/64425/5434/5438/10621/27297/5437/5441/51082/171568/51728
hsa04640	Hematopoietic cell lineage	33	0.664670188633571	1.95054478918823	3.59011779679298e-05	0.000914099223644981	0.000683139823681255	2917	tags=40%, list=16%, signal=34%	3117/911/3118/3118/2056/1440/3553/1441/951/1436/924/2812/3673/924/920/3674/920/948/3655/920/3118/920
